date,open,high,low,close,volume
2021-03-26 00:00:00+05:30,73.95,81,72.9,75.2,51421860
2021-03-30 00:00:00+05:30,75.95,77.9,69.65,70.85,11092972
2021-03-31 00:00:00+05:30,71.75,71.75,67.65,68.1,4659613
2021-04-01 00:00:00+05:30,68.6,72.75,68.2,71.4,7403570
2021-04-05 00:00:00+05:30,71.5,71.5,68.55,69.9,2399032
2021-04-06 00:00:00+05:30,70.3,71.25,69.1,70.35,2379469
2021-04-07 00:00:00+05:30,70.55,70.9,69.8,69.9,1625067
2021-04-08 00:00:00+05:30,71.9,75,71.4,72.85,4824848
2021-04-09 00:00:00+05:30,73,73.1,70.45,71,2357516
2021-04-12 00:00:00+05:30,70.9,70.9,68,68.35,2042113
2021-04-13 00:00:00+05:30,69,69.85,68.05,69.3,1439847
2021-04-15 00:00:00+05:30,69,69.85,68.55,69,896321
2021-04-16 00:00:00+05:30,69,69.7,68.8,68.9,909629
2021-04-19 00:00:00+05:30,67.8,67.8,65.7,66.85,1228866
2021-04-20 00:00:00+05:30,67.2,68.35,66.8,67.15,797720
2021-04-22 00:00:00+05:30,67,67.15,66.4,66.7,851612
2021-04-23 00:00:00+05:30,66.6,66.7,65.5,65.6,1823091
2021-04-26 00:00:00+05:30,65.9,67,63.75,63.85,2193105
2021-04-27 00:00:00+05:30,64,64.8,61.2,61.4,3532919
2021-04-28 00:00:00+05:30,61.55,62.9,60.6,61.65,4057145
2021-04-29 00:00:00+05:30,62,62.85,61.1,61.25,1938409
2021-04-30 00:00:00+05:30,61,61.2,59.75,59.9,2347572
2021-05-03 00:00:00+05:30,59.7,59.7,58.55,58.65,1696511
2021-05-04 00:00:00+05:30,58.65,60.7,58.1,58.25,2298017
2021-05-05 00:00:00+05:30,58.5,59.5,58,58.1,1580604
2021-05-06 00:00:00+05:30,58.45,58.8,56.6,56.7,2238052
2021-05-07 00:00:00+05:30,57,59.65,56.3,58.8,4763134
2021-05-10 00:00:00+05:30,59.4,62,59.2,61.5,3883522
2021-05-11 00:00:00+05:30,61.5,64.9,61,63.6,4982475
2021-05-12 00:00:00+05:30,64.45,64.9,61.8,62.35,2592651
2021-05-14 00:00:00+05:30,63,63.95,60.2,60.8,2581690
2021-05-17 00:00:00+05:30,61.2,61.7,60.3,60.75,1084150
2021-05-18 00:00:00+05:30,60.75,61.45,60.75,61.25,1192298
2021-05-19 00:00:00+05:30,61.25,61.6,60.85,61.2,1122948
2021-05-20 00:00:00+05:30,61.7,61.9,59.8,60.1,2434240
2021-05-21 00:00:00+05:30,61.1,64,59.85,61.9,6130052
2021-05-24 00:00:00+05:30,62.05,63.65,61.7,63,3276413
2021-05-25 00:00:00+05:30,64,68.4,63.5,67.85,12120772
2021-05-26 00:00:00+05:30,69,72.4,69,71.2,8567087
2021-05-27 00:00:00+05:30,71.8,72.7,68.15,68.5,7219130
2021-05-28 00:00:00+05:30,69.8,70,67.5,67.9,4577224
2021-05-31 00:00:00+05:30,68,68.2,66.6,66.8,2315437
2021-06-01 00:00:00+05:30,67,69.2,67,67.95,3204915
2021-06-02 00:00:00+05:30,69.3,70.8,68.1,70.25,4229691
2021-06-03 00:00:00+05:30,70.75,71.6,70.1,71.1,3959414
2021-06-04 00:00:00+05:30,72.25,82.65,72.2,80.85,23826899
2021-06-07 00:00:00+05:30,82.45,84.65,82.05,83.2,7670757
2021-06-08 00:00:00+05:30,83.75,84.5,79.25,81.6,4806090
2021-06-09 00:00:00+05:30,83.15,89.75,82.3,85.4,15698948
2021-06-10 00:00:00+05:30,87,88.25,85.85,86.3,5456977
2021-06-11 00:00:00+05:30,86.55,87.1,84.3,85.2,2646097
2021-06-14 00:00:00+05:30,85.3,85.35,80.1,83.7,3921589
2021-06-15 00:00:00+05:30,83.8,85.65,82.85,83.25,2155056
2021-06-16 00:00:00+05:30,84,84.5,81.5,81.8,2821152
2021-06-17 00:00:00+05:30,82.75,84.8,81.5,81.9,3029064
2021-06-18 00:00:00+05:30,82.15,82.6,76,80.5,3070198
2021-06-21 00:00:00+05:30,77.5,81.4,77.3,79.85,2034688
2021-06-22 00:00:00+05:30,81.25,83.15,80.95,81.5,2739458
2021-06-23 00:00:00+05:30,82.1,82.25,80.1,80.85,1254806
2021-06-24 00:00:00+05:30,80.5,81.3,79.5,79.75,1775776
2021-06-25 00:00:00+05:30,80.1,80.1,78.6,79.2,1068780
2021-06-28 00:00:00+05:30,79.9,80.6,78.5,78.85,880358
2021-06-29 00:00:00+05:30,78.05,79.1,77.2,77.45,928364
2021-06-30 00:00:00+05:30,77.2,78.8,77.05,78.25,1510378
2021-07-01 00:00:00+05:30,78.2,78.3,74.8,76.35,1564595
2021-07-02 00:00:00+05:30,76.4,78.8,76.35,78.05,1246799
2021-07-05 00:00:00+05:30,79.5,79.5,76.6,77,2033534
2021-07-06 00:00:00+05:30,77,78.65,76.3,76.7,1320043
2021-07-07 00:00:00+05:30,78,79.6,77.1,77.5,2372762
2021-07-08 00:00:00+05:30,79,79.3,77.65,77.95,2116905
2021-07-09 00:00:00+05:30,77.4,78.15,77.05,77.5,927960
2021-07-12 00:00:00+05:30,78.25,78.35,76.55,76.65,1260750
2021-07-13 00:00:00+05:30,77.05,77.5,76,76.5,2483478
2021-07-14 00:00:00+05:30,76.1,77.35,75.85,76.05,1734193
2021-07-15 00:00:00+05:30,76.35,76.5,74.5,75.1,2133637
2021-07-16 00:00:00+05:30,75,75.9,74.8,75,854839
2021-07-19 00:00:00+05:30,74.95,74.95,72.25,72.8,1578263
2021-07-20 00:00:00+05:30,72.35,74.5,70.3,72.4,1503996
2021-07-22 00:00:00+05:30,73.3,74.35,73,73.3,896398
2021-07-23 00:00:00+05:30,73.8,73.95,72.1,72.3,667563
2021-07-26 00:00:00+05:30,71.5,74.15,71.3,72.1,1255438
2021-07-27 00:00:00+05:30,72.15,73.1,71,72.05,1862309
2021-07-28 00:00:00+05:30,72.05,72.35,70.4,70.85,1056740
2021-07-29 00:00:00+05:30,70.85,71.6,70.75,70.95,769212
2021-07-30 00:00:00+05:30,71,71.4,70.35,70.95,1017106
