date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,16.45,16.55,16.1,16.25,99244
2021-01-04 00:00:00+05:30,17,18.45,16.35,17.85,4102767
2021-01-05 00:00:00+05:30,17.7,17.85,17.2,17.25,579866
2021-01-06 00:00:00+05:30,17.35,17.95,17.3,17.8,906411
2021-01-07 00:00:00+05:30,17.9,18,17.35,17.45,368386
2021-01-08 00:00:00+05:30,17.65,17.75,16.7,17,359806
2021-01-11 00:00:00+05:30,16.85,17.15,16.65,16.75,259340
2021-01-12 00:00:00+05:30,16.85,17.2,16.6,16.75,217790
2021-01-13 00:00:00+05:30,16.8,17.5,16.7,16.8,706858
2021-01-14 00:00:00+05:30,16.85,16.95,16.6,16.7,126433
2021-01-15 00:00:00+05:30,16.8,17,16.35,16.45,218145
2021-01-18 00:00:00+05:30,16.55,16.55,16,16.15,242501
2021-01-19 00:00:00+05:30,16.5,16.6,16.25,16.4,139392
2021-01-20 00:00:00+05:30,16.6,16.75,16.35,16.45,98688
2021-01-21 00:00:00+05:30,16.5,16.6,16.05,16.15,212167
2021-01-22 00:00:00+05:30,15.95,16.25,15.75,15.8,146501
2021-01-25 00:00:00+05:30,15.9,16.1,15.45,15.55,117107
2021-01-27 00:00:00+05:30,15.75,15.75,15.25,15.4,94663
2021-01-28 00:00:00+05:30,15.4,15.5,15.1,15.25,87011
2021-01-29 00:00:00+05:30,15.3,15.5,15.15,15.2,138398
2021-02-01 00:00:00+05:30,15.2,15.55,15,15.4,111435
2021-02-02 00:00:00+05:30,15.5,15.65,15.05,15.15,187042
2021-02-03 00:00:00+05:30,15.1,15.65,15.1,15.4,135456
2021-02-04 00:00:00+05:30,15.45,15.6,15.3,15.45,115447
2021-02-05 00:00:00+05:30,15.5,16.1,15.3,16.05,440583
2021-02-08 00:00:00+05:30,16.15,16.15,15.4,15.5,287132
2021-02-09 00:00:00+05:30,15.55,15.55,15.1,15.15,171375
2021-02-10 00:00:00+05:30,15.1,15.8,15.1,15.4,179548
2021-02-11 00:00:00+05:30,16.1,16.5,15.6,15.75,516905
2021-02-12 00:00:00+05:30,15.8,16.05,15.5,15.75,140096
2021-02-15 00:00:00+05:30,15.75,15.85,15.45,15.55,74497
2021-02-16 00:00:00+05:30,15.25,15.6,15.2,15.35,130809
2021-02-17 00:00:00+05:30,15.4,15.85,15.3,15.45,220527
2021-02-18 00:00:00+05:30,15.55,16.1,15.45,15.7,694704
2021-02-19 00:00:00+05:30,15.6,15.75,15.3,15.35,192953
2021-02-22 00:00:00+05:30,15.4,15.4,14.95,15.05,218314
2021-02-23 00:00:00+05:30,15.35,15.9,15.2,15.6,331558
2021-02-24 00:00:00+05:30,16.8,16.85,15.95,16.05,618060
2021-02-25 00:00:00+05:30,16,16.15,15.5,15.8,246851
2021-02-26 00:00:00+05:30,15.6,16.4,15.15,15.9,458106
2021-03-01 00:00:00+05:30,16.15,16.25,15.75,16.05,415475
2021-03-02 00:00:00+05:30,16.1,16.8,15.95,16.25,629545
2021-03-03 00:00:00+05:30,16.25,17.55,16.25,17.2,1850115
2021-03-04 00:00:00+05:30,16.8,17.4,16.6,16.9,1244459
2021-03-05 00:00:00+05:30,17.55,18,16.15,16.65,1634360
2021-03-08 00:00:00+05:30,16.85,17.35,16.55,16.95,769626
2021-03-09 00:00:00+05:30,17,17.5,16.55,16.75,389365
2021-03-10 00:00:00+05:30,16.7,17,16.2,16.4,223392
2021-03-12 00:00:00+05:30,16.5,16.75,16.15,16.2,293866
2021-03-15 00:00:00+05:30,16.35,16.35,15.6,15.85,331304
2021-03-16 00:00:00+05:30,15.85,16.1,15.6,15.9,185649
2021-03-17 00:00:00+05:30,16,16.05,15.3,15.4,215655
2021-03-18 00:00:00+05:30,15.65,16.25,15.2,15.4,436094
2021-03-19 00:00:00+05:30,15.25,15.5,14.85,15.4,302476
2021-03-22 00:00:00+05:30,15.5,15.5,15.1,15.2,244249
2021-03-23 00:00:00+05:30,15.2,15.45,15,15.1,213442
2021-03-24 00:00:00+05:30,15.25,15.5,15,15.1,326142
2021-03-25 00:00:00+05:30,15.15,15.65,14.8,15.05,459862
2021-03-26 00:00:00+05:30,15,15.3,14.85,14.9,488646
2021-03-30 00:00:00+05:30,15.05,15.05,14.6,14.75,139229
2021-03-31 00:00:00+05:30,14.95,14.95,14.65,14.7,192906
2021-04-01 00:00:00+05:30,14.95,15.25,14.8,15.1,240650
2021-04-05 00:00:00+05:30,15.15,15.15,14.65,14.9,208122
2021-04-06 00:00:00+05:30,15,15.15,14.8,14.9,137862
2021-04-07 00:00:00+05:30,15,15.35,14.85,15.15,237670
2021-04-08 00:00:00+05:30,15.2,15.95,15.2,15.7,528274
2021-04-09 00:00:00+05:30,15.8,16.3,15.5,15.75,690523
2021-04-12 00:00:00+05:30,15.55,15.55,14.6,14.7,232669
2021-04-13 00:00:00+05:30,14.9,15.3,14.7,14.95,165821
2021-04-15 00:00:00+05:30,14.95,15.95,14.85,15.5,1131637
2021-04-16 00:00:00+05:30,15.65,16.3,15.5,15.6,658478
2021-04-19 00:00:00+05:30,15.05,15.4,14.9,14.95,291546
2021-04-20 00:00:00+05:30,15.2,15.5,14.75,14.85,434810
2021-04-22 00:00:00+05:30,14.75,15.4,14.75,15.3,333540
2021-04-23 00:00:00+05:30,15.2,15.8,15.05,15.1,492364
2021-04-26 00:00:00+05:30,15.6,15.65,15.1,15.2,282909
