date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,54.75,55.55,53.75,54.15,673278
2021-01-04 00:00:00+05:30,54.7,57.35,54.7,55.5,1084423
2021-01-05 00:00:00+05:30,55.9,55.9,54.25,54.9,592475
2021-01-06 00:00:00+05:30,55,56.4,53.9,55.2,805259
2021-01-07 00:00:00+05:30,55.7,56.4,53.15,53.8,856383
2021-01-08 00:00:00+05:30,54.35,55.15,53.8,54,475322
2021-01-11 00:00:00+05:30,54.45,54.9,52.3,52.65,541868
2021-01-12 00:00:00+05:30,53,54.6,52.8,52.9,519929
2021-01-13 00:00:00+05:30,53.4,53.4,51.4,52.6,395507
2021-01-14 00:00:00+05:30,53.05,56.45,53.05,54.75,2210296
2021-01-15 00:00:00+05:30,54.75,55,53.1,53.6,589120
2021-01-18 00:00:00+05:30,53.6,53.6,51.4,51.75,389726
2021-01-19 00:00:00+05:30,52.45,52.9,51.95,52.4,241777
2021-01-20 00:00:00+05:30,52.7,54.95,51.85,53.45,727940
2021-01-21 00:00:00+05:30,53.5,54.3,51.35,51.75,604058
2021-01-22 00:00:00+05:30,51.95,52.9,51.35,51.6,464142
2021-01-25 00:00:00+05:30,52.1,52.85,51.35,51.45,479866
2021-01-27 00:00:00+05:30,51.4,52.45,51.25,51.35,341059
2021-01-28 00:00:00+05:30,51.35,52.05,51.35,51.45,332662
2021-01-29 00:00:00+05:30,52.15,52.35,51.35,51.4,161459
2021-02-01 00:00:00+05:30,51.4,51.6,49.15,51.1,584717
2021-02-02 00:00:00+05:30,51.8,56.45,51.75,55.3,2092399
2021-02-03 00:00:00+05:30,55.55,58.75,54.4,56.4,1307471
2021-02-04 00:00:00+05:30,56.8,59.7,55.75,56.95,1569403
2021-02-05 00:00:00+05:30,57,57.45,54.85,55.4,542265
2021-02-08 00:00:00+05:30,55.6,55.7,50.4,54.35,463928
2021-02-09 00:00:00+05:30,54.7,56.7,53.9,54.55,777896
2021-02-10 00:00:00+05:30,54.85,59.2,53.5,58.4,1809044
2021-02-11 00:00:00+05:30,59.9,59.9,56.7,57.25,2035884
2021-02-12 00:00:00+05:30,57.85,59.45,56.2,57,1367019
2021-02-15 00:00:00+05:30,57.3,58.5,55.45,56.75,609060
2021-02-16 00:00:00+05:30,56.9,57.45,55.1,55.35,444726
2021-02-17 00:00:00+05:30,55.65,62.8,54.95,61.2,5120898
2021-02-18 00:00:00+05:30,61.1,62.2,59.45,60.25,1805154
2021-02-19 00:00:00+05:30,60.3,62.3,57.75,58.5,1384441
2021-02-22 00:00:00+05:30,59,59.05,56.05,57.15,830023
2021-02-23 00:00:00+05:30,57.55,60.4,56.4,56.8,1361416
2021-02-24 00:00:00+05:30,57.2,59.7,56.9,57.55,630413
2021-02-25 00:00:00+05:30,58.4,63.55,57.85,61.8,4771005
2021-02-26 00:00:00+05:30,60.7,62.2,58.6,59.35,1539309
2021-03-01 00:00:00+05:30,60.05,70,59.9,66.95,6049215
2021-03-02 00:00:00+05:30,68.2,70.4,66.3,66.85,2084783
2021-03-03 00:00:00+05:30,67.45,69.6,66.45,67.5,1667087
2021-03-04 00:00:00+05:30,66.55,76.95,65.2,75,8015805
2021-03-05 00:00:00+05:30,73.55,76.6,71,72.4,3724445
2021-03-08 00:00:00+05:30,73.4,76.55,71.1,71.75,2464428
2021-03-09 00:00:00+05:30,72.35,73.15,63.5,66.35,2721088
2021-03-10 00:00:00+05:30,67.05,70.95,65.3,70.15,2513891
2021-03-12 00:00:00+05:30,70.65,71.05,65.7,66.95,1307093
2021-03-15 00:00:00+05:30,67.6,70.9,64.4,69.4,2135435
2021-03-16 00:00:00+05:30,69.9,71.75,67.75,68.8,2612878
2021-03-17 00:00:00+05:30,69.4,69.9,64.5,65.3,1845270
2021-03-18 00:00:00+05:30,66.55,66.95,60.5,62.35,1748780
2021-03-19 00:00:00+05:30,62.2,63.6,59.45,63.15,1183977
2021-03-22 00:00:00+05:30,63.9,67.25,63.3,66.35,1516605
2021-03-23 00:00:00+05:30,66.05,66.95,64.65,65.15,913130
2021-03-24 00:00:00+05:30,65,66.2,61.7,62.35,765655
2021-03-25 00:00:00+05:30,62.9,63.8,57.9,60.15,1056552
2021-03-26 00:00:00+05:30,60.9,62.3,59.9,60.55,707339
2021-03-30 00:00:00+05:30,61.25,62.45,59.9,60.15,888024
2021-03-31 00:00:00+05:30,60.45,61,59.95,60.1,395840
2021-04-01 00:00:00+05:30,61.05,66.3,54.75,65.4,1316258
2021-04-05 00:00:00+05:30,64.95,65.4,60.5,63.1,1070103
2021-04-06 00:00:00+05:30,63.3,65.45,62.6,65,960671
2021-04-07 00:00:00+05:30,65,68.2,64.4,65.9,1282963
2021-04-08 00:00:00+05:30,66.3,67.8,64.7,65.85,1022021
2021-04-09 00:00:00+05:30,66.25,70.5,65.85,66.25,2521308
2021-04-12 00:00:00+05:30,65,65,58.7,59.7,1474386
2021-04-13 00:00:00+05:30,60.85,62.3,59.3,61.7,782613
2021-04-15 00:00:00+05:30,61.5,61.6,58.8,60.15,844047
2021-04-16 00:00:00+05:30,60.1,61.95,58.95,59.45,897322
2021-04-19 00:00:00+05:30,58.5,58.5,56.65,57.1,876728
2021-04-20 00:00:00+05:30,59.1,59.65,57.5,58.3,953008
2021-04-22 00:00:00+05:30,56.95,58.95,56.9,57.5,662085
2021-04-23 00:00:00+05:30,57.25,59.25,57.15,57.6,530461
2021-04-26 00:00:00+05:30,59.4,65.4,58.3,64.3,3078896
2021-04-27 00:00:00+05:30,64.8,64.8,61.75,62.2,1007391
2021-04-28 00:00:00+05:30,63.3,67.55,62.65,64.35,5431996
2021-04-29 00:00:00+05:30,66.05,67.1,63.75,64.55,1473869
2021-04-30 00:00:00+05:30,64.05,68,63.5,64.9,2012708
2021-05-03 00:00:00+05:30,63.85,65.8,63.85,64.9,867174
2021-05-04 00:00:00+05:30,65.85,66.6,59.95,62.45,1215158
2021-05-05 00:00:00+05:30,63.55,63.7,62,62.55,470794
2021-05-06 00:00:00+05:30,62.9,64.35,61.95,62.4,651253
2021-05-07 00:00:00+05:30,63.3,71.35,62.55,66.95,4687520
2021-05-10 00:00:00+05:30,67.8,72.05,66.75,70.95,9008450
2021-05-11 00:00:00+05:30,69.3,72.55,69,70.8,4469232
2021-05-12 00:00:00+05:30,71.2,72.65,66.4,67.85,2064313
2021-05-14 00:00:00+05:30,68.4,69.95,63.1,64.65,2313997
2021-05-17 00:00:00+05:30,67.05,69.7,64.95,65.85,4280151
2021-05-18 00:00:00+05:30,66.9,67.55,65.85,66.1,1079945
2021-05-19 00:00:00+05:30,66.4,67.5,64.35,65.25,848619
2021-05-20 00:00:00+05:30,66.45,67.95,63.75,66.9,2021847
2021-05-21 00:00:00+05:30,67.35,68.95,67.05,67.9,1604515
2021-05-24 00:00:00+05:30,68.45,68.7,66.95,67.35,741276
2021-05-25 00:00:00+05:30,67.45,69.3,66.25,67.65,2006854
2021-05-26 00:00:00+05:30,68.25,75.65,67.35,74.45,10869893
2021-05-27 00:00:00+05:30,74.45,77.4,72.35,73,4958838
2021-05-28 00:00:00+05:30,73.35,73.65,70.4,70.85,2005841
2021-05-31 00:00:00+05:30,70.85,72.05,68.2,69.05,1282707
2021-06-01 00:00:00+05:30,69.6,70.15,66.05,69,1811686
2021-06-02 00:00:00+05:30,69.3,71.75,68.45,69.35,2350987
2021-06-03 00:00:00+05:30,69.3,70.6,68.8,69.8,1033339
2021-06-04 00:00:00+05:30,69.35,71.45,69.1,69.4,1215864
2021-06-07 00:00:00+05:30,70.05,71.45,69.5,69.75,1103050
2021-06-08 00:00:00+05:30,70.1,70.35,68.75,69.1,765643
2021-06-09 00:00:00+05:30,70,70.6,66.2,67.05,1451485
2021-06-10 00:00:00+05:30,67.55,73.3,67.55,71.25,3573576
2021-06-11 00:00:00+05:30,71.85,72.1,68.7,69.2,1243904
2021-06-14 00:00:00+05:30,69.2,74.65,66.75,73.3,5244012
2021-06-15 00:00:00+05:30,73.85,78.6,72.35,73.85,11027950
2021-06-16 00:00:00+05:30,74,75.7,71.45,74.1,3186117
2021-06-17 00:00:00+05:30,73.15,75,72.1,73.4,1709089
2021-06-18 00:00:00+05:30,74,74,68.6,71,1957839
2021-06-21 00:00:00+05:30,70,72.65,68.9,70.75,1425557
2021-06-22 00:00:00+05:30,71.5,77.4,71.5,73.55,5211495
2021-06-23 00:00:00+05:30,74.45,82.85,73.8,78.95,15885661
2021-06-24 00:00:00+05:30,79.5,81.25,77.45,79.85,3367299
2021-06-25 00:00:00+05:30,80.5,81.85,78.9,79.3,1894922
2021-06-28 00:00:00+05:30,80,80.6,77.25,78,1649354
2021-06-29 00:00:00+05:30,78.45,82.75,77.85,80.3,4656197
2021-06-30 00:00:00+05:30,80.9,81.25,78.55,78.9,1205767
2021-07-01 00:00:00+05:30,79.4,80.3,78.15,78.65,926834
2021-07-02 00:00:00+05:30,79,79.65,78,78.35,715505
2021-07-05 00:00:00+05:30,78.85,80.15,77.7,78.4,1063035
2021-07-06 00:00:00+05:30,79.05,84.8,78.3,79.95,6174929
2021-07-07 00:00:00+05:30,80.25,82.7,79.75,80.25,1695605
2021-07-08 00:00:00+05:30,80.35,81.85,78.35,79.7,1217040
2021-07-09 00:00:00+05:30,79.55,82.4,78.9,81.25,1841608
2021-07-12 00:00:00+05:30,81.85,82.55,79.75,80.2,1617938
2021-07-13 00:00:00+05:30,80.85,81.1,79.65,80.1,917664
2021-07-14 00:00:00+05:30,80.35,80.9,78.8,79.15,983711
2021-07-15 00:00:00+05:30,79.4,81.8,79,79.45,1619882
2021-07-16 00:00:00+05:30,79.65,80.15,77.95,78.3,946245
2021-07-19 00:00:00+05:30,77.65,79.85,76.65,78.3,1213076
2021-07-20 00:00:00+05:30,78.9,80,74.1,75.2,1972065
2021-07-22 00:00:00+05:30,79.55,80.05,77.5,77.75,1963592
2021-07-23 00:00:00+05:30,78.45,79.95,76.85,78.7,1493096
2021-07-26 00:00:00+05:30,79.15,84.2,78.55,80.5,3563358
2021-07-27 00:00:00+05:30,81.15,86.4,80.65,84.8,8876568
2021-07-28 00:00:00+05:30,85.5,87.2,82.65,84,6528384
2021-07-29 00:00:00+05:30,84.35,86.3,83.5,83.9,2844344
2021-07-30 00:00:00+05:30,83.7,84.15,81,81.4,1281026
2021-08-02 00:00:00+05:30,82.05,84.8,80.75,83.7,2515749
2021-08-03 00:00:00+05:30,84.45,88.85,83.85,87.5,6039444
2021-08-04 00:00:00+05:30,88.2,90.25,80,82.35,7517104
2021-08-05 00:00:00+05:30,82.4,82.45,78.9,79.75,2430123
2021-08-06 00:00:00+05:30,79.9,81.05,78.85,79.15,1406704
2021-08-09 00:00:00+05:30,79.7,81.95,77.3,78.2,2291986
2021-08-10 00:00:00+05:30,78.3,79.85,70.6,74.15,2840803
2021-08-11 00:00:00+05:30,74.3,74.7,69.1,73.65,1720334
2021-08-12 00:00:00+05:30,74,78.15,73.3,76.5,2889071
2021-08-13 00:00:00+05:30,77.1,77.8,72.95,73.45,1288383
2021-08-16 00:00:00+05:30,73.8,73.8,71.85,72.1,512401
2021-08-17 00:00:00+05:30,72.15,73.05,69.95,71,1049585
2021-08-18 00:00:00+05:30,71.2,73.25,70.65,71.9,1046849
2021-08-20 00:00:00+05:30,70.15,71.35,68.5,68.65,982792
2021-08-23 00:00:00+05:30,69.4,70.35,62.95,63.7,1348334
2021-08-24 00:00:00+05:30,63.75,66.75,63.7,66.45,1448970
2021-08-25 00:00:00+05:30,66.75,69.3,66.35,67.65,1221003
2021-08-26 00:00:00+05:30,67.85,68.2,65.2,65.85,725823
2021-08-27 00:00:00+05:30,66.5,69.85,64.7,67.75,1780188
2021-08-30 00:00:00+05:30,68.1,70.85,67.6,70.2,1091800
