date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,85.75,85.8,84.1,84.45,57528
2021-01-04 00:00:00+05:30,85.75,91.05,83.5,88.2,268111
2021-01-05 00:00:00+05:30,87.75,90,85,88.45,141740
2021-01-06 00:00:00+05:30,88.7,88.7,85.25,86.3,105299
2021-01-07 00:00:00+05:30,87.9,87.9,84.8,86.25,83617
2021-01-08 00:00:00+05:30,86.25,100.9,86,93.15,890346
2021-01-11 00:00:00+05:30,92.8,93,89.6,90.9,212570
2021-01-12 00:00:00+05:30,91.95,98.7,90,94.85,488759
2021-01-13 00:00:00+05:30,97,98.4,93.4,94.75,194785
2021-01-14 00:00:00+05:30,95,95.65,93,93.65,88805
2021-01-15 00:00:00+05:30,92.75,93.9,81.5,91.9,142501
2021-01-18 00:00:00+05:30,91.9,95,87.75,90.4,154950
2021-01-19 00:00:00+05:30,90,93.6,90,91.4,62546
2021-01-20 00:00:00+05:30,92.55,93.25,91,91.55,47234
2021-01-21 00:00:00+05:30,91.75,92.4,86.15,88.95,92021
2021-01-22 00:00:00+05:30,89.9,91.25,86.3,87.25,62734
2021-01-25 00:00:00+05:30,88.5,89.15,84,84.45,74304
2021-01-27 00:00:00+05:30,85,85.3,82.05,84.5,71407
2021-01-28 00:00:00+05:30,84.8,86.95,83.85,86.65,58236
2021-01-29 00:00:00+05:30,89.35,90.3,85.25,86.2,54625
2021-02-01 00:00:00+05:30,85.25,88.9,82.65,84.85,112920
2021-02-02 00:00:00+05:30,84.2,87.5,81.5,82.95,156463
2021-02-03 00:00:00+05:30,83,86.25,82.5,83,204251
2021-02-04 00:00:00+05:30,84.75,85,83,83.2,103985
2021-02-05 00:00:00+05:30,83.3,84.1,79,79.75,122763
2021-02-08 00:00:00+05:30,79.75,81.15,72.6,74.55,282105
2021-02-09 00:00:00+05:30,76,76.75,74.1,75.45,113764
2021-02-10 00:00:00+05:30,75.75,77.15,72.6,73.25,102305
2021-02-11 00:00:00+05:30,73.85,75.8,72,74.75,186801
2021-02-12 00:00:00+05:30,74.85,76.2,73.5,74,137690
2021-02-15 00:00:00+05:30,74.1,75.25,72.5,72.75,242692
2021-02-16 00:00:00+05:30,72.75,74.5,71.5,71.8,113653
2021-02-17 00:00:00+05:30,71.5,75.4,70,70.6,361224
2021-02-18 00:00:00+05:30,71,71,68.8,69.45,143953
2021-02-19 00:00:00+05:30,70,72.5,69,69.4,89507
2021-02-22 00:00:00+05:30,70.8,70.8,65.5,66.7,199542
2021-02-23 00:00:00+05:30,67.9,70.5,66.8,68.2,362850
2021-02-24 00:00:00+05:30,69.95,71.8,66.25,68,209628
2021-02-25 00:00:00+05:30,68.95,71.55,67.3,68.95,305633
2021-02-26 00:00:00+05:30,68,68.9,66.65,67.15,166846
2021-03-01 00:00:00+05:30,67.15,70.25,66.7,67.25,203579
2021-03-02 00:00:00+05:30,67.65,74.9,67.35,73.85,497521
2021-03-03 00:00:00+05:30,74.45,77.4,73.25,74.35,446371
2021-03-04 00:00:00+05:30,73.25,76.75,71.55,72,209306
2021-03-05 00:00:00+05:30,72.1,74.25,69.1,70,179263
2021-03-08 00:00:00+05:30,70.25,73.35,68.7,69.2,356008
2021-03-09 00:00:00+05:30,70,71.4,66.15,66.8,360267
2021-03-10 00:00:00+05:30,68.45,71,66,68.2,115266
2021-03-12 00:00:00+05:30,69,70.2,67.55,68.25,82916
2021-03-15 00:00:00+05:30,69,69,58.3,66.6,162016
2021-03-16 00:00:00+05:30,67,67.65,65.3,65.65,72235
2021-03-17 00:00:00+05:30,65.7,69.3,65.35,66.1,278425
2021-03-18 00:00:00+05:30,66.35,67,63.15,63.85,88127
2021-03-19 00:00:00+05:30,63.4,65,61.6,63.55,200010
2021-03-22 00:00:00+05:30,63.5,64.15,62.45,63.55,94645
2021-03-23 00:00:00+05:30,63.5,64.75,62.8,63.2,87484
2021-03-24 00:00:00+05:30,63.45,64.25,62.05,62.55,75722
2021-03-25 00:00:00+05:30,62.45,66.05,60.1,61.15,233636
2021-03-26 00:00:00+05:30,62.05,62.35,60.55,61.1,119342
2021-03-30 00:00:00+05:30,61.1,62.95,60.5,60.7,71551
2021-03-31 00:00:00+05:30,60.5,61.35,58,59.8,80519
2021-04-01 00:00:00+05:30,60.9,61,59.8,60.4,157856
2021-04-05 00:00:00+05:30,60.4,60.4,58.6,59.65,126929
2021-04-06 00:00:00+05:30,57.5,60.4,57.5,59.7,142184
2021-04-07 00:00:00+05:30,60.8,61.6,59,60.95,125026
2021-04-08 00:00:00+05:30,62.25,69.9,61.95,68.95,443004
2021-04-09 00:00:00+05:30,68.85,68.85,65.35,66.5,192857
2021-04-12 00:00:00+05:30,66.1,66.1,60.85,61.9,98232
2021-04-13 00:00:00+05:30,63,66.9,61.65,64,194412
2021-04-15 00:00:00+05:30,64.7,65.4,63.2,63.55,88713
2021-04-16 00:00:00+05:30,64,66.9,63.1,64.75,177905
2021-04-19 00:00:00+05:30,64.35,65.7,60.45,61.6,312848
2021-04-20 00:00:00+05:30,62.75,63.9,61.85,63.2,126632
2021-04-22 00:00:00+05:30,63.2,74.4,63.2,72.15,867517
2021-04-23 00:00:00+05:30,72.8,79.5,71,72.5,877017
2021-04-26 00:00:00+05:30,73.95,77.65,73.05,73.7,542775
2021-04-27 00:00:00+05:30,74,77,73.95,75.8,429248
2021-04-28 00:00:00+05:30,76.4,81.5,74.3,78.5,905248
2021-04-29 00:00:00+05:30,78.25,80.6,75.8,77.95,438500
2021-04-30 00:00:00+05:30,77.9,79,76,77.3,254696
2021-05-03 00:00:00+05:30,76,81.25,75.15,79.55,392159
2021-05-04 00:00:00+05:30,80,82.9,77.8,78.3,435078
2021-05-05 00:00:00+05:30,78.05,81,77.05,77.45,280723
2021-05-06 00:00:00+05:30,78.75,80.8,77.25,78.05,362447
2021-05-07 00:00:00+05:30,79,79.4,76.8,77.2,111005
2021-05-10 00:00:00+05:30,77.2,81.9,75.85,77.45,420066
2021-05-11 00:00:00+05:30,77,79.05,76.6,77.75,170042
2021-05-12 00:00:00+05:30,78,80.2,77,77.3,238581
2021-05-14 00:00:00+05:30,78,78.25,74.5,77.55,268243
2021-05-17 00:00:00+05:30,77.25,78,75.55,76,122430
2021-05-18 00:00:00+05:30,76,77.1,75,75.3,104888
2021-05-19 00:00:00+05:30,75.95,79.75,75.95,77.65,292640
2021-05-20 00:00:00+05:30,77.55,81.9,76.55,78.35,419952
2021-05-21 00:00:00+05:30,78.1,79.8,78,78.3,152578
2021-05-24 00:00:00+05:30,79,82,78.5,80.6,729913
2021-05-25 00:00:00+05:30,80.65,83.7,74.5,76.85,855076
2021-05-26 00:00:00+05:30,78.95,80.45,78.05,78.95,234234
2021-05-27 00:00:00+05:30,78.7,79.85,77.05,77.95,163235
2021-05-28 00:00:00+05:30,77.65,80.95,77.55,80.25,303594
2021-05-31 00:00:00+05:30,81,81.6,72.1,73.6,636800
2021-06-01 00:00:00+05:30,74,76.45,73.65,74.2,472197
2021-06-02 00:00:00+05:30,74.65,77.95,74,75.95,614183
2021-06-03 00:00:00+05:30,76.95,78.8,73,73.85,569825
2021-06-04 00:00:00+05:30,73.75,75.75,73.75,74.95,142878
2021-06-07 00:00:00+05:30,75.95,78.2,75,76.9,777515
2021-06-08 00:00:00+05:30,76.05,77.15,75.2,75.8,261158
2021-06-09 00:00:00+05:30,76.45,79.95,75.85,76.6,889875
2021-06-10 00:00:00+05:30,78.75,79.9,77.5,77.95,451458
2021-06-11 00:00:00+05:30,78.5,79.05,77,77.9,181208
2021-06-14 00:00:00+05:30,80,89.2,78,87.95,2251097
2021-06-15 00:00:00+05:30,88.95,92.9,86.75,87.95,1632286
2021-06-16 00:00:00+05:30,87.95,90.5,84.15,85.4,655856
2021-06-17 00:00:00+05:30,82.45,86.6,82.45,83.95,403799
2021-06-18 00:00:00+05:30,85,85.7,77.35,81.3,281788
2021-06-21 00:00:00+05:30,79.95,84.1,78.65,83.15,410554
2021-06-22 00:00:00+05:30,83.5,85.65,83.1,84.6,499165
2021-06-23 00:00:00+05:30,85.3,87.5,84.7,85.35,575105
2021-06-24 00:00:00+05:30,86.25,86.45,82,82.65,388943
2021-06-25 00:00:00+05:30,84,86.7,80.4,82.05,518564
2021-06-28 00:00:00+05:30,83,84.4,80.7,82.6,221744
2021-06-29 00:00:00+05:30,82.75,83.7,81.3,81.7,106303
2021-06-30 00:00:00+05:30,81.75,84.1,81.1,81.8,196359
2021-07-01 00:00:00+05:30,81.8,85.25,81.7,82.05,247745
2021-07-02 00:00:00+05:30,82.45,83.5,81.85,82.3,111863
2021-07-05 00:00:00+05:30,82.9,84.1,81.75,82.45,190859
2021-07-06 00:00:00+05:30,82.45,82.95,80,80.3,133368
2021-07-07 00:00:00+05:30,80.35,82.8,78.8,79.2,273804
2021-07-08 00:00:00+05:30,80,81.85,78,78.4,238755
2021-07-09 00:00:00+05:30,78,79.2,77.15,78.15,118066
2021-07-12 00:00:00+05:30,80.2,80.5,78.9,79.55,106016
2021-07-13 00:00:00+05:30,79,80.6,78.55,79.15,68667
2021-07-14 00:00:00+05:30,78.15,80.45,78.15,79.15,145300
2021-07-15 00:00:00+05:30,79.35,86.75,79.35,84.65,718005
2021-07-16 00:00:00+05:30,85.1,87,84.4,84.8,382422
2021-07-19 00:00:00+05:30,83.9,86,82.9,84.2,224114
2021-07-20 00:00:00+05:30,84.8,84.8,80.85,82.35,164537
2021-07-22 00:00:00+05:30,84.6,87,83.1,86.45,276968
2021-07-23 00:00:00+05:30,88,88.5,81,81.5,906302
2021-07-26 00:00:00+05:30,79.5,80.8,70,71.3,2115206
2021-07-27 00:00:00+05:30,72.5,75.55,70.7,73.55,1500939
2021-07-28 00:00:00+05:30,74.75,75.9,73,73.7,481123
2021-07-29 00:00:00+05:30,74.9,75,73.6,74.1,163411
2021-07-30 00:00:00+05:30,74.75,76.25,73.65,74.7,286342
2021-08-02 00:00:00+05:30,75,77,74.6,76.35,386698
2021-08-03 00:00:00+05:30,76.5,78.5,76.3,77.35,371970
2021-08-04 00:00:00+05:30,77.9,77.95,73.2,73.8,574634
2021-08-05 00:00:00+05:30,73.5,74.35,70.95,71.85,261721
2021-08-06 00:00:00+05:30,72.6,73.05,71.75,72.35,125144
2021-08-09 00:00:00+05:30,72.35,75.5,72,72.85,304217
2021-08-10 00:00:00+05:30,72,74.9,68.9,70.55,104800
2021-08-11 00:00:00+05:30,71.95,71.95,64.6,68.15,304981
2021-08-12 00:00:00+05:30,69.7,70.7,69.1,70.1,71912
2021-08-13 00:00:00+05:30,71,71.05,69.5,70.35,81713
2021-08-16 00:00:00+05:30,64.5,65.95,61.2,63.25,469130
2021-08-17 00:00:00+05:30,64,64.55,61.85,62.15,164559
2021-08-18 00:00:00+05:30,62.3,64,61.6,63.2,189451
2021-08-20 00:00:00+05:30,63,66.9,60.6,65.4,393741
2021-08-23 00:00:00+05:30,66,76.4,66,74.45,1191763
2021-08-24 00:00:00+05:30,74.5,81,70.55,80.15,1638522
2021-08-25 00:00:00+05:30,80.5,83.4,77.55,81.35,1289630
2021-08-26 00:00:00+05:30,83.3,83.3,79.65,81.4,264081
2021-08-27 00:00:00+05:30,80.1,81.05,78.15,79,112263
2021-08-30 00:00:00+05:30,79.85,80.35,76.7,79.55,137438
2021-08-31 00:00:00+05:30,79.8,79.8,77.4,78.1,69202
2021-09-01 00:00:00+05:30,78.5,79,76.1,76.35,69739
2021-09-02 00:00:00+05:30,77.3,80,76.35,78.2,104118
2021-09-03 00:00:00+05:30,78.95,79.8,76.5,77.35,84673
2021-09-06 00:00:00+05:30,78.15,78.9,75.85,76.3,135873
2021-09-07 00:00:00+05:30,76.8,76.8,73.7,74,111071
2021-09-08 00:00:00+05:30,75.5,75.5,73.05,74,53805
2021-09-09 00:00:00+05:30,75,75.5,73.05,73.55,68455
2021-09-13 00:00:00+05:30,74.75,75.15,73.2,73.8,62822
2021-09-14 00:00:00+05:30,74.35,76.65,72.5,73.1,155230
2021-09-15 00:00:00+05:30,73,74.5,73,73.35,47020
2021-09-16 00:00:00+05:30,73.35,76.65,73.2,75,184124
2021-09-17 00:00:00+05:30,75,75.2,72.15,73.5,217949
2021-09-20 00:00:00+05:30,73.5,75.9,72.05,72.5,292739
2021-09-21 00:00:00+05:30,72.25,73.6,70,71.1,212004
2021-09-22 00:00:00+05:30,71.2,85.2,71.2,76.45,424869
2021-09-23 00:00:00+05:30,77,80.25,76.65,77.45,425551
2021-09-24 00:00:00+05:30,77.5,78.15,74.05,74.35,230169
2021-09-27 00:00:00+05:30,74.95,75.15,72.8,74.05,102785
2021-09-28 00:00:00+05:30,74,76.7,72.7,73.45,178060
