date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,88.3,88.3,82.05,85.55,10290
2021-01-04 00:00:00+05:30,85.55,87,85,85.5,19876
2021-01-05 00:00:00+05:30,86.9,89.75,84,89.75,37190
2021-01-06 00:00:00+05:30,94.2,94.2,90.05,92.85,59667
2021-01-07 00:00:00+05:30,93.45,93.45,89.1,89.55,11691
2021-01-08 00:00:00+05:30,90.45,93,85.15,91.35,26824
2021-01-11 00:00:00+05:30,91,91,87.2,88.65,6639
2021-01-12 00:00:00+05:30,89.2,90.95,87.05,87.15,13986
2021-01-13 00:00:00+05:30,88.9,90,84.3,88,14445
2021-01-14 00:00:00+05:30,89.8,89.8,86.05,87.2,4923
2021-01-15 00:00:00+05:30,87.3,87.3,83.5,84.15,22965
2021-01-18 00:00:00+05:30,84.2,86.5,82.5,84.4,9154
2021-01-19 00:00:00+05:30,84.4,84.4,83.25,83.4,6883
2021-01-20 00:00:00+05:30,83,85.9,81.95,85.2,7524
2021-01-21 00:00:00+05:30,82.55,85.45,80.95,81,46618
2021-01-22 00:00:00+05:30,81,82.95,76.95,78.45,31052
2021-01-25 00:00:00+05:30,79.85,79.85,76.9,77.5,36117
2021-01-27 00:00:00+05:30,77.5,81,75.5,79.2,14402
2021-01-28 00:00:00+05:30,81,81,78,79.15,4297
2021-01-29 00:00:00+05:30,81,81,77.5,79.85,83740
2021-02-01 00:00:00+05:30,80.45,81.5,76.1,78.8,79284
2021-02-02 00:00:00+05:30,77.2,82.7,77.2,82.7,184844
2021-02-03 00:00:00+05:30,83.5,86.75,82.75,85.85,103039
2021-02-04 00:00:00+05:30,87.45,89.3,85,87.9,89300
2021-02-05 00:00:00+05:30,88,90.1,87,88.4,90766
2021-02-08 00:00:00+05:30,90,91.35,88,90.1,101679
2021-02-09 00:00:00+05:30,94.25,96,90.3,94.5,207355
2021-02-10 00:00:00+05:30,98.5,100.2,94.15,99.4,435184
2021-02-11 00:00:00+05:30,100.5,101.95,90.3,93.4,520268
2021-02-12 00:00:00+05:30,93.4,97,92.1,96.45,80650
2021-02-15 00:00:00+05:30,97.9,98.6,89.7,91.9,130681
2021-02-16 00:00:00+05:30,91.9,93.35,89,89.4,39605
2021-02-17 00:00:00+05:30,90.1,90.9,89.5,90.65,52784
2021-02-18 00:00:00+05:30,90.5,90.5,85.9,88.05,90219
2021-02-19 00:00:00+05:30,87,90.9,85.75,86.5,64786
2021-02-22 00:00:00+05:30,87.8,87.8,83,85.3,30886
2021-02-23 00:00:00+05:30,83.5,86.35,83.5,84.75,12153
2021-02-24 00:00:00+05:30,85,89,84.5,85.55,11185
2021-02-25 00:00:00+05:30,86.85,87.5,84.6,85.2,12895
2021-02-26 00:00:00+05:30,85,86.55,83.45,83.8,26379
2021-03-01 00:00:00+05:30,84.1,85.2,83.45,84.1,17583
2021-03-02 00:00:00+05:30,84.95,84.95,82.45,83.2,29291
2021-03-03 00:00:00+05:30,82.25,85,80.55,84.3,14220
2021-03-04 00:00:00+05:30,84.45,84.5,81.3,82.35,41098
2021-03-05 00:00:00+05:30,83.5,84.3,81.5,81.65,26637
2021-03-08 00:00:00+05:30,81.9,88,80.4,83.25,150230
2021-03-09 00:00:00+05:30,83.5,85,81.8,82.35,15818
2021-03-10 00:00:00+05:30,82.05,87,82,85.85,53591
2021-03-12 00:00:00+05:30,89,89,84.55,85.2,19260
2021-03-15 00:00:00+05:30,85.05,87.75,78.1,81.75,190489
