date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,9.25,9.25,8.85,9,732571
2021-01-04 00:00:00+05:30,9.2,9.2,9,9.05,372545
2021-01-05 00:00:00+05:30,9.05,9.4,8.95,9.2,1396155
2021-01-06 00:00:00+05:30,9.35,9.35,9,9.15,573402
2021-01-07 00:00:00+05:30,9.35,9.35,9.1,9.2,338881
2021-01-08 00:00:00+05:30,9.3,9.9,9.15,9.65,1276946
2021-01-11 00:00:00+05:30,9.8,9.8,9.3,9.55,276519
2021-01-12 00:00:00+05:30,9.6,10.05,9.2,9.5,678179
2021-01-13 00:00:00+05:30,9.5,9.95,9.3,9.5,315992
2021-01-14 00:00:00+05:30,9.5,9.6,9.25,9.4,138268
2021-01-15 00:00:00+05:30,9.6,9.6,9.1,9.3,224498
2021-01-18 00:00:00+05:30,9.15,9.35,9.05,9.2,215006
2021-01-19 00:00:00+05:30,9.4,9.4,9,9.05,248235
2021-01-20 00:00:00+05:30,9.15,9.25,9,9.1,155180
2021-01-21 00:00:00+05:30,9.05,9.1,8.9,8.95,152266
2021-01-22 00:00:00+05:30,9.1,9.1,7.4,8.75,343376
2021-01-25 00:00:00+05:30,8.9,8.9,8.1,8.55,297694
2021-01-27 00:00:00+05:30,8.75,8.75,8.5,8.55,87025
2021-01-28 00:00:00+05:30,8.6,8.6,8.2,8.5,115224
2021-01-29 00:00:00+05:30,8.5,8.75,8.3,8.4,142931
2021-02-01 00:00:00+05:30,8.85,9.25,8.4,8.95,568732
2021-02-02 00:00:00+05:30,9.1,9.25,8.65,8.8,102412
2021-02-03 00:00:00+05:30,8.7,9.05,8.65,8.8,152167
2021-02-04 00:00:00+05:30,9,9,8.7,8.8,70212
2021-02-05 00:00:00+05:30,9,9,8.75,8.75,46338
2021-02-08 00:00:00+05:30,8.95,9,8.7,8.8,77660
2021-02-09 00:00:00+05:30,8.55,8.95,8.55,8.75,62089
2021-02-10 00:00:00+05:30,8.95,8.95,8.65,8.7,33767
2021-02-11 00:00:00+05:30,8.8,8.8,8.2,8.5,140259
2021-02-12 00:00:00+05:30,8.5,8.8,8.5,8.55,76129
2021-02-15 00:00:00+05:30,8.9,8.9,8.35,8.5,57756
2021-02-16 00:00:00+05:30,8.55,8.55,8.3,8.3,79749
2021-02-17 00:00:00+05:30,8.2,8.5,8.2,8.45,69973
2021-02-18 00:00:00+05:30,8.4,8.55,8.25,8.35,61626
2021-02-19 00:00:00+05:30,8.35,8.5,8.2,8.25,69310
2021-02-22 00:00:00+05:30,8.45,8.45,7.95,8,139232
2021-02-23 00:00:00+05:30,8.4,8.4,8.1,8.2,116154
2021-02-24 00:00:00+05:30,8.35,9.7,8.1,8.35,877317
2021-02-25 00:00:00+05:30,8.5,8.8,8.25,8.3,372192
2021-02-26 00:00:00+05:30,8.35,8.45,8.1,8.25,138926
2021-03-01 00:00:00+05:30,8.25,8.4,8.1,8.15,134730
2021-03-02 00:00:00+05:30,8,8.5,7.95,8.05,335715
2021-03-03 00:00:00+05:30,8.25,8.3,8,8.05,272845
2021-03-04 00:00:00+05:30,8.2,8.6,7.95,8.15,436145
2021-03-05 00:00:00+05:30,8.25,8.25,7.45,8,323744
2021-03-08 00:00:00+05:30,8,8.15,7.95,8,175834
2021-03-09 00:00:00+05:30,8.05,8.3,7.65,7.85,376843
2021-03-10 00:00:00+05:30,7.95,8.05,7.6,7.85,282209
