date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,25.5,26.25,25.4,26.15,68391
2021-01-04 00:00:00+05:30,26.15,26.65,26,26.15,42330
2021-01-05 00:00:00+05:30,26.15,26.5,25.25,25.8,65164
2021-01-06 00:00:00+05:30,26.4,26.4,25.55,25.65,58352
2021-01-07 00:00:00+05:30,25.8,26.9,25.8,26.9,164200
2021-01-08 00:00:00+05:30,28.2,28.2,27.3,28.2,173748
2021-01-11 00:00:00+05:30,28.8,29.3,26.8,26.8,171416
2021-01-12 00:00:00+05:30,27.35,27.6,25.5,26.5,114638
2021-01-13 00:00:00+05:30,26.25,26.65,25.6,25.85,77155
2021-01-14 00:00:00+05:30,25.6,26.3,25.2,25.7,29100
2021-01-15 00:00:00+05:30,26,26,25.1,25.35,24549
2021-01-18 00:00:00+05:30,25,25,24.1,24.1,64476
2021-01-19 00:00:00+05:30,24.2,24.8,23.7,23.9,60864
2021-01-20 00:00:00+05:30,23.9,24.9,23.9,24.65,37608
2021-01-21 00:00:00+05:30,24.65,25.2,23.9,24,51771
2021-01-22 00:00:00+05:30,24.55,24.55,23.55,23.65,35588
2021-01-25 00:00:00+05:30,24.4,24.45,22.6,22.95,39114
2021-01-27 00:00:00+05:30,22.95,23,22.5,22.8,18148
2021-01-28 00:00:00+05:30,22.2,23.2,22.2,22.85,24370
2021-01-29 00:00:00+05:30,23.7,23.95,23.25,23.95,30501
2021-02-01 00:00:00+05:30,23.95,24.7,23.3,23.75,41248
2021-02-02 00:00:00+05:30,24.7,24.7,23.5,23.95,36622
2021-02-03 00:00:00+05:30,24.4,24.4,23.6,23.75,58781
2021-02-04 00:00:00+05:30,23.45,24.75,23.45,24.65,65956
2021-02-05 00:00:00+05:30,24.9,25.1,24.05,24.35,29710
2021-02-08 00:00:00+05:30,24.75,24.75,23.75,23.95,36309
2021-02-09 00:00:00+05:30,23.95,24.4,23.8,23.85,30540
2021-02-10 00:00:00+05:30,23.7,24.35,23.65,23.9,26516
2021-02-11 00:00:00+05:30,24.8,24.8,23.05,24.6,99851
2021-02-12 00:00:00+05:30,24.8,24.8,23.4,23.5,95512
2021-02-15 00:00:00+05:30,24.15,24.15,22.9,23,63872
2021-02-16 00:00:00+05:30,23.6,23.6,22.9,23.1,31913
2021-02-17 00:00:00+05:30,22.8,23.6,22.8,22.95,30733
2021-02-18 00:00:00+05:30,23.5,23.75,23.05,23.3,67485
2021-02-19 00:00:00+05:30,23.8,23.8,22.25,22.45,56538
2021-02-22 00:00:00+05:30,22.45,23.25,22.45,22.85,62074
2021-02-23 00:00:00+05:30,23,23.1,22.55,22.75,24271
2021-02-24 00:00:00+05:30,23.35,23.35,22.3,22.5,33291
2021-02-25 00:00:00+05:30,23.1,23.1,22.4,22.7,68647
2021-02-26 00:00:00+05:30,22.7,23.2,22.55,22.75,43544
2021-03-01 00:00:00+05:30,23.05,23.5,22.35,22.7,60774
2021-03-02 00:00:00+05:30,22.95,23.5,22.6,23.05,70549
2021-03-03 00:00:00+05:30,23.65,23.65,23,23.1,54428
2021-03-04 00:00:00+05:30,23.1,23.5,23.05,23.35,41267
2021-03-05 00:00:00+05:30,23.8,23.8,22.8,22.85,45097
2021-03-08 00:00:00+05:30,23.25,23.25,22.85,23.1,33975
2021-03-09 00:00:00+05:30,23.45,23.45,22.7,22.8,37490
2021-03-10 00:00:00+05:30,23.3,23.3,22.5,22.7,44366
2021-03-12 00:00:00+05:30,22.7,23.45,22.4,22.75,97116
2021-03-15 00:00:00+05:30,22.75,23,22,22.15,293092
2021-03-16 00:00:00+05:30,22.4,22.75,22.25,22.35,28261
2021-03-17 00:00:00+05:30,22.35,22.65,21.25,21.4,105763
2021-03-18 00:00:00+05:30,21.75,21.75,20.5,20.65,38021
2021-03-19 00:00:00+05:30,20.9,21.4,19.7,21.1,90221
2021-03-22 00:00:00+05:30,21.65,21.95,21.35,21.65,29125
2021-03-23 00:00:00+05:30,22,22,20.7,20.85,35136
2021-03-24 00:00:00+05:30,21.1,21.7,20.85,21.1,28917
2021-03-25 00:00:00+05:30,20.4,21.6,20.05,20.1,62741
2021-03-26 00:00:00+05:30,20.4,20.5,19.1,19.15,135086
2021-03-30 00:00:00+05:30,19.8,19.8,19.05,19.15,32092
2021-03-31 00:00:00+05:30,19.15,19.8,18.9,19.3,52347
2021-04-01 00:00:00+05:30,19.5,20.25,19.1,20.15,63012
2021-04-05 00:00:00+05:30,20.35,20.35,19.4,19.55,21392
2021-04-06 00:00:00+05:30,19.4,20,19.1,19.75,37430
2021-04-07 00:00:00+05:30,20,20.7,19.15,19.65,41638
2021-04-08 00:00:00+05:30,20.45,20.65,19.4,19.95,51785
2021-04-09 00:00:00+05:30,20,20.45,19.5,19.75,50574
2021-04-12 00:00:00+05:30,19.95,19.95,17.8,17.8,177064
2021-04-13 00:00:00+05:30,18.2,18.7,18,18.2,21214
2021-04-15 00:00:00+05:30,18.25,19.5,18.15,18.9,31362
2021-04-16 00:00:00+05:30,18.95,19.45,18.9,18.9,17763
2021-04-19 00:00:00+05:30,18.5,18.6,17.35,18.25,28099
2021-04-20 00:00:00+05:30,18.25,18.75,18.2,18.35,23347
2021-04-22 00:00:00+05:30,18.8,18.8,17.7,18.25,33985
2021-04-23 00:00:00+05:30,18.3,18.7,18,18.35,36364
2021-04-26 00:00:00+05:30,19,19.25,18.55,18.65,27178
2021-04-27 00:00:00+05:30,18.45,20,18.35,19.45,46902
2021-04-28 00:00:00+05:30,19.85,20.3,19,19.3,72981
2021-04-29 00:00:00+05:30,19.4,19.55,18.9,19.1,27076
2021-04-30 00:00:00+05:30,19.3,19.4,18.65,19.15,27448
2021-05-03 00:00:00+05:30,19.05,19.7,18.25,19.15,21477
2021-05-04 00:00:00+05:30,19.65,19.8,19.15,19.35,27068
