date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,141.75,142.45,141.4,142.15,2305966
2021-01-04 00:00:00+05:30,142.5,142.8,141,141.35,5349903
2021-01-05 00:00:00+05:30,142.15,142.15,139.65,141,7859162
2021-01-06 00:00:00+05:30,141,148.2,140.25,147.1,40698926
2021-01-07 00:00:00+05:30,148.5,151.35,146.65,147.8,30097442
2021-01-08 00:00:00+05:30,149.05,153,148.15,152.65,22115938
2021-01-11 00:00:00+05:30,153,153.75,151.1,152.65,9544567
2021-01-12 00:00:00+05:30,150.8,153.55,149.95,152.8,23590595
2021-01-13 00:00:00+05:30,152.85,154.95,151.95,153.75,17844440
2021-01-14 00:00:00+05:30,154.45,155.65,152.7,153.85,9018506
2021-01-15 00:00:00+05:30,152.95,154.3,151.9,152.25,10147643
2021-01-18 00:00:00+05:30,150.95,151.5,145.9,146.8,19588991
2021-01-19 00:00:00+05:30,146.65,150,146.45,149.75,14537122
2021-01-20 00:00:00+05:30,150,150.45,146.35,147.1,15868635
2021-01-21 00:00:00+05:30,147.35,148.3,145.6,146.35,9381832
2021-01-22 00:00:00+05:30,146.25,147.25,144.75,145.65,12540301
2021-01-25 00:00:00+05:30,145.85,147.6,142.2,142.65,7045200
2021-01-27 00:00:00+05:30,142.5,145.75,142,144.25,14156187
2021-01-28 00:00:00+05:30,143.2,143.2,139.35,140.5,12054348
2021-01-29 00:00:00+05:30,141.55,141.75,137.25,138.35,10061261
2021-02-01 00:00:00+05:30,138.35,142.1,136.9,141.7,7113930
2021-02-02 00:00:00+05:30,143.25,146.75,141.9,145.65,8102702
2021-02-03 00:00:00+05:30,145.9,157.5,145.9,154.9,55058781
2021-02-04 00:00:00+05:30,154.9,155.75,153.15,154,17642265
2021-02-05 00:00:00+05:30,154.25,156.25,150.95,155.35,21566339
2021-02-08 00:00:00+05:30,154.9,160.05,154.3,159.4,21327668
2021-02-09 00:00:00+05:30,157.5,163.1,157.5,158.05,20803627
2021-02-10 00:00:00+05:30,157.9,160.5,155.25,157.85,25642034
2021-02-11 00:00:00+05:30,156.65,161.1,156.25,160.3,15378336
2021-02-12 00:00:00+05:30,164.25,164.25,157.9,159.5,18799909
2021-02-15 00:00:00+05:30,160.5,161.6,158.65,159.35,6449702
2021-02-16 00:00:00+05:30,160.05,172.45,160,169.15,60150718
2021-02-17 00:00:00+05:30,169.15,173.4,166.65,172.55,29276221
2021-02-18 00:00:00+05:30,173.25,178.75,171.4,177.4,33218934
2021-02-19 00:00:00+05:30,175.15,177.1,171.55,174.15,27251761
2021-02-22 00:00:00+05:30,174.35,175.45,167.7,168.7,19350635
2021-02-23 00:00:00+05:30,169.3,171.85,168.5,169.6,13720170
2021-02-24 00:00:00+05:30,169.6,171.15,166.2,167.05,8565995
2021-02-25 00:00:00+05:30,167.8,174.6,165.6,170.65,23022060
2021-02-26 00:00:00+05:30,166.15,170.45,158.4,160.75,28553025
2021-03-01 00:00:00+05:30,163.15,171.6,163.05,170.45,23581455
2021-03-02 00:00:00+05:30,171.75,172,167.5,168.8,13667841
2021-03-03 00:00:00+05:30,172.5,172.6,167.8,170.65,14512907
2021-03-04 00:00:00+05:30,167.3,172.45,167.3,168.85,17149310
2021-03-05 00:00:00+05:30,169.5,169.5,164.5,165.2,13007014
2021-03-08 00:00:00+05:30,163.4,167.95,162.75,165.1,11812086
2021-03-09 00:00:00+05:30,165.4,166.6,159.95,162,9438754
2021-03-10 00:00:00+05:30,163.5,164.2,160.5,161.35,7995874
2021-03-12 00:00:00+05:30,161.8,165.7,161.55,165.05,13629809
