date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,86,88,85.05,85.6,292754
2021-01-04 00:00:00+05:30,88,92.7,82.9,91.4,1988768
2021-01-05 00:00:00+05:30,91.7,95.5,88.55,92.85,3350667
2021-01-06 00:00:00+05:30,92,93,90.1,91.05,394244
2021-01-07 00:00:00+05:30,95.2,96,92.5,93.05,543640
2021-01-08 00:00:00+05:30,94.45,94.75,91.4,92.5,322327
2021-01-11 00:00:00+05:30,93.5,93.5,87.5,88.55,312023
2021-01-12 00:00:00+05:30,88.55,91.8,88,88.65,192383
2021-01-13 00:00:00+05:30,88.9,89.9,86.05,87.15,159568
2021-01-14 00:00:00+05:30,87.15,89,86,86.4,112435
2021-01-15 00:00:00+05:30,86.7,86.95,84.15,84.65,109207
2021-01-18 00:00:00+05:30,85.8,85.8,78.6,81.05,141575
2021-01-19 00:00:00+05:30,81.6,86.75,81.6,85.45,136522
2021-01-20 00:00:00+05:30,85.9,86.2,84.4,85.1,66632
2021-01-21 00:00:00+05:30,84.6,86.05,82.2,84.45,146452
2021-01-22 00:00:00+05:30,84.55,85,79.5,80.65,157219
2021-01-25 00:00:00+05:30,81.8,83.15,77.75,78.8,86000
2021-01-27 00:00:00+05:30,79.05,79.2,76,77,79800
2021-01-28 00:00:00+05:30,75.4,81.8,75.1,79.85,98917
2021-01-29 00:00:00+05:30,82.25,82.25,79.05,79.6,38446
2021-02-01 00:00:00+05:30,82.2,82.55,79.65,81.95,123373
2021-02-02 00:00:00+05:30,82.7,84,81.4,82.55,95192
2021-02-03 00:00:00+05:30,83.4,83.4,80.6,81.05,84417
2021-02-04 00:00:00+05:30,80.15,85,80.15,83.7,160559
2021-02-05 00:00:00+05:30,84.5,85,80.5,80.95,97451
2021-02-08 00:00:00+05:30,81.9,86,80.95,84.2,132634
2021-02-09 00:00:00+05:30,84.3,85.9,82,82.4,112777
2021-02-10 00:00:00+05:30,82,83.4,81.55,82.75,64240
2021-02-11 00:00:00+05:30,82,83.4,80.25,81.7,66002
2021-02-12 00:00:00+05:30,83.85,86.65,82,83.2,489007
2021-02-15 00:00:00+05:30,84,84.9,80.05,80.7,108512
2021-02-16 00:00:00+05:30,81.45,82.2,80.1,80.85,71396
2021-02-17 00:00:00+05:30,80.15,81.4,79.3,79.6,103941
2021-02-18 00:00:00+05:30,79.6,81.45,79.4,79.7,84060
2021-02-19 00:00:00+05:30,79.6,81,75.75,77.3,173156
2021-02-22 00:00:00+05:30,76.5,79,75.5,76.4,130009
2021-02-23 00:00:00+05:30,77.95,79,76.4,77,113497
2021-02-24 00:00:00+05:30,78.3,84.4,77,83.2,833684
2021-02-25 00:00:00+05:30,83.8,84.2,80.3,80.75,184764
2021-02-26 00:00:00+05:30,80.8,80.8,78,78.75,132690
2021-03-01 00:00:00+05:30,80.7,82.7,79,79.7,175740
2021-03-02 00:00:00+05:30,80.3,82,78.8,79.25,176559
2021-03-03 00:00:00+05:30,80.95,81.4,79,79.4,161780
2021-03-04 00:00:00+05:30,79.4,82.9,78.55,80.5,312714
2021-03-05 00:00:00+05:30,80.45,80.45,74.3,77.3,206388
2021-03-08 00:00:00+05:30,79,84,78.05,82.1,729328
2021-03-09 00:00:00+05:30,82.6,86.4,79.55,80.25,1012619
2021-03-10 00:00:00+05:30,83,86.5,82.55,84.95,1487406
2021-03-12 00:00:00+05:30,86.7,86.7,80.5,81.5,273956
2021-03-15 00:00:00+05:30,81.55,82.75,78.85,80.05,400519
2021-03-16 00:00:00+05:30,80.6,81.35,78.5,78.9,110917
2021-03-17 00:00:00+05:30,78.55,80.45,75.15,75.95,190742
2021-03-18 00:00:00+05:30,77.85,78.55,74,74.8,139885
2021-03-19 00:00:00+05:30,74.4,75.1,70.35,74.25,153061
2021-03-22 00:00:00+05:30,74.25,77.35,74.15,76.25,89732
2021-03-23 00:00:00+05:30,76.25,78,74.85,75.15,71614
2021-03-24 00:00:00+05:30,75,76.5,71.05,71.55,108631
2021-03-25 00:00:00+05:30,71.1,72.7,67.5,68.65,190320
2021-03-26 00:00:00+05:30,69.85,72.25,68.85,70.8,224851
2021-03-30 00:00:00+05:30,70.95,73.55,70.75,71.25,86473
2021-03-31 00:00:00+05:30,71.25,71.95,69,70,98262
2021-04-01 00:00:00+05:30,71,72.45,70.3,71.95,97859
2021-04-05 00:00:00+05:30,71.2,71.9,69.6,71.15,61350
2021-04-06 00:00:00+05:30,71.2,74.9,70.85,74.05,142240
2021-04-07 00:00:00+05:30,74.85,74.85,73.2,73.6,61859
2021-04-08 00:00:00+05:30,73.6,74.5,68.95,72.4,95905
2021-04-09 00:00:00+05:30,72.25,72.75,71.6,72,66063
2021-04-12 00:00:00+05:30,71.9,71.9,67,67.5,101926
2021-04-13 00:00:00+05:30,68.7,69.4,66.6,67.6,104580
2021-04-15 00:00:00+05:30,68,68.3,65.75,66.35,75300
2021-04-16 00:00:00+05:30,66.05,68.1,66.05,67.25,51736
2021-04-19 00:00:00+05:30,65.05,68.9,63.9,64.8,90454
2021-04-20 00:00:00+05:30,65,67,65,65.5,38707
