date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,615,615,600,601,51155
2021-01-04 00:00:00+05:30,604.9,661.1,601.05,661.1,539222
2021-01-05 00:00:00+05:30,660,727.2,646.2,727.2,1016442
2021-01-06 00:00:00+05:30,738,756.9,696,715.2,663052
2021-01-07 00:00:00+05:30,735,747,720.1,726.5,202313
2021-01-08 00:00:00+05:30,740,740,717,720.55,109536
2021-01-11 00:00:00+05:30,725,785,708.9,753.7,510938
2021-01-12 00:00:00+05:30,753.9,765.5,741.15,744.9,155316
2021-01-13 00:00:00+05:30,753.9,757.65,691.05,715.6,255150
2021-01-14 00:00:00+05:30,724.8,733.6,699.25,701.75,159190
2021-01-15 00:00:00+05:30,705,714.95,697.1,704.65,80366
2021-01-18 00:00:00+05:30,712,712,642.2,682.05,142663
2021-01-19 00:00:00+05:30,685.05,710,685.05,697.9,65961
2021-01-20 00:00:00+05:30,697,712,686.45,690.95,92213
2021-01-21 00:00:00+05:30,696.7,698.85,680.1,685.4,85138
2021-01-22 00:00:00+05:30,687,687,661.1,670.55,94295
2021-01-25 00:00:00+05:30,676,676,627.25,638.25,134708
2021-01-27 00:00:00+05:30,637.5,671.45,623.4,638.75,182317
2021-01-28 00:00:00+05:30,634.15,656,624.85,642.75,69739
2021-01-29 00:00:00+05:30,650,664.55,643,651.1,76024
2021-02-01 00:00:00+05:30,646,668,632.6,655.9,81876
2021-02-02 00:00:00+05:30,660.95,675.95,633,639.15,126824
2021-02-03 00:00:00+05:30,644.9,664.9,641.1,655.35,104892
2021-02-04 00:00:00+05:30,675,684.9,640.7,644,163106
2021-02-05 00:00:00+05:30,653.7,664,630.05,639.35,120564
2021-02-08 00:00:00+05:30,645,649,634.8,640.45,208192
2021-02-09 00:00:00+05:30,648,653.95,628,633.35,117086
2021-02-10 00:00:00+05:30,643.85,643.85,623.2,626,70975
2021-02-11 00:00:00+05:30,626,645,620.95,636.2,82382
2021-02-12 00:00:00+05:30,640.55,645.2,624,626.7,57405
2021-02-15 00:00:00+05:30,620,629,611,614.6,140450
2021-02-16 00:00:00+05:30,615,620,580.55,590.8,190128
2021-02-17 00:00:00+05:30,585,605.5,582.25,589.7,142712
2021-02-18 00:00:00+05:30,591,598.7,581.2,583.95,74556
2021-02-19 00:00:00+05:30,584.95,591.5,562.25,569,131639
2021-02-22 00:00:00+05:30,574,578.95,557,560.35,61538
2021-02-23 00:00:00+05:30,556.45,646.75,556.45,627.35,673166
2021-02-24 00:00:00+05:30,635,645.45,608.05,619.8,177132
2021-02-25 00:00:00+05:30,625.25,627.7,603.25,608.3,98827
2021-02-26 00:00:00+05:30,600,601.05,580.65,584.95,108861
2021-03-01 00:00:00+05:30,585.1,591,570,581.65,96993
2021-03-02 00:00:00+05:30,585.65,611.95,585.65,592.3,107376
2021-03-03 00:00:00+05:30,598.55,615.95,595.3,597.9,72531
2021-03-04 00:00:00+05:30,594,608,590,591.1,65739
2021-03-05 00:00:00+05:30,591.1,595,580,585.3,56006
2021-03-08 00:00:00+05:30,585.3,594.9,574.05,581,64231
2021-03-09 00:00:00+05:30,576.3,587.5,563.1,571.1,54571
2021-03-10 00:00:00+05:30,574,587.6,570.9,577.2,66203
2021-03-12 00:00:00+05:30,583.7,614,577.25,593.5,175123
2021-03-15 00:00:00+05:30,599.7,599.7,583,589.75,64728
2021-03-16 00:00:00+05:30,594,621.7,590.45,608.45,366511
2021-03-17 00:00:00+05:30,611.65,618,595.1,596.9,110788
2021-03-18 00:00:00+05:30,601.9,604,570.05,588.9,106521
2021-03-19 00:00:00+05:30,575.35,585,555,578.7,111765
2021-03-22 00:00:00+05:30,584.55,585.2,568,578.8,72431
2021-03-23 00:00:00+05:30,571.8,587.65,571.8,576.4,45200
2021-03-24 00:00:00+05:30,576,582.85,565.65,570.8,62128
2021-03-25 00:00:00+05:30,571,576,525.1,541.8,167040
2021-03-26 00:00:00+05:30,541.1,556.5,511.7,528.95,326617
2021-03-30 00:00:00+05:30,529,551.6,529,545.9,77320
2021-03-31 00:00:00+05:30,547,564.8,525.1,529.55,71524
2021-04-01 00:00:00+05:30,533.8,594,533.05,570.5,341687
2021-04-05 00:00:00+05:30,563.5,578,553.3,567.1,204397
2021-04-06 00:00:00+05:30,574,577,554.4,558.2,73019
2021-04-07 00:00:00+05:30,563.55,590,560.05,575.55,224190
2021-04-08 00:00:00+05:30,582.6,607.3,570.3,587.55,406026
2021-04-09 00:00:00+05:30,592,603,583.05,586.3,133886
2021-04-12 00:00:00+05:30,580,582,542,544.8,119540
2021-04-13 00:00:00+05:30,546,567.35,543,555.65,172875
2021-04-15 00:00:00+05:30,550.55,558.95,518,524.15,219360
2021-04-16 00:00:00+05:30,525.1,534,500.1,503.8,381301
2021-04-19 00:00:00+05:30,499,499,459.3,495.35,497068
2021-04-20 00:00:00+05:30,501,518,499.6,507.6,163292
2021-04-22 00:00:00+05:30,511,511,494.05,500.5,82122
2021-04-23 00:00:00+05:30,504,524.15,497.35,505.35,117005
2021-04-26 00:00:00+05:30,512.7,523.05,498.5,500.4,117266
2021-04-27 00:00:00+05:30,504.4,508,498.1,500.25,56232
2021-04-28 00:00:00+05:30,507,512.35,488.1,490,149188
2021-04-29 00:00:00+05:30,495.7,498.4,474,485.85,157147
2021-04-30 00:00:00+05:30,483.6,490,478.65,485.5,90715
2021-05-03 00:00:00+05:30,482,497.3,474.25,492.6,163511
2021-05-04 00:00:00+05:30,497.4,531.7,496.5,514.35,289942
2021-05-05 00:00:00+05:30,521,524,507.5,514.85,81875
2021-05-06 00:00:00+05:30,518.95,518.95,495.1,504.15,291987
2021-05-07 00:00:00+05:30,508,518.95,506.65,510.05,135432
2021-05-10 00:00:00+05:30,512,522.95,510.05,516.55,112371
2021-05-11 00:00:00+05:30,514,525.1,510.05,519.1,122063
2021-05-12 00:00:00+05:30,521,524,514,515.65,65203
2021-05-14 00:00:00+05:30,521.7,523,505.7,516.45,99218
2021-05-17 00:00:00+05:30,510.25,540,509.8,525.9,232836
2021-05-18 00:00:00+05:30,528.2,564,528,559.15,256865
2021-05-19 00:00:00+05:30,565,577,547.7,561.1,134569
2021-05-20 00:00:00+05:30,565.6,569.75,550.95,553.4,81778
2021-05-21 00:00:00+05:30,558.95,568,556.05,565.75,82438
2021-05-24 00:00:00+05:30,572,580,544,552.05,134822
2021-05-25 00:00:00+05:30,550.9,579.9,550.9,572.8,230755
2021-05-26 00:00:00+05:30,526.5,608,525,557.55,822207
2021-05-27 00:00:00+05:30,558,585,544.95,562.7,398553
2021-05-28 00:00:00+05:30,569.9,579,559.8,564,117973
2021-05-31 00:00:00+05:30,562.15,569.9,551,554.35,78836
2021-06-01 00:00:00+05:30,550.3,562,530.15,533.15,129635
2021-06-02 00:00:00+05:30,534.75,559,533.15,550.25,154952
2021-06-03 00:00:00+05:30,557.65,569,550,557.25,120874
2021-06-04 00:00:00+05:30,561.7,565.75,552.55,556.6,94675
2021-06-07 00:00:00+05:30,560.9,564.3,551.2,552.65,84295
2021-06-08 00:00:00+05:30,555,562.45,542.25,552.65,92294
2021-06-09 00:00:00+05:30,555,559.8,540,541.8,101380
2021-06-10 00:00:00+05:30,545.95,549.55,542.25,546.15,38571
2021-06-11 00:00:00+05:30,549.9,561.95,546.5,559.45,115594
2021-06-14 00:00:00+05:30,563.8,567.6,540.5,552.65,76875
2021-06-15 00:00:00+05:30,555,555,542,545.25,81208
2021-06-16 00:00:00+05:30,549.25,557.7,541,543.05,90779
2021-06-17 00:00:00+05:30,535.05,548,534,535.8,77735
2021-06-18 00:00:00+05:30,545,545.8,519.3,526.5,78450
2021-06-21 00:00:00+05:30,518,531.15,517,524.95,50813
