date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,189,190,184.65,187.25,81272
2021-01-04 00:00:00+05:30,190,195.1,187,188.85,104710
2021-01-05 00:00:00+05:30,190.35,190.35,187,187.85,50590
2021-01-06 00:00:00+05:30,190,190.55,183.4,185.5,81689
2021-01-07 00:00:00+05:30,188.2,192.7,184.8,186.9,64296
2021-01-08 00:00:00+05:30,191.9,198.7,183,185.55,110125
2021-01-11 00:00:00+05:30,190,190,181,185,58264
2021-01-12 00:00:00+05:30,187.85,189,182.2,183.95,78358
2021-01-13 00:00:00+05:30,184,188.9,182,182.65,46714
2021-01-14 00:00:00+05:30,186.95,190.75,182.25,184.85,80383
2021-01-15 00:00:00+05:30,185.05,185.6,182.7,184.6,55599
2021-01-18 00:00:00+05:30,187,187.3,180,181,39623
2021-01-19 00:00:00+05:30,183.7,186.7,180.95,181.9,58301
2021-01-20 00:00:00+05:30,184.5,184.5,181,181.4,31886
2021-01-21 00:00:00+05:30,183.9,194.4,180,182.25,107434
2021-01-22 00:00:00+05:30,184.5,184.5,180.1,180.8,28497
2021-01-25 00:00:00+05:30,183.5,187,179.95,180.45,31174
2021-01-27 00:00:00+05:30,181.75,182,178.8,179.55,33767
2021-01-28 00:00:00+05:30,180.7,180.7,177.75,178.2,34541
2021-01-29 00:00:00+05:30,178.05,180.8,175.9,176.85,35241
2021-02-01 00:00:00+05:30,176,183.8,176,178.65,37621
2021-02-02 00:00:00+05:30,181.65,188.7,178,184.3,58221
2021-02-03 00:00:00+05:30,185,185,178.35,179.95,253499
2021-02-04 00:00:00+05:30,183.85,189.9,181,185.75,94386
2021-02-05 00:00:00+05:30,190,190,180.6,181.5,46131
2021-02-08 00:00:00+05:30,181,183.9,178.05,178.45,40814
2021-02-09 00:00:00+05:30,180.95,180.95,167,172.15,57167
2021-02-10 00:00:00+05:30,171.9,194.9,167.9,183.9,190744
2021-02-11 00:00:00+05:30,182.9,182.9,175.3,176.65,35196
2021-02-12 00:00:00+05:30,178.25,178.25,175,175.9,26305
2021-02-15 00:00:00+05:30,175.55,184.35,175.5,180.9,75243
2021-02-16 00:00:00+05:30,183,183,178.6,179.2,23478
2021-02-17 00:00:00+05:30,180,181.9,172.6,174.65,22631
2021-02-18 00:00:00+05:30,181.25,181.8,174.75,175.85,25063
2021-02-19 00:00:00+05:30,181,181,174.15,175.05,27110
2021-02-22 00:00:00+05:30,175,179.75,175,175.75,24920
