date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,340.7,341.95,333.5,335.95,48475
2021-01-04 00:00:00+05:30,343,345,331.45,333.35,48853
2021-01-05 00:00:00+05:30,330.1,340.5,320,326,62124
2021-01-06 00:00:00+05:30,334,334,314,319.05,82800
2021-01-07 00:00:00+05:30,327,327,315,316,39966
2021-01-08 00:00:00+05:30,314.55,320.7,314.55,317.3,42856
2021-01-11 00:00:00+05:30,321.8,321.8,302,308.3,49900
2021-01-12 00:00:00+05:30,310,321.65,303.95,315.8,68407
2021-01-13 00:00:00+05:30,318.6,325,308,317.25,57029
2021-01-14 00:00:00+05:30,319,324,315.25,317.45,33907
2021-01-15 00:00:00+05:30,320,324,310.2,314.3,25075
2021-01-18 00:00:00+05:30,315,315,301,303.4,34913
2021-01-19 00:00:00+05:30,315,315,306.9,307.85,20194
2021-01-20 00:00:00+05:30,313.5,318.85,307,314.85,41149
2021-01-21 00:00:00+05:30,317.9,325,308,310.7,47518
2021-01-22 00:00:00+05:30,311.05,314.35,302.2,305.75,30974
2021-01-25 00:00:00+05:30,307,310,291.5,294.35,46842
2021-01-27 00:00:00+05:30,291.2,304.15,285.95,293.1,52564
2021-01-28 00:00:00+05:30,293.1,303,287,299.5,35050
2021-01-29 00:00:00+05:30,304.8,304.8,294.05,297.6,26767
2021-02-01 00:00:00+05:30,298,299.35,288.55,296.65,39340
2021-02-02 00:00:00+05:30,298.05,307.9,298.05,303.65,25576
2021-02-03 00:00:00+05:30,300.5,329.95,300.5,325.75,108989
2021-02-04 00:00:00+05:30,332.75,333,320.1,325.7,44485
2021-02-05 00:00:00+05:30,325.7,331.5,319,327.8,42194
2021-02-08 00:00:00+05:30,328,349.25,324.25,340.5,91652
2021-02-09 00:00:00+05:30,347.7,348,332.1,336.85,51736
2021-02-10 00:00:00+05:30,339.9,344.25,332.5,338,40475
2021-02-11 00:00:00+05:30,339.65,351.8,336,346.55,73631
2021-02-12 00:00:00+05:30,351,353,325,330.6,87911
2021-02-15 00:00:00+05:30,330,343,327.6,329.1,44095
2021-02-16 00:00:00+05:30,332,337,320.9,325.7,31184
2021-02-17 00:00:00+05:30,326.75,331,316.85,324.25,41373
2021-02-18 00:00:00+05:30,322.3,326.95,303,306.55,110797
2021-02-19 00:00:00+05:30,309.9,312.6,297.45,298.85,92067
2021-02-22 00:00:00+05:30,305,309,299,307.45,62932
2021-02-23 00:00:00+05:30,313.4,314.9,306,307.55,46311
2021-02-24 00:00:00+05:30,307,311.5,302,306.85,12962
2021-02-25 00:00:00+05:30,309.45,311.9,300,301.75,39966
2021-02-26 00:00:00+05:30,301.75,305.95,292.95,303.35,58479
2021-03-01 00:00:00+05:30,308.95,308.95,299.1,306.55,69128
2021-03-02 00:00:00+05:30,319.9,320.75,310.05,313.8,73790
2021-03-03 00:00:00+05:30,316.95,318.75,312.35,315.3,87465
2021-03-04 00:00:00+05:30,313,329.35,311.25,323,109218
2021-03-05 00:00:00+05:30,323,340.95,322.5,325.25,107433
2021-03-08 00:00:00+05:30,331.8,334.55,320,322.55,29027
2021-03-09 00:00:00+05:30,329.9,329.9,316.25,318.05,39102
