date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,74.6,75.2,73.45,74.3,78854
2021-01-04 00:00:00+05:30,75.4,78,73.5,77.15,333780
2021-01-05 00:00:00+05:30,76.95,79.4,75.75,77.15,395569
2021-01-06 00:00:00+05:30,77.5,81,75.5,81,1045113
2021-01-07 00:00:00+05:30,83,85.05,82.5,85.05,680441
2021-01-08 00:00:00+05:30,87.6,89.3,81.65,83.75,920956
2021-01-11 00:00:00+05:30,84,87.75,80.25,81.35,402181
2021-01-12 00:00:00+05:30,81,83.3,80.5,81.8,199357
2021-01-13 00:00:00+05:30,82.9,83.1,77.75,79.4,226810
2021-01-14 00:00:00+05:30,79,81.75,78.45,80.45,167891
2021-01-15 00:00:00+05:30,79.85,81.9,76.45,77.85,278615
2021-01-18 00:00:00+05:30,77.85,79.2,74.3,75,202137
2021-01-19 00:00:00+05:30,75.45,78.5,75.45,77.25,122307
2021-01-20 00:00:00+05:30,78.85,80.7,77,79.4,156197
2021-01-21 00:00:00+05:30,80.5,81.85,77.1,77.65,123922
2021-01-22 00:00:00+05:30,78.35,78.35,75,75.35,91105
2021-01-25 00:00:00+05:30,75.65,76.75,71.6,71.65,193835
2021-01-27 00:00:00+05:30,73,73,68.25,69.45,148078
2021-01-28 00:00:00+05:30,70,72.5,68.5,71.35,132352
2021-01-29 00:00:00+05:30,72,73,70.5,71.2,80526
2021-02-01 00:00:00+05:30,72.8,74,70.65,72.95,90412
2021-02-02 00:00:00+05:30,74,76,74,74.9,108171
2021-02-03 00:00:00+05:30,75.25,78.6,74.1,78.6,88935
2021-02-04 00:00:00+05:30,81,82.5,79.05,82.4,562399
2021-02-05 00:00:00+05:30,82.8,82.8,75,78.2,322174
2021-02-08 00:00:00+05:30,78.75,83.15,78.2,80.45,219388
2021-02-09 00:00:00+05:30,80.5,81.3,76.25,77,200489
2021-02-10 00:00:00+05:30,79.9,79.9,75,77.15,132932
2021-02-11 00:00:00+05:30,77.8,84.85,77.5,84.85,669807
2021-02-12 00:00:00+05:30,86.5,88.4,77.75,80.6,950058
2021-02-15 00:00:00+05:30,75.15,83.45,72.55,80.25,1732026
2021-02-16 00:00:00+05:30,80.25,82.95,79.8,81.15,366530
2021-02-17 00:00:00+05:30,81.15,82.7,79.2,80.95,315230
2021-02-18 00:00:00+05:30,81.75,83,80.1,82.2,357793
2021-02-19 00:00:00+05:30,82,90,81.35,84.15,1659514
2021-02-22 00:00:00+05:30,84.2,85.6,80.55,82,383404
2021-02-23 00:00:00+05:30,80.05,84.8,78,83.15,386257
2021-02-24 00:00:00+05:30,82.55,84.75,81.65,82.5,116533
2021-02-25 00:00:00+05:30,83.85,86.05,82.2,83.7,662039
2021-02-26 00:00:00+05:30,82.7,89,80.1,86.15,435996
2021-03-01 00:00:00+05:30,88,94.75,87.05,94.75,1501138
2021-03-02 00:00:00+05:30,97,104.2,93.05,102.95,1683950
2021-03-03 00:00:00+05:30,105.05,108.8,101.05,106.45,994565
2021-03-04 00:00:00+05:30,102.5,109.45,102.5,106.2,983603
2021-03-05 00:00:00+05:30,106.5,109.05,101.1,103.3,612233
2021-03-08 00:00:00+05:30,106,108.45,105.3,108.4,567819
2021-03-09 00:00:00+05:30,108.5,111.4,103,107.95,473599
2021-03-10 00:00:00+05:30,110,112.9,104.35,109,513725
2021-03-12 00:00:00+05:30,112,112,105.85,106.8,235078
2021-03-15 00:00:00+05:30,108,108,101.5,102.95,279749
2021-03-16 00:00:00+05:30,104,104,97.85,97.95,252699
2021-03-17 00:00:00+05:30,99,99.45,93.1,93.1,281836
2021-03-18 00:00:00+05:30,93.95,95.8,88.45,89.25,541256
2021-03-19 00:00:00+05:30,90.3,90.8,85,88.65,295946
2021-03-22 00:00:00+05:30,88.65,93,88.6,92.4,188485
2021-03-23 00:00:00+05:30,93.5,95.35,90,91.2,139375
2021-03-24 00:00:00+05:30,91,92.2,88,89,129842
2021-03-25 00:00:00+05:30,90,90,84.55,84.75,329747
2021-03-26 00:00:00+05:30,85.95,86.25,82.9,84,183897
2021-03-30 00:00:00+05:30,84.4,86.55,83.1,83.65,172532
2021-03-31 00:00:00+05:30,84,87.8,83.7,85.8,136563
2021-04-01 00:00:00+05:30,85.8,90.05,85.8,90.05,111410
2021-04-05 00:00:00+05:30,92,94.55,88,94.3,260466
2021-04-06 00:00:00+05:30,94.3,99,94.3,98.5,405650
2021-04-07 00:00:00+05:30,98.5,98.5,93.8,95.25,168913
2021-04-08 00:00:00+05:30,95.1,100,95.1,97.15,359851
2021-04-09 00:00:00+05:30,97.7,102,96.15,101.95,616826
2021-04-12 00:00:00+05:30,98,99.8,96.9,96.9,153519
2021-04-13 00:00:00+05:30,94.85,96.75,92.1,92.7,382704
2021-04-15 00:00:00+05:30,90.25,94.9,88.1,89.35,334220
2021-04-16 00:00:00+05:30,89.8,92.35,89.05,90.95,173893
2021-04-19 00:00:00+05:30,88,88,86.45,86.45,172273
2021-04-20 00:00:00+05:30,82.15,85.05,82.15,82.85,667167
2021-04-22 00:00:00+05:30,81.25,86.95,78.75,86.95,269989
2021-04-23 00:00:00+05:30,90.25,90.65,84.6,86.2,293725
2021-04-26 00:00:00+05:30,88.6,88.6,83.1,85.3,205072
2021-04-27 00:00:00+05:30,86.05,89.55,85.6,89.15,219827
2021-04-28 00:00:00+05:30,90.4,93.6,88.45,93.2,352816
2021-04-29 00:00:00+05:30,93.75,94.95,88.55,89.15,261774
2021-04-30 00:00:00+05:30,87,90,86.2,87.3,184849
2021-05-03 00:00:00+05:30,87,87.5,85.2,86,87562
2021-05-04 00:00:00+05:30,88,89,85,85.65,128508
2021-05-05 00:00:00+05:30,86.15,88.45,84.5,84.85,151220
2021-05-06 00:00:00+05:30,85,85.8,84,84.4,72445
2021-05-07 00:00:00+05:30,86.35,86.35,83.2,83.8,95351
2021-05-10 00:00:00+05:30,84.1,85.2,83.1,83.7,178669
2021-05-11 00:00:00+05:30,83.95,85.95,82.25,84.9,131361
2021-05-12 00:00:00+05:30,84.9,85.7,83.5,83.8,113844
2021-05-14 00:00:00+05:30,84,85.5,83.2,83.65,50982
2021-05-17 00:00:00+05:30,84.95,84.95,83.2,84.35,77347
2021-05-18 00:00:00+05:30,84.95,86.4,83.6,84.05,117358
2021-05-19 00:00:00+05:30,84.3,85.35,84.1,84.85,109722
2021-05-20 00:00:00+05:30,85.8,85.8,83.7,84.25,90783
2021-05-21 00:00:00+05:30,84.55,84.9,82.6,83.5,205079
2021-05-24 00:00:00+05:30,83.65,83.75,82.5,82.75,175131
