date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,80,80.9,78.6,80.45,22243
2021-01-04 00:00:00+05:30,80.45,82,78.65,79.35,38741
2021-01-05 00:00:00+05:30,80,82,75.45,80.2,35820
2021-01-06 00:00:00+05:30,78.05,81,78.05,78.75,42406
2021-01-07 00:00:00+05:30,80,80.4,78.75,79.45,20237
2021-01-08 00:00:00+05:30,78.5,81.85,78.5,81.25,55781
2021-01-11 00:00:00+05:30,81.95,82.9,80.15,82.35,53956
2021-01-12 00:00:00+05:30,82.35,85,80.55,83.35,58976
2021-01-13 00:00:00+05:30,84,85.85,80,81.85,38357
2021-01-14 00:00:00+05:30,83.5,83.5,80.5,80.75,12454
2021-01-15 00:00:00+05:30,82.75,83,80.15,81.35,17939
2021-01-18 00:00:00+05:30,81.8,82.2,78.5,81.5,35265
2021-01-19 00:00:00+05:30,81.5,85,81.5,84.15,70463
2021-01-20 00:00:00+05:30,84,88.35,84,87.95,60800
2021-01-21 00:00:00+05:30,92.3,92.3,92,92.3,48458
2021-01-22 00:00:00+05:30,96.85,96.9,93.15,96.3,119702
2021-01-25 00:00:00+05:30,99,101.1,98.25,101.1,61567
2021-01-27 00:00:00+05:30,105.7,106.15,101.8,106.15,68784
2021-01-28 00:00:00+05:30,109.9,111.45,109.9,111.45,52861
2021-01-29 00:00:00+05:30,117,117,117,117,27025
2021-02-01 00:00:00+05:30,122.85,122.85,111.15,113.8,256765
2021-02-02 00:00:00+05:30,111,118.5,108.15,109.8,121149
2021-02-03 00:00:00+05:30,112,114.75,104.35,110.95,95164
2021-02-04 00:00:00+05:30,105.45,107,105.45,105.45,72475
2021-02-05 00:00:00+05:30,100.2,105.9,100.2,100.2,73732
2021-02-08 00:00:00+05:30,95.2,95.2,95.2,95.2,15566
2021-02-09 00:00:00+05:30,90.45,95.2,90.45,90.45,250766
2021-02-10 00:00:00+05:30,88.2,94.95,87,94.9,87171
2021-02-11 00:00:00+05:30,98.55,99.6,97.05,99.6,85554
2021-02-12 00:00:00+05:30,104.55,104.55,100.2,102.45,145356
2021-02-15 00:00:00+05:30,105,105,97.35,97.35,36733
2021-02-16 00:00:00+05:30,94.05,95.95,92.5,92.5,121375
2021-02-17 00:00:00+05:30,94.1,94.1,87.9,88.55,164903
2021-02-18 00:00:00+05:30,88.55,90.75,84.15,84.6,176330
2021-02-19 00:00:00+05:30,85,88.8,80.4,80.5,237061
2021-02-22 00:00:00+05:30,81,84.5,81,84.4,94990
2021-02-23 00:00:00+05:30,84.4,88.6,84.4,88.6,66984
2021-02-24 00:00:00+05:30,93,93,84.25,88.15,121280
2021-02-25 00:00:00+05:30,89.9,89.9,86.1,88.45,33036
2021-02-26 00:00:00+05:30,90,90,85.25,86.25,52849
2021-03-01 00:00:00+05:30,90.5,90.5,85.4,86.65,43096
2021-03-02 00:00:00+05:30,88.95,89.5,84.5,86.65,45969
2021-03-03 00:00:00+05:30,86.65,87.85,85,85.85,34391
2021-03-04 00:00:00+05:30,85.85,86.75,84,84.75,28990
2021-03-05 00:00:00+05:30,85.9,85.9,84,84.5,14020
2021-03-08 00:00:00+05:30,85.9,88.7,85.05,88.6,54392
2021-03-09 00:00:00+05:30,90,93,87,87.6,74257
2021-03-10 00:00:00+05:30,89.9,89.9,87,87.55,22687
2021-03-12 00:00:00+05:30,87,88.7,84,84.85,61661
2021-03-15 00:00:00+05:30,86.9,86.9,83.85,84.95,19535
2021-03-16 00:00:00+05:30,86.5,87.7,83.85,84.3,28224
2021-03-17 00:00:00+05:30,84.3,87.5,84,86,36141
2021-03-18 00:00:00+05:30,86,89,82.55,83.5,83511
2021-03-19 00:00:00+05:30,83.5,85.9,81,83.45,30815
2021-03-22 00:00:00+05:30,84.8,85.45,81.1,82.15,47622
2021-03-23 00:00:00+05:30,82.15,84.95,82.15,84.25,33092
2021-03-24 00:00:00+05:30,84.8,84.8,81.8,82.1,27712
2021-03-25 00:00:00+05:30,82.1,82.55,79,79.5,30601
2021-03-26 00:00:00+05:30,80.65,81.7,79.55,80.7,40032
2021-03-30 00:00:00+05:30,80.15,81.6,77.1,78.4,43520
2021-03-31 00:00:00+05:30,78.4,78.4,76.05,76.95,28123
2021-04-01 00:00:00+05:30,77.45,80.75,77.05,80.75,19398
2021-04-05 00:00:00+05:30,82.5,84.75,81,84.75,76004
2021-04-06 00:00:00+05:30,87.95,88.95,85,88.95,66855
2021-04-07 00:00:00+05:30,93.35,93.35,93.35,93.35,31839
2021-04-08 00:00:00+05:30,98,98,98,98,43922
2021-04-09 00:00:00+05:30,95,102.8,93.1,98.35,209017
2021-04-12 00:00:00+05:30,97.55,97.55,93.45,93.45,29967
2021-04-13 00:00:00+05:30,90.2,92.65,88.8,89.45,34256
2021-04-15 00:00:00+05:30,88.1,92.8,86.55,90.95,48857
2021-04-16 00:00:00+05:30,90.95,93,89.55,91.85,27705
2021-04-19 00:00:00+05:30,88.15,91,87.3,87.3,23975
2021-04-20 00:00:00+05:30,87.3,87.3,84,84.25,70790
2021-04-22 00:00:00+05:30,84.25,88.45,84.25,88.45,39801
2021-04-23 00:00:00+05:30,88.4,91.3,86,87.15,42059
2021-04-26 00:00:00+05:30,86.1,91.5,86.1,90.55,28691
2021-04-27 00:00:00+05:30,92.6,92.6,89.25,90.85,19806
2021-04-28 00:00:00+05:30,92,93,90,90.4,30862
2021-04-29 00:00:00+05:30,89.1,92.9,89.1,90.3,28352
2021-04-30 00:00:00+05:30,90.55,91.8,87.15,88.9,43918
2021-05-03 00:00:00+05:30,90.85,90.85,84.55,84.9,63782
2021-05-04 00:00:00+05:30,84.05,86.9,82.85,83.85,19743
2021-05-05 00:00:00+05:30,85.5,85.55,83.25,84.1,13092
2021-05-06 00:00:00+05:30,84.1,85,80.15,81.45,32081
2021-05-07 00:00:00+05:30,80,85.5,80,85.45,25514
2021-05-10 00:00:00+05:30,87,89.45,86.75,87.2,36284
2021-05-11 00:00:00+05:30,88.9,88.9,84.35,85.35,32857
2021-05-12 00:00:00+05:30,84.45,86.6,82.45,82.7,42158
2021-05-14 00:00:00+05:30,82.2,85.75,81.4,82.7,17686
2021-05-17 00:00:00+05:30,82.1,86,82,82.5,25800
2021-05-18 00:00:00+05:30,84.5,84.5,81.6,82.55,30115
2021-05-19 00:00:00+05:30,82.5,84.7,82,82.25,17524
2021-05-20 00:00:00+05:30,83.45,84,81,81.25,36076
2021-05-21 00:00:00+05:30,82.75,82.95,81.5,82.5,24269
2021-05-24 00:00:00+05:30,82.15,83,80.75,82.5,26548
2021-05-25 00:00:00+05:30,83.7,83.7,80.55,81.35,24376
2021-05-26 00:00:00+05:30,81.3,82.7,80.6,81.8,23431
2021-05-27 00:00:00+05:30,82.9,82.9,80.65,81.45,26199
2021-05-28 00:00:00+05:30,82.45,83,80,81.75,67020
2021-05-31 00:00:00+05:30,83.8,83.8,81,81.4,25430
2021-06-01 00:00:00+05:30,81.55,82,80,80.75,20836
2021-06-02 00:00:00+05:30,80.1,82.45,80,81.05,30752
2021-06-03 00:00:00+05:30,81.5,85.1,81.15,85.1,59352
2021-06-04 00:00:00+05:30,88.5,89.3,86.1,88.7,83514
2021-06-07 00:00:00+05:30,92.9,96,90.25,93.9,127532
2021-06-08 00:00:00+05:30,97.4,97.45,87.55,91.95,68672
2021-06-09 00:00:00+05:30,89.1,98.8,89.1,93.35,114739
2021-06-10 00:00:00+05:30,97.45,99.8,95.05,96.85,82756
2021-06-11 00:00:00+05:30,98.8,99.5,96.55,98.5,121029
2021-06-14 00:00:00+05:30,98.6,98.6,90,94.05,68656
2021-06-15 00:00:00+05:30,95.9,97,91.4,95.95,74982
2021-06-16 00:00:00+05:30,97.4,101.9,95.55,96.4,80211
2021-06-17 00:00:00+05:30,96.3,96.3,92.15,94.85,76289
2021-06-18 00:00:00+05:30,94.1,96.75,90,91.7,68566
2021-06-21 00:00:00+05:30,89.1,92.3,89,89.55,53256
2021-06-22 00:00:00+05:30,90.25,94,90.05,93.45,49771
2021-06-23 00:00:00+05:30,95.8,95.8,91.25,92.45,51963
2021-06-24 00:00:00+05:30,93,94.45,91,91.5,34476
2021-06-25 00:00:00+05:30,92.9,93.5,90.15,92.1,37766
2021-06-28 00:00:00+05:30,91.9,93.45,89.5,90.9,82632
2021-06-29 00:00:00+05:30,91.85,92.7,90.65,91.6,29800
2021-06-30 00:00:00+05:30,92.7,97.4,82.45,95.55,356402
2021-07-01 00:00:00+05:30,93.35,97.4,90,90.85,57617
2021-07-02 00:00:00+05:30,91.05,92.7,91.05,91.65,24759
2021-07-05 00:00:00+05:30,92.2,93,90.55,91.95,36612
2021-07-06 00:00:00+05:30,93.55,93.6,91.3,91.65,79141
2021-07-07 00:00:00+05:30,91.7,92.85,90.6,90.7,43309
2021-07-08 00:00:00+05:30,94,94,90.55,91.15,42757
2021-07-09 00:00:00+05:30,92.9,92.9,88,88.7,63778
2021-07-12 00:00:00+05:30,88.7,91.45,86.45,88.6,47342
2021-07-13 00:00:00+05:30,88.5,90.3,86,86.2,73964
2021-07-14 00:00:00+05:30,88,92,84.6,87.95,56208
2021-07-15 00:00:00+05:30,88.2,89.35,87,87.2,30022
2021-07-16 00:00:00+05:30,88.25,89,85.2,86.35,40685
2021-07-19 00:00:00+05:30,86.5,88.95,86.05,88.35,32454
2021-07-20 00:00:00+05:30,88.95,89,87.25,87.6,29375
2021-07-22 00:00:00+05:30,88,88.2,86.15,87.95,27280
2021-07-23 00:00:00+05:30,88.9,89.1,87.5,88.1,44162
2021-07-26 00:00:00+05:30,87.95,91,87.55,89,44614
2021-07-27 00:00:00+05:30,88,94,88,92.25,80988
2021-07-28 00:00:00+05:30,92.75,93.35,89.3,90.75,33377
2021-07-29 00:00:00+05:30,90,92,88,88.8,26880
2021-07-30 00:00:00+05:30,88,90.8,88,88.5,15393
2021-08-02 00:00:00+05:30,88.5,95.3,88.5,93.5,74866
2021-08-03 00:00:00+05:30,94.9,102.85,94.9,102.85,262670
2021-08-04 00:00:00+05:30,106.9,112.4,103,105.15,424871
2021-08-05 00:00:00+05:30,105,107.45,98.2,101.3,112818
2021-08-06 00:00:00+05:30,104,110.6,96.6,105.15,567671
2021-08-09 00:00:00+05:30,105,105,96.1,97.45,148326
2021-08-10 00:00:00+05:30,97.45,100.7,88.55,90.6,82826
2021-08-11 00:00:00+05:30,91,93.45,86.05,89,62911
2021-08-12 00:00:00+05:30,87.7,105.8,87.7,103.5,305770
2021-08-13 00:00:00+05:30,104.4,108.75,100.4,101.2,209449
2021-08-16 00:00:00+05:30,98.2,107,98.15,102.4,197538
2021-08-17 00:00:00+05:30,102.8,104.3,98.9,99.35,75006
2021-08-18 00:00:00+05:30,98.25,105.4,98.25,100.35,144784
2021-08-20 00:00:00+05:30,99,120.4,98.95,119.4,1591107
2021-08-23 00:00:00+05:30,123.75,128.7,107.2,108.45,842186
2021-08-24 00:00:00+05:30,109,114.3,105.2,109,160384
2021-08-25 00:00:00+05:30,108.45,113.9,107.95,111.15,98854
2021-08-26 00:00:00+05:30,110.15,117.9,110.15,113.6,161526
2021-08-27 00:00:00+05:30,114.95,136.3,113.6,132.25,1013340
2021-08-30 00:00:00+05:30,131,142.9,125.55,137,736201
2021-08-31 00:00:00+05:30,139,164.4,138,164.4,1538009
2021-09-01 00:00:00+05:30,174,176,158.55,161.85,852915
2021-09-02 00:00:00+05:30,163,178,160.3,178,329455
2021-09-03 00:00:00+05:30,186.8,188,165,167.55,613302
2021-09-06 00:00:00+05:30,169,170.8,158.2,160,230280
