date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,122,122.85,121.75,121.9,27777
2021-01-04 00:00:00+05:30,122.05,123.5,121.55,122,46736
2021-01-05 00:00:00+05:30,121.85,127.2,121.5,123.9,182552
2021-01-06 00:00:00+05:30,124.6,124.6,121.5,121.6,56892
2021-01-07 00:00:00+05:30,123.6,124.35,122.3,123.8,57543
2021-01-08 00:00:00+05:30,123.7,136,122.6,126.5,1508770
2021-01-11 00:00:00+05:30,126.5,126.5,122.05,123.7,124054
2021-01-12 00:00:00+05:30,123,125.65,122.4,123.95,72205
2021-01-13 00:00:00+05:30,123.55,124.75,121.5,122,81994
2021-01-14 00:00:00+05:30,121,124.95,121,122.5,95733
2021-01-15 00:00:00+05:30,122.3,123.7,121.5,122.3,56278
2021-01-18 00:00:00+05:30,120.95,123.5,120.95,122.85,55918
2021-01-19 00:00:00+05:30,123.95,124,121.25,121.6,58727
2021-01-20 00:00:00+05:30,122,125,121.65,123.85,95536
2021-01-21 00:00:00+05:30,123.5,124.7,121.5,121.55,53925
2021-01-22 00:00:00+05:30,122.6,123.95,121.5,121.55,51310
2021-01-25 00:00:00+05:30,121.75,123.6,121.5,121.5,50691
2021-01-27 00:00:00+05:30,121.55,122.65,121.5,121.5,83086
2021-01-28 00:00:00+05:30,121.5,121.95,121,121.45,26684
2021-01-29 00:00:00+05:30,121.05,122.5,118,118.2,24283
2021-02-01 00:00:00+05:30,117.2,121,117.1,120.25,15248
2021-02-02 00:00:00+05:30,120.7,123,117.65,118.75,42882
2021-02-03 00:00:00+05:30,120.95,123.3,119,119.95,43144
2021-02-04 00:00:00+05:30,121.05,122,119.75,121.05,33408
2021-02-05 00:00:00+05:30,123.4,123.4,120,120.4,26390
2021-02-08 00:00:00+05:30,120.8,123.5,120.15,122.45,34388
2021-02-09 00:00:00+05:30,123.9,128.95,122.25,124.7,209929
2021-02-10 00:00:00+05:30,125,125.95,120.05,124.1,92220
2021-02-11 00:00:00+05:30,125.45,125.45,121.5,122,367369
2021-02-12 00:00:00+05:30,121.1,123.85,121.1,122.7,53545
2021-02-15 00:00:00+05:30,125,125,122.15,122.45,21453
2021-02-16 00:00:00+05:30,122.45,124.2,122.1,122.35,20057
2021-02-17 00:00:00+05:30,122.35,123,122,122.35,22122
2021-02-18 00:00:00+05:30,122,125.25,120.8,124.45,548797
2021-02-19 00:00:00+05:30,126.45,129.5,125.05,126.2,232496
2021-02-22 00:00:00+05:30,125.9,129.3,123.75,126.9,456694
2021-02-23 00:00:00+05:30,128,134,126.85,132.55,313109
2021-02-24 00:00:00+05:30,133,143.5,132.75,140.95,442161
2021-02-25 00:00:00+05:30,142.3,145.95,135.05,138.15,421426
2021-02-26 00:00:00+05:30,135,139.2,134.5,136.75,121496
