date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,484.05,489,471.1,474.9,26907
2021-01-04 00:00:00+05:30,475.55,486,475.55,477.5,17772
2021-01-05 00:00:00+05:30,470,494.7,469.95,478.85,65401
2021-01-06 00:00:00+05:30,482.9,488,464.95,470.45,42495
2021-01-07 00:00:00+05:30,474.9,478.2,468,471.3,19022
2021-01-08 00:00:00+05:30,475.7,494,473.25,486.2,76317
2021-01-11 00:00:00+05:30,490.7,491.75,478,483.3,31719
2021-01-12 00:00:00+05:30,486.75,508.7,482.1,494.1,164539
2021-01-13 00:00:00+05:30,495,502.8,482,486.15,42414
2021-01-14 00:00:00+05:30,489.95,498.75,482.5,487.1,28489
2021-01-15 00:00:00+05:30,490.8,491.1,475.25,477.75,24081
2021-01-18 00:00:00+05:30,474,482.35,462.25,467.05,26621
2021-01-19 00:00:00+05:30,477.45,482,469,470.25,32942
2021-01-20 00:00:00+05:30,474.6,486.05,472,475.9,38131
2021-01-21 00:00:00+05:30,475.9,549.65,475.9,528.85,826649
2021-01-22 00:00:00+05:30,533,549.9,511.3,520.9,204003
2021-01-25 00:00:00+05:30,526.8,533.8,500.95,505.05,40313
2021-01-27 00:00:00+05:30,507.5,514.05,495,502.7,37167
2021-01-28 00:00:00+05:30,500.05,506.05,490.3,493.3,25303
2021-01-29 00:00:00+05:30,497.65,505.1,481.15,487.9,28336
2021-02-01 00:00:00+05:30,490,544.95,481.5,534.2,145207
2021-02-02 00:00:00+05:30,545,553.95,525.1,534.9,105394
2021-02-03 00:00:00+05:30,536.3,548,525.35,534.7,82328
2021-02-04 00:00:00+05:30,534.85,549.7,531.5,535.55,39080
2021-02-05 00:00:00+05:30,536,541.25,511.55,515.2,61777
2021-02-08 00:00:00+05:30,516,524,506.3,509.15,23906
2021-02-09 00:00:00+05:30,513.7,520.4,505.1,507.45,16921
2021-02-10 00:00:00+05:30,511.25,517.1,500,505.55,31824
2021-02-11 00:00:00+05:30,509.9,519,502.05,509.3,19797
2021-02-12 00:00:00+05:30,510.9,515,501.1,503.5,17707
2021-02-15 00:00:00+05:30,507.7,509.95,502,503.75,34412
2021-02-16 00:00:00+05:30,506.7,510,490.1,496.05,30168
2021-02-17 00:00:00+05:30,496.9,506.5,495.1,498.8,33475
2021-02-18 00:00:00+05:30,502,506.2,495,496.9,30125
2021-02-19 00:00:00+05:30,496,501,488,490.3,18560
2021-02-22 00:00:00+05:30,490,490,475.05,477.9,21073
2021-02-23 00:00:00+05:30,482,486.95,472,476.3,13479
2021-02-24 00:00:00+05:30,479,488,471,480.05,11098
2021-02-25 00:00:00+05:30,483.9,494.4,480,487.35,17282
2021-02-26 00:00:00+05:30,482,488.6,474.15,480.9,12757
2021-03-01 00:00:00+05:30,485.3,491.55,481,490.25,27069
2021-03-02 00:00:00+05:30,493,499.9,490.4,493.45,18782
2021-03-03 00:00:00+05:30,497.7,509.8,489.5,497.25,30945
2021-03-04 00:00:00+05:30,499,505.2,491.3,497.6,17994
2021-03-05 00:00:00+05:30,508,509.8,492.8,493.75,27610
2021-03-08 00:00:00+05:30,493,508,487.9,490.15,24886
2021-03-09 00:00:00+05:30,495,497.6,485.9,488,11527
2021-03-10 00:00:00+05:30,493,495,486,487.35,7938
2021-03-12 00:00:00+05:30,497,497,480,481.85,22851
2021-03-15 00:00:00+05:30,482,484.85,466.65,470.75,25487
2021-03-16 00:00:00+05:30,472.05,476,460.1,464,14994
2021-03-17 00:00:00+05:30,467.3,471.75,454.8,456.35,16822
2021-03-18 00:00:00+05:30,460.95,469.6,447,450.25,18832
2021-03-19 00:00:00+05:30,449.7,458.05,430.15,451.85,16009
2021-03-22 00:00:00+05:30,442.7,458.95,442.7,452.85,7509
2021-03-23 00:00:00+05:30,460,460,448,450.95,9582
2021-03-24 00:00:00+05:30,447.45,507.9,446,488.55,351637
2021-03-25 00:00:00+05:30,494.9,494.9,451.4,458.45,60956
2021-03-26 00:00:00+05:30,460.3,473.75,454.55,460.75,38609
2021-03-30 00:00:00+05:30,461,477.05,451,454.85,22716
2021-03-31 00:00:00+05:30,450,464.2,450,452.45,16092
2021-04-01 00:00:00+05:30,455.75,484.95,455.75,469.7,38698
2021-04-05 00:00:00+05:30,474.9,474.9,450,455.05,18908
2021-04-06 00:00:00+05:30,455.45,472,454.65,462.8,20024
2021-04-07 00:00:00+05:30,467,472.8,462,466.3,12125
2021-04-08 00:00:00+05:30,466.45,476,464.95,465.9,19730
2021-04-09 00:00:00+05:30,462.4,472,461,463.65,10287
2021-04-12 00:00:00+05:30,452.3,455.65,430,434.95,17302
2021-04-13 00:00:00+05:30,435,477,432.25,465.1,27889
2021-04-15 00:00:00+05:30,458.05,463.95,457.1,458.15,10931
2021-04-16 00:00:00+05:30,460.05,464.6,457,459.45,9105
2021-04-19 00:00:00+05:30,443.8,458.65,443,455.7,16517
2021-04-20 00:00:00+05:30,475,475,454.1,457.35,10867
2021-04-22 00:00:00+05:30,460,466,451.25,458.2,8518
2021-04-23 00:00:00+05:30,457.55,461.85,454,455.2,4057
2021-04-26 00:00:00+05:30,455,466.05,450,451.85,10697
2021-04-27 00:00:00+05:30,456.3,467.4,448.2,459.85,11942
2021-04-28 00:00:00+05:30,463.05,469.65,458.7,461.25,12100
2021-04-29 00:00:00+05:30,462,465.7,455,457.15,6738
2021-04-30 00:00:00+05:30,454.2,459.65,450.05,452.4,8700
2021-05-03 00:00:00+05:30,444,451.8,442.1,446.15,12642
2021-05-04 00:00:00+05:30,446.65,455.55,442,444.85,10877
2021-05-05 00:00:00+05:30,445.3,450.35,441.1,442.35,6907
2021-05-06 00:00:00+05:30,445.15,477.7,443.95,464.8,69317
2021-05-07 00:00:00+05:30,468,472.2,454.5,456.1,18742
2021-05-10 00:00:00+05:30,463.95,484.4,454.55,469.85,53037
2021-05-11 00:00:00+05:30,466.4,471.1,462,463.65,10768
2021-05-12 00:00:00+05:30,458.1,466.5,447,449.1,48676
2021-05-14 00:00:00+05:30,451.05,454.3,442,443.5,17545
2021-05-17 00:00:00+05:30,445.45,451,443.4,445.2,20596
2021-05-18 00:00:00+05:30,448.05,453,445.55,450.65,29478
2021-05-19 00:00:00+05:30,455,462.45,435.15,447.3,196922
2021-05-20 00:00:00+05:30,447.15,450,439.85,440.3,43688
2021-05-21 00:00:00+05:30,443.75,449.2,440.05,445.25,47301
2021-05-24 00:00:00+05:30,446.5,449.85,442.3,443.55,25994
2021-05-25 00:00:00+05:30,447.75,458.5,444,449.25,49085
2021-05-26 00:00:00+05:30,453,457.1,448,449.3,37816
2021-05-27 00:00:00+05:30,454,471,448.5,458.9,135864
2021-05-28 00:00:00+05:30,464.9,464.9,453,455.15,31635
2021-05-31 00:00:00+05:30,462,462,449.05,450.95,23838
2021-06-01 00:00:00+05:30,454.9,457,446.55,449.8,53007
2021-06-02 00:00:00+05:30,451.85,457,448.4,453.6,26251
2021-06-03 00:00:00+05:30,457.5,464.75,454.15,460.25,46991
2021-06-04 00:00:00+05:30,464,465.6,455.3,457.05,26335
2021-06-07 00:00:00+05:30,462.65,490.15,455.1,480.3,237628
2021-06-08 00:00:00+05:30,484.1,488.85,469.2,479.45,53347
2021-06-09 00:00:00+05:30,490.05,500,478,483.25,194009
2021-06-10 00:00:00+05:30,488.6,499.9,484,486.75,92208
2021-06-11 00:00:00+05:30,491.9,498.7,485.5,487.8,44193
2021-06-14 00:00:00+05:30,489.9,492.1,471.7,483.75,25016
2021-06-15 00:00:00+05:30,485.25,490,482.1,482.35,23014
2021-06-16 00:00:00+05:30,487,490,476,476.95,18827
2021-06-17 00:00:00+05:30,470.15,483.65,465.4,467.6,37081
2021-06-18 00:00:00+05:30,471.8,472.65,452.3,464.05,28437
2021-06-21 00:00:00+05:30,458.1,464.55,452,459.95,44013
