date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,325.05,337.25,325.05,333.5,104711
2021-01-04 00:00:00+05:30,336.6,344.3,330.6,335.75,226073
2021-01-05 00:00:00+05:30,330.2,341.9,330.2,340.9,55253
2021-01-06 00:00:00+05:30,342.6,346.9,335,340.4,58565
2021-01-07 00:00:00+05:30,343.4,348.35,340.8,341.65,41982
2021-01-08 00:00:00+05:30,344.7,354.7,343.4,348.3,79181
2021-01-11 00:00:00+05:30,354,355.15,344.55,346.6,53012
2021-01-12 00:00:00+05:30,346,354.95,344.05,349.3,47124
2021-01-13 00:00:00+05:30,348,353.9,344.3,349.25,118444
2021-01-14 00:00:00+05:30,351,354.95,345.05,346.2,61646
2021-01-15 00:00:00+05:30,349.65,349.85,333.85,342.85,180786
2021-01-18 00:00:00+05:30,344.6,344.95,337,341.65,90182
2021-01-19 00:00:00+05:30,339,367.45,339,364.15,155545
2021-01-20 00:00:00+05:30,366,375.65,359,364.55,100977
2021-01-21 00:00:00+05:30,363.35,383,361.35,373.95,363096
2021-01-22 00:00:00+05:30,379.6,399,375,384.2,192026
2021-01-25 00:00:00+05:30,387,403,382.05,390,262318
2021-01-27 00:00:00+05:30,393,393,379.05,383.45,57544
2021-01-28 00:00:00+05:30,380,384,368.4,374.9,241364
2021-01-29 00:00:00+05:30,377.9,384,366.75,370.95,49699
2021-02-01 00:00:00+05:30,366.5,387,366.5,383.25,119779
2021-02-02 00:00:00+05:30,386.3,412.8,385.65,404.85,117711
2021-02-03 00:00:00+05:30,407.7,420,400.35,415.95,177816
2021-02-04 00:00:00+05:30,418.8,430.25,376.55,402.9,479369
2021-02-05 00:00:00+05:30,409.8,412,369.5,384.35,464760
2021-02-08 00:00:00+05:30,387,391.9,381.5,385.85,73220
2021-02-09 00:00:00+05:30,387,392.95,366.1,375.15,126493
2021-02-10 00:00:00+05:30,376.7,395,375.95,392.5,133737
2021-02-11 00:00:00+05:30,396,424.65,392.55,421.75,234433
2021-02-12 00:00:00+05:30,425,433.8,421.25,424.45,141928
2021-02-15 00:00:00+05:30,426.4,426.4,410.25,415.25,84067
2021-02-16 00:00:00+05:30,416.65,419.7,410.55,416.05,86307
2021-02-17 00:00:00+05:30,412.5,418.2,407,415.4,83622
2021-02-18 00:00:00+05:30,417.35,429.9,412.05,417.2,191992
2021-02-19 00:00:00+05:30,419.3,427,414.75,422.1,135521
2021-02-22 00:00:00+05:30,418,423,411,420.45,122955
2021-02-23 00:00:00+05:30,420.45,423,414.15,420.7,30768
2021-02-24 00:00:00+05:30,422.85,429.9,415,418,14068
2021-02-25 00:00:00+05:30,420.2,453,412.65,448.5,253795
2021-02-26 00:00:00+05:30,444,447.4,425,436.95,101554
2021-03-01 00:00:00+05:30,440.45,446.9,431.1,435.95,57788
2021-03-02 00:00:00+05:30,434.95,453.5,432,445.05,54087
2021-03-03 00:00:00+05:30,448,449.95,442,448.05,74774
2021-03-04 00:00:00+05:30,452,452,436,448.4,57321
2021-03-05 00:00:00+05:30,444.3,450,435,441.15,100180
2021-03-08 00:00:00+05:30,442,446,436.3,443.85,35913
2021-03-09 00:00:00+05:30,444,445,435.55,443.85,42491
2021-03-10 00:00:00+05:30,445,448,433.65,437.65,49553
2021-03-12 00:00:00+05:30,438,442.95,432.1,436.15,38425
