date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,161.85,161.85,155,158.2,16336
2021-01-04 00:00:00+05:30,158.15,167,158,164.6,100108
2021-01-05 00:00:00+05:30,164.6,178.95,160.15,173.9,107778
2021-01-06 00:00:00+05:30,175,177,168.55,171.7,49196
2021-01-07 00:00:00+05:30,173.2,184.4,170.1,172.85,118822
2021-01-08 00:00:00+05:30,175.9,183.9,172,176.2,111330
2021-01-11 00:00:00+05:30,177.7,178.7,172,174,39331
2021-01-12 00:00:00+05:30,173.9,175,170,172.3,32268
2021-01-13 00:00:00+05:30,174.7,175,162.1,167.5,50722
2021-01-14 00:00:00+05:30,167.45,171.2,165.65,168.95,29475
2021-01-15 00:00:00+05:30,168.7,169.6,163.3,164.2,20081
2021-01-18 00:00:00+05:30,163.65,163.7,151,152.3,42254
2021-01-19 00:00:00+05:30,156.25,163,155.35,160.55,28612
2021-01-20 00:00:00+05:30,160.25,164.55,160.25,164.2,14655
2021-01-21 00:00:00+05:30,165.7,170.45,161.5,163.75,33615
2021-01-22 00:00:00+05:30,162.7,165.1,152.8,157.5,24628
2021-01-25 00:00:00+05:30,161,163.3,152.7,155.3,48023
2021-01-27 00:00:00+05:30,155.3,159.85,150,150.85,18507
2021-01-28 00:00:00+05:30,149.8,156.45,145.35,152.7,23736
2021-01-29 00:00:00+05:30,154.95,157,150.4,151.3,10564
2021-02-01 00:00:00+05:30,152.35,156.45,150.55,153.75,11253
2021-02-02 00:00:00+05:30,157,158.5,154.1,156.25,9295
2021-02-03 00:00:00+05:30,159,159,153.45,155.55,14108
2021-02-04 00:00:00+05:30,153.2,159.85,153.2,155.35,10453
2021-02-05 00:00:00+05:30,156.3,156.3,151.4,152.35,17360
2021-02-08 00:00:00+05:30,158,158,150.5,152.2,17763
2021-02-09 00:00:00+05:30,156.5,156.5,147.2,148.45,28625
2021-02-10 00:00:00+05:30,148,151.45,147.95,149.85,11995
2021-02-11 00:00:00+05:30,150.15,158.5,149.75,155.45,47592
2021-02-12 00:00:00+05:30,158.6,158.6,153,157.2,16114
2021-02-15 00:00:00+05:30,168,188.55,163,185.5,303344
2021-02-16 00:00:00+05:30,185,185,171.45,176.25,87599
2021-02-17 00:00:00+05:30,174,211,171.1,202.35,298123
2021-02-18 00:00:00+05:30,209,211.25,193.35,196.05,145100
2021-02-19 00:00:00+05:30,198.6,198.65,185,189.4,40387
2021-02-22 00:00:00+05:30,190.95,192.7,179.3,187.1,44452
2021-02-23 00:00:00+05:30,189.9,189.9,182.5,183.75,25421
2021-02-24 00:00:00+05:30,189.65,189.7,181.25,182.85,9446
2021-02-25 00:00:00+05:30,187.4,190,183.25,187.85,13414
2021-02-26 00:00:00+05:30,185.05,190,182,183.4,14972
2021-03-01 00:00:00+05:30,187,187,180,181.15,11429
2021-03-02 00:00:00+05:30,182,187.65,175.55,176.85,35386
2021-03-03 00:00:00+05:30,182.6,183,175.3,176,37803
2021-03-04 00:00:00+05:30,175,183.45,173.55,177.8,66528
2021-03-05 00:00:00+05:30,178.95,179.5,171.2,172.1,22055
2021-03-08 00:00:00+05:30,174.45,177.45,171.6,173.75,19472
2021-03-09 00:00:00+05:30,173.7,177.95,165.25,170.9,28394
2021-03-10 00:00:00+05:30,171.15,179.6,171.15,173.8,29924
2021-03-12 00:00:00+05:30,177.95,180.85,176.75,178.2,29443
2021-03-15 00:00:00+05:30,181.8,181.8,169.2,172.1,19991
2021-03-16 00:00:00+05:30,176.2,180.55,170,172.05,20678
2021-03-17 00:00:00+05:30,173.7,173.7,165.45,166.8,20490
2021-03-18 00:00:00+05:30,169,170.05,157.25,160.75,16427
2021-03-19 00:00:00+05:30,156.05,168.35,155.3,165.55,20969
2021-03-22 00:00:00+05:30,165,175,161.55,169.8,20634
2021-03-23 00:00:00+05:30,170,171.45,163.1,163.85,34746
2021-03-24 00:00:00+05:30,164,166.85,156.55,158.1,34366
2021-03-25 00:00:00+05:30,160.1,161,150.05,153.4,15657
2021-03-26 00:00:00+05:30,159.65,161.45,153.55,155.5,15520
2021-03-30 00:00:00+05:30,156.55,159.4,152,152.9,17586
2021-03-31 00:00:00+05:30,152.6,157.75,150.6,153.1,25831
2021-04-01 00:00:00+05:30,154.5,163,154.05,161,16092
2021-04-05 00:00:00+05:30,162.15,166.95,151.05,152.45,41650
2021-04-06 00:00:00+05:30,152.65,155,146.55,149.05,37754
2021-04-07 00:00:00+05:30,150,151.45,147.5,148.05,36950
2021-04-08 00:00:00+05:30,150,156.9,145.4,155.4,24309
2021-04-09 00:00:00+05:30,153.5,160.05,153.5,155.2,39577
2021-04-12 00:00:00+05:30,155.2,155.2,146.5,149.75,20865
2021-04-13 00:00:00+05:30,152.65,157,148.55,154.6,14206
2021-04-15 00:00:00+05:30,151.85,152,146.4,150.2,17635
2021-04-16 00:00:00+05:30,149.15,152.05,146.55,151.1,15499
2021-04-19 00:00:00+05:30,147,147.45,142.45,146.2,16543
2021-04-20 00:00:00+05:30,147.05,150.2,145,145.45,12346
2021-04-22 00:00:00+05:30,144.05,149.95,141.55,145.9,15994
2021-04-23 00:00:00+05:30,145.75,169.4,145.65,150.3,160333
2021-04-26 00:00:00+05:30,155,157.7,144.95,146.45,80837
2021-04-27 00:00:00+05:30,149.4,159.95,145.05,158.05,71864
2021-04-28 00:00:00+05:30,156.85,163.05,155,157.35,80673
2021-04-29 00:00:00+05:30,157,161.95,155.65,157.6,13785
2021-04-30 00:00:00+05:30,157.6,159.45,154.1,157.1,18975
2021-05-03 00:00:00+05:30,157.1,169,157,166.9,49347
2021-05-04 00:00:00+05:30,171.75,176,165.25,172.7,97760
2021-05-05 00:00:00+05:30,169.2,179.7,169.2,177.4,60847
2021-05-06 00:00:00+05:30,177.4,181.9,172.25,176.15,136136
2021-05-07 00:00:00+05:30,177.45,184.8,175.45,179.2,100722
2021-05-10 00:00:00+05:30,179.15,183,174.2,178.6,73685
2021-05-11 00:00:00+05:30,174,186.95,174,185.25,88624
2021-05-12 00:00:00+05:30,199.4,214.5,195.1,200.05,920741
2021-05-14 00:00:00+05:30,202.7,205.6,187.95,196.35,132062
2021-05-17 00:00:00+05:30,199,202.6,190.15,201.1,62486
2021-05-18 00:00:00+05:30,205,207.4,195.65,200.6,77762
2021-05-19 00:00:00+05:30,199,204,198.4,201.3,53710
2021-05-20 00:00:00+05:30,203,211.7,198,206.35,208258
2021-05-21 00:00:00+05:30,208.3,209.25,200.15,201.55,90348
2021-05-24 00:00:00+05:30,201.55,205.15,198,201.15,41385
2021-05-25 00:00:00+05:30,201.3,204.35,196,196.65,38553
2021-05-26 00:00:00+05:30,198.4,202.7,196.55,201.05,22049
2021-05-27 00:00:00+05:30,201.85,203.8,196.75,200.6,44770
2021-05-28 00:00:00+05:30,203.95,205.15,199.1,202.25,45768
2021-05-31 00:00:00+05:30,203.95,208.5,199.25,201.7,41728
2021-06-01 00:00:00+05:30,205.45,205.45,195.05,196.25,21371
2021-06-02 00:00:00+05:30,196.25,197.95,191.75,193.75,43570
2021-06-03 00:00:00+05:30,194.15,203,194.15,200.8,72337
2021-06-04 00:00:00+05:30,203.95,240.95,196.25,235.55,1341214
2021-06-07 00:00:00+05:30,242.5,244.85,222.05,227.1,459051
2021-06-08 00:00:00+05:30,227.1,228.65,216.5,219.95,103977
2021-06-09 00:00:00+05:30,224,230,217,218.9,140122
2021-06-10 00:00:00+05:30,225.9,225.9,219,221.65,57811
2021-06-11 00:00:00+05:30,225,232.5,221.6,231,90966
2021-06-14 00:00:00+05:30,234.4,235.75,221.2,224.7,100013
2021-06-15 00:00:00+05:30,228.1,231.95,220.75,222.75,112752
2021-06-16 00:00:00+05:30,225,225.2,220.5,221.4,43800
2021-06-17 00:00:00+05:30,220.05,255.5,214,241.35,977767
2021-06-18 00:00:00+05:30,243.9,250.95,233,246.25,272514
2021-06-21 00:00:00+05:30,245,245,232.8,242.1,87607
2021-06-22 00:00:00+05:30,246,249.85,228.85,230.5,377093
2021-06-23 00:00:00+05:30,232.5,233.9,223,224.3,95446
2021-06-24 00:00:00+05:30,227.45,235,224.3,234.05,124291
2021-06-25 00:00:00+05:30,234,238,222.35,223.75,99527
2021-06-28 00:00:00+05:30,225,230.65,223,224.65,59572
2021-06-29 00:00:00+05:30,224.65,227.8,220,221.15,52594
2021-06-30 00:00:00+05:30,224.4,225.95,220.1,220.7,36271
2021-07-01 00:00:00+05:30,220,224,215.05,217.75,64122
