date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,94.95,95.7,94.25,94.6,2938413
2021-01-04 00:00:00+05:30,97,97.2,94.35,95.25,5396883
2021-01-05 00:00:00+05:30,93,95.35,92.9,93.85,3293611
2021-01-06 00:00:00+05:30,94.35,95.5,92.5,93.6,4951975
2021-01-07 00:00:00+05:30,94.45,95.1,92.05,93.45,4621284
2021-01-08 00:00:00+05:30,94.4,94.95,93.5,93.85,2563972
2021-01-11 00:00:00+05:30,94.35,94.35,92.55,92.9,2567331
2021-01-12 00:00:00+05:30,93.5,95.65,93.4,93.75,5519876
2021-01-13 00:00:00+05:30,94.4,94.75,91.15,92.6,3368045
2021-01-14 00:00:00+05:30,92.65,92.95,91,91.25,2440027
2021-01-15 00:00:00+05:30,91.85,91.9,88.25,89.55,4545010
2021-01-18 00:00:00+05:30,90.15,90.5,86.15,87.25,2930872
2021-01-19 00:00:00+05:30,88.35,91.2,88.15,90.2,3282509
2021-01-20 00:00:00+05:30,90.25,93.7,89,90.75,3768462
2021-01-21 00:00:00+05:30,91.25,93.5,88.5,89.15,6321535
2021-01-22 00:00:00+05:30,89.15,90.15,87,87.95,2393327
2021-01-25 00:00:00+05:30,88.1,88.85,84.55,85.55,2006536
2021-01-27 00:00:00+05:30,85.7,85.7,83.15,84.1,1994231
2021-01-28 00:00:00+05:30,81.6,83.8,81,81.9,2464110
2021-01-29 00:00:00+05:30,82.65,84.5,82.25,82.8,2064171
2021-02-01 00:00:00+05:30,83.3,85.7,83,84.7,3980416
2021-02-02 00:00:00+05:30,85.55,87.1,85.1,85.4,2236323
2021-02-03 00:00:00+05:30,85.2,86.7,84.05,85.5,1909598
2021-02-04 00:00:00+05:30,85.95,88.2,85.5,86.85,2513718
2021-02-05 00:00:00+05:30,89,92,88,88.35,6158603
2021-02-08 00:00:00+05:30,88.6,90.3,87.8,88.2,1970089
2021-02-09 00:00:00+05:30,88.8,88.8,86.5,86.8,2601922
2021-02-10 00:00:00+05:30,87.5,90.4,87.05,87.9,4611476
2021-02-11 00:00:00+05:30,87.3,89.7,87,87.75,3147223
2021-02-12 00:00:00+05:30,93.8,93.8,89.85,90.7,11331555
2021-02-15 00:00:00+05:30,91.4,91.55,89,89.3,2256521
2021-02-16 00:00:00+05:30,88.95,89.05,87,87.35,2598270
2021-02-17 00:00:00+05:30,87.3,90.65,86.1,88.35,7370408
2021-02-18 00:00:00+05:30,88.55,89.3,87.55,88.25,2762268
2021-02-19 00:00:00+05:30,88,88.5,85.45,86.25,3591693
2021-02-22 00:00:00+05:30,86.25,86.25,83,83.8,3541130
2021-02-23 00:00:00+05:30,84.2,84.75,82.55,82.95,5644304
2021-02-24 00:00:00+05:30,83.5,85.15,83.05,83.75,4047544
2021-02-25 00:00:00+05:30,84,86.7,84,84.95,4060809
2021-02-26 00:00:00+05:30,83.7,84.75,82.5,82.65,2622012
2021-03-01 00:00:00+05:30,83.7,84.95,82.8,83.25,3336645
2021-03-02 00:00:00+05:30,83.5,84.9,83.2,83.85,2549216
2021-03-03 00:00:00+05:30,84.9,89.8,83.6,88.85,13298294
2021-03-04 00:00:00+05:30,86.5,90.6,86,87.55,6427286
2021-03-05 00:00:00+05:30,87.5,87.95,84.3,84.95,5167266
2021-03-08 00:00:00+05:30,84.85,86.35,83.6,84.6,5189578
2021-03-09 00:00:00+05:30,84.6,85.4,82.8,83.5,1992440
2021-03-10 00:00:00+05:30,85.25,85.9,82.7,83.1,3145509
2021-03-12 00:00:00+05:30,83.95,84.2,82,82.55,2583424
2021-03-15 00:00:00+05:30,83.25,83.25,79.65,80.75,5661477
2021-03-16 00:00:00+05:30,80.6,80.6,78.7,79.15,3728792
2021-03-17 00:00:00+05:30,78.3,81.8,77.05,77.9,4193276
2021-03-18 00:00:00+05:30,77.8,79,74.6,75.35,4221899
2021-03-19 00:00:00+05:30,73,74.3,69.25,71.8,7753793
2021-03-22 00:00:00+05:30,72.95,77,71.85,76.4,10450709
2021-03-23 00:00:00+05:30,77,77.9,74.55,74.75,4112010
2021-03-24 00:00:00+05:30,72.35,73.95,71.6,71.85,3798332
2021-03-25 00:00:00+05:30,72.1,72.55,68.35,68.75,4304239
2021-03-26 00:00:00+05:30,69,70.75,68.9,69.25,3913868
2021-03-30 00:00:00+05:30,69.6,70.1,68,68.35,2427256
2021-03-31 00:00:00+05:30,68.8,71.2,68.6,69.3,4068725
2021-04-01 00:00:00+05:30,70.2,72.6,69.7,72.15,2523924
2021-04-05 00:00:00+05:30,71,71.2,68,68.75,3724725
2021-04-06 00:00:00+05:30,68.75,69.8,68.1,69.4,2101377
2021-04-07 00:00:00+05:30,69,72.4,68.75,71.85,4390535
2021-04-08 00:00:00+05:30,71.85,72.2,70.5,71.45,2070676
2021-04-09 00:00:00+05:30,70.65,71.45,70.15,71.05,1665685
2021-04-12 00:00:00+05:30,68,69,65.2,66.35,4129554
2021-04-13 00:00:00+05:30,65.2,70.45,65.2,68.2,3240671
2021-04-15 00:00:00+05:30,68,68.25,65.5,66.75,1943516
2021-04-16 00:00:00+05:30,67.4,68.2,65.7,65.9,3231940
2021-04-19 00:00:00+05:30,63,63,61.05,61.3,4685368
2021-04-20 00:00:00+05:30,62.25,63.4,60.55,61.45,7257360
2021-04-22 00:00:00+05:30,60.55,60.9,59.4,60.05,3901769
2021-04-23 00:00:00+05:30,60,61.3,59.55,60.8,2711526
2021-04-26 00:00:00+05:30,61.95,63.65,61.2,62,3191586
2021-04-27 00:00:00+05:30,63,65,62.6,64.75,4263300
2021-04-28 00:00:00+05:30,65.5,65.95,63.7,64.8,2146587
2021-04-29 00:00:00+05:30,65.65,66.1,63.55,63.95,1825321
2021-04-30 00:00:00+05:30,63,64,62.5,62.8,2619607
2021-05-03 00:00:00+05:30,62.8,62.8,60.7,61.4,1991235
2021-05-04 00:00:00+05:30,62,63.3,61,61.65,2195915
2021-05-05 00:00:00+05:30,61.9,63.6,61.25,62.9,2347880
2021-05-06 00:00:00+05:30,63.15,63.5,62.25,62.75,1205597
2021-05-07 00:00:00+05:30,62.75,63.4,62.5,62.6,1297919
2021-05-10 00:00:00+05:30,62.85,63.85,62.25,63.6,1879031
2021-05-11 00:00:00+05:30,63,70.2,62.9,69.65,10225152
2021-05-12 00:00:00+05:30,70.85,73.4,70.2,71.85,6769057
2021-05-14 00:00:00+05:30,73.1,73.25,68.3,69.85,4083436
2021-05-17 00:00:00+05:30,70.85,71.4,69.7,70.3,1964075
2021-05-18 00:00:00+05:30,71.85,77.35,71.25,76.45,10797465
2021-05-19 00:00:00+05:30,75.7,78.45,74.3,75,9981242
2021-05-20 00:00:00+05:30,75.2,76.55,74.3,74.85,3135766
2021-05-21 00:00:00+05:30,75.7,77.2,75.2,76.25,4912583
2021-05-24 00:00:00+05:30,78.8,82.15,77,81.25,15221781
2021-05-25 00:00:00+05:30,82.4,83.9,80.1,82.25,12199447
2021-05-26 00:00:00+05:30,83.1,83.3,80.75,81,5415507
2021-05-27 00:00:00+05:30,81.25,81.9,77.5,78.65,6219489
2021-05-28 00:00:00+05:30,78.7,80.75,78.5,79.2,5011495
2021-05-31 00:00:00+05:30,81.45,81.85,78.65,79.6,5177213
2021-06-01 00:00:00+05:30,79.6,80,75.8,76.2,5207553
2021-06-02 00:00:00+05:30,76,77.4,74.55,76,4220956
2021-06-03 00:00:00+05:30,76.45,78.6,76.3,77.9,4463933
2021-06-04 00:00:00+05:30,78.25,81,77.6,79.7,7248550
2021-06-07 00:00:00+05:30,80.2,81.7,79.75,80.6,11660992
2021-06-08 00:00:00+05:30,81.15,81.45,79.1,79.5,3787830
