date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,293.75,311.9,292.9,307.7,2142910
2021-01-04 00:00:00+05:30,312.8,338.5,311.1,327.3,5265104
2021-01-05 00:00:00+05:30,327.3,332.9,320.55,322.95,1026191
2021-01-06 00:00:00+05:30,325,334.95,313.35,319.05,999356
2021-01-07 00:00:00+05:30,323.2,328.9,321,324.85,511192
2021-01-08 00:00:00+05:30,327.9,328.6,321.05,322.35,1208466
2021-01-11 00:00:00+05:30,326.5,332.9,322,324.2,630320
2021-01-12 00:00:00+05:30,325.1,325.1,318.1,319,360651
2021-01-13 00:00:00+05:30,319.8,322.8,310.65,312.35,522618
2021-01-14 00:00:00+05:30,313,323.9,308.55,321.05,448352
2021-01-15 00:00:00+05:30,323.8,326,316.05,320.45,432236
2021-01-18 00:00:00+05:30,320.6,321.1,310.25,315.05,276538
2021-01-19 00:00:00+05:30,316.3,323.9,316.3,320.85,242211
2021-01-20 00:00:00+05:30,323.25,331.95,318.1,326.3,975686
2021-01-21 00:00:00+05:30,329,331,317.7,319.55,396156
2021-01-22 00:00:00+05:30,319.8,321.5,310.55,313.6,417460
2021-01-25 00:00:00+05:30,317.4,318.95,306,307.5,402219
2021-01-27 00:00:00+05:30,308,310,305,308,276143
2021-01-28 00:00:00+05:30,304.7,317.9,303.7,314.7,569030
2021-01-29 00:00:00+05:30,319.9,320.8,310.2,313.1,233865
2021-02-01 00:00:00+05:30,313.8,321.5,312.05,319.9,382135
2021-02-02 00:00:00+05:30,323.8,324.95,313.45,314.75,390413
2021-02-03 00:00:00+05:30,315.8,324,314.1,316.25,441057
2021-02-04 00:00:00+05:30,318.8,324.8,316.55,322.25,407219
2021-02-05 00:00:00+05:30,323.85,334,308.55,318.8,1740315
2021-02-08 00:00:00+05:30,314.7,314.7,303.2,305.25,907714
2021-02-09 00:00:00+05:30,306.25,311.7,305.8,308.4,359580
2021-02-10 00:00:00+05:30,309,309.35,304,305.5,227577
2021-02-11 00:00:00+05:30,306.7,308.5,305.25,306.9,177807
2021-02-12 00:00:00+05:30,307.3,310.05,306,308,189728
2021-02-15 00:00:00+05:30,310,312,304.35,304.9,361558
2021-02-16 00:00:00+05:30,306,307.3,298.2,301.5,421885
2021-02-17 00:00:00+05:30,303.6,309.8,293.35,297.8,563630
2021-02-18 00:00:00+05:30,297.8,304.5,296.5,298.2,348499
2021-02-19 00:00:00+05:30,298,304.75,296.7,299.5,341340
2021-02-22 00:00:00+05:30,304,304.85,297.65,299.1,310758
2021-02-23 00:00:00+05:30,305,305.1,296.4,297.85,276407
2021-02-24 00:00:00+05:30,298.1,301,295.3,297.3,115909
2021-02-25 00:00:00+05:30,300.4,302,297.4,297.9,454388
2021-02-26 00:00:00+05:30,295.55,299.8,293.55,294.35,230412
2021-03-01 00:00:00+05:30,298,308.5,293.55,299.1,760969
2021-03-02 00:00:00+05:30,300.35,301.95,296.1,299.3,556285
2021-03-03 00:00:00+05:30,301.4,305.4,298.5,299.3,664979
2021-03-04 00:00:00+05:30,298.85,302,293.85,295.55,474495
2021-03-05 00:00:00+05:30,296.45,297,290.95,292.5,362670
2021-03-08 00:00:00+05:30,295.95,296,289.2,290.8,377412
2021-03-09 00:00:00+05:30,292.4,298.45,291.25,292.7,221544
2021-03-10 00:00:00+05:30,293,294.75,288.3,289.3,279906
2021-03-12 00:00:00+05:30,290.9,292.7,281,282.25,494667
2021-03-15 00:00:00+05:30,283.8,285.35,269.8,272.5,740218
2021-03-16 00:00:00+05:30,274.2,282.4,273.1,274.5,528428
2021-03-17 00:00:00+05:30,277.8,288.2,275.45,277.2,1238165
2021-03-18 00:00:00+05:30,287,287,277.7,280.1,714117
2021-03-19 00:00:00+05:30,280.4,282,274.1,280.55,360431
2021-03-22 00:00:00+05:30,280.65,285.25,277.6,282,357155
2021-03-23 00:00:00+05:30,282,283,278.4,279.15,313802
2021-03-24 00:00:00+05:30,279.35,281.35,273.5,274.9,384162
2021-03-25 00:00:00+05:30,276,276.8,268.2,270.25,380444
2021-03-26 00:00:00+05:30,275,277,270,273.5,361489
2021-03-30 00:00:00+05:30,276,285.85,272.7,285,580785
2021-03-31 00:00:00+05:30,286.6,292.85,278.1,290.7,736934
2021-04-01 00:00:00+05:30,291.8,293.8,287,288.45,219064
2021-04-05 00:00:00+05:30,288.3,288.3,280.3,282.05,252144
2021-04-06 00:00:00+05:30,281.65,290.05,281.1,285.25,400705
2021-04-07 00:00:00+05:30,286.9,297.8,286,293.75,1449352
2021-04-08 00:00:00+05:30,295,297.8,290,290.9,441078
2021-04-09 00:00:00+05:30,290.5,297.9,290.5,293.25,471467
2021-04-12 00:00:00+05:30,288,289.45,278.1,279.6,463440
2021-04-13 00:00:00+05:30,282.6,285.35,279.65,283.35,166213
2021-04-15 00:00:00+05:30,284,284.7,279,282.2,131186
