date,open,high,low,close,volume
2021-07-29 00:00:00+05:30,2111.85,2534.2,2111.85,2312.2,7860870
2021-07-30 00:00:00+05:30,2323,2380,2250,2267.85,1432655
2021-08-02 00:00:00+05:30,2279,2287.7,2248,2263.25,493438
2021-08-03 00:00:00+05:30,2264.95,2280.15,2250,2268.2,329279
2021-08-04 00:00:00+05:30,2268.2,2274,2208.75,2213.1,349040
2021-08-05 00:00:00+05:30,2212.25,2215,2120.1,2131.65,303604
2021-08-06 00:00:00+05:30,2131.65,2189,2110,2134.4,236079
2021-08-09 00:00:00+05:30,2144.25,2156.7,2060.85,2079.2,211519
2021-08-10 00:00:00+05:30,2070,2078,2017.85,2043.85,193101
2021-08-11 00:00:00+05:30,2044,2058,2001,2011.15,132078
2021-08-12 00:00:00+05:30,2034,2164.85,2017.05,2124.35,382918
2021-08-13 00:00:00+05:30,2134,2196.3,2131.05,2158.45,182102
2021-08-16 00:00:00+05:30,2130,2168,2061,2128.65,99656
2021-08-17 00:00:00+05:30,2162.65,2185,2128,2170.55,153911
2021-08-18 00:00:00+05:30,2174,2230,2148.4,2202.5,170423
2021-08-20 00:00:00+05:30,2180,2258,2157.35,2200,188841
2021-08-23 00:00:00+05:30,2244.4,2244.4,2129.3,2183.35,87957
2021-08-24 00:00:00+05:30,2183.7,2185,2120,2144.25,60029
2021-08-25 00:00:00+05:30,2090,2222,2053.25,2191.55,290102
2021-08-26 00:00:00+05:30,2181,2181,2111,2138.55,209220
2021-08-27 00:00:00+05:30,2120,2148.55,2080,2085.25,221377
2021-08-30 00:00:00+05:30,2088,2128,2071,2077.25,109506
2021-08-31 00:00:00+05:30,2088,2100,2051,2060.8,71756
2021-09-01 00:00:00+05:30,2074,2078.9,2044,2050.45,62935
2021-09-02 00:00:00+05:30,2054,2080.65,2026,2038.9,78604
2021-09-03 00:00:00+05:30,2048,2079.7,2041,2048.9,140229
2021-09-06 00:00:00+05:30,2062,2083,2035,2039.25,103904
2021-09-07 00:00:00+05:30,2047,2099.05,2031.1,2065.95,124097
2021-09-08 00:00:00+05:30,2073,2073,2042.5,2056.4,32946
2021-09-09 00:00:00+05:30,2041,2066.2,2041,2047.1,28814
2021-09-13 00:00:00+05:30,2045.9,2068.45,2043.1,2053.5,32321
