date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,252.55,256,247.15,251.9,20335
2021-01-04 00:00:00+05:30,253.15,254.85,245.7,247.85,32251
2021-01-05 00:00:00+05:30,246.05,251,240.85,246.35,30434
2021-01-06 00:00:00+05:30,246.6,250.7,246.55,247.7,30542
2021-01-07 00:00:00+05:30,248.35,250.3,246,249.7,26354
2021-01-08 00:00:00+05:30,249.7,258.6,248.8,255.5,72538
2021-01-11 00:00:00+05:30,256.8,262,247.1,248.5,78429
2021-01-12 00:00:00+05:30,247.15,249.8,244,246.8,36055
2021-01-13 00:00:00+05:30,249,251,245.7,249,45111
2021-01-14 00:00:00+05:30,250,250,247.25,248.25,22691
2021-01-15 00:00:00+05:30,249.5,251,248,248.4,24594
2021-01-18 00:00:00+05:30,248.4,249.55,240.5,241.6,15591
2021-01-19 00:00:00+05:30,241.75,244.55,241.15,242.9,10452
2021-01-20 00:00:00+05:30,244,254.4,243.2,246.5,95093
2021-01-21 00:00:00+05:30,246.95,249.95,245.5,245.6,10736
2021-01-22 00:00:00+05:30,247,254,244.95,247.35,38112
2021-01-25 00:00:00+05:30,247,249.8,240.2,242.7,26176
2021-01-27 00:00:00+05:30,244,245.95,240,241.6,21263
2021-01-28 00:00:00+05:30,241.6,254,238.65,249.4,67385
2021-01-29 00:00:00+05:30,250.65,257,247.75,248.6,31790
2021-02-01 00:00:00+05:30,249,249,243,245.85,12300
2021-02-02 00:00:00+05:30,247.1,250,245.15,248.05,14949
2021-02-03 00:00:00+05:30,250.05,255,250,250.4,35670
2021-02-04 00:00:00+05:30,254.5,260,253.2,255,77343
2021-02-05 00:00:00+05:30,258.2,259,255.25,256.55,45587
2021-02-08 00:00:00+05:30,256.6,257.8,242,245.3,63321
2021-02-09 00:00:00+05:30,248,257.8,246,253.9,89968
2021-02-10 00:00:00+05:30,250.45,253.9,248.9,250.1,14603
2021-02-11 00:00:00+05:30,251,255.1,235,241.25,262910
2021-02-12 00:00:00+05:30,242.5,251.5,242.5,249.9,60695
2021-02-15 00:00:00+05:30,251.9,252.65,248,251.65,157851
2021-02-16 00:00:00+05:30,250,252.9,248.1,249.95,146112
2021-02-17 00:00:00+05:30,249,251.95,247.05,248.25,25237
2021-02-18 00:00:00+05:30,249.5,250.3,246.55,247.8,15707
2021-02-19 00:00:00+05:30,245.1,250.95,245.1,247.65,22825
2021-02-22 00:00:00+05:30,248.9,253.5,246.1,250.7,32531
2021-02-23 00:00:00+05:30,252.7,255.6,248.4,250.6,42556
2021-02-24 00:00:00+05:30,248.5,251.8,245.1,248,10036
2021-02-25 00:00:00+05:30,249.2,252,247.25,248.6,37783
2021-02-26 00:00:00+05:30,248.7,250.75,240.25,243,39458
2021-03-01 00:00:00+05:30,244.25,249.9,244.25,246.85,12945
2021-03-02 00:00:00+05:30,247,248.1,242.1,244.95,53350
2021-03-03 00:00:00+05:30,246.2,251.4,244.1,244.8,77521
2021-03-04 00:00:00+05:30,246,251,244.85,247.35,103854
2021-03-05 00:00:00+05:30,250,263,245,246,245709
