date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,361,361,346.05,348.1,19505
2021-01-04 00:00:00+05:30,355.95,357,339.8,348.85,43787
2021-01-05 00:00:00+05:30,342,381.4,340.75,375.35,142036
2021-01-06 00:00:00+05:30,376,394.6,362.4,367.7,102077
2021-01-07 00:00:00+05:30,368.1,372.55,357.1,362.15,26916
2021-01-08 00:00:00+05:30,374.9,375,359,360.7,20873
2021-01-11 00:00:00+05:30,374.9,375,356.1,359.9,30200
2021-01-12 00:00:00+05:30,365,365,348.6,350.15,32373
2021-01-13 00:00:00+05:30,357,357,339,344.6,50887
2021-01-14 00:00:00+05:30,342.6,357.95,340.05,354.1,13546
2021-01-15 00:00:00+05:30,359.9,359.9,341.95,344.05,22159
2021-01-18 00:00:00+05:30,345.05,350,336.3,342.7,11949
2021-01-19 00:00:00+05:30,347.9,352,341.15,347.8,9085
2021-01-20 00:00:00+05:30,369,369,356.35,360.9,40060
2021-01-21 00:00:00+05:30,368.45,368.45,350,351.65,14092
2021-01-22 00:00:00+05:30,357.95,363.35,350,353.3,42171
2021-01-25 00:00:00+05:30,358,360,344.05,346.85,21616
2021-01-27 00:00:00+05:30,350,368,341.65,365.5,34562
2021-01-28 00:00:00+05:30,368,374,357.9,362.8,26355
2021-01-29 00:00:00+05:30,366.95,369.4,355.6,358.25,10299
2021-02-01 00:00:00+05:30,364,365.4,351,355.15,24450
2021-02-02 00:00:00+05:30,350.25,368.3,350.25,362.8,26849
2021-02-03 00:00:00+05:30,365.05,371.1,360.35,363.2,26243
2021-02-04 00:00:00+05:30,370,370,363.85,366.5,18228
2021-02-05 00:00:00+05:30,366.1,368.9,355.3,357.5,14876
2021-02-08 00:00:00+05:30,357.55,362.05,352,356.2,33378
2021-02-09 00:00:00+05:30,356.75,375,355,364.05,36951
2021-02-10 00:00:00+05:30,369.9,415,365,409.75,219821
2021-02-11 00:00:00+05:30,416,425,391,397,110293
2021-02-12 00:00:00+05:30,393,399.4,379.15,380.85,77554
2021-02-15 00:00:00+05:30,386.6,415,362.55,407.95,50279
2021-02-16 00:00:00+05:30,409,439.6,407.95,423.2,178386
2021-02-17 00:00:00+05:30,423.05,435,415,433.25,58431
2021-02-18 00:00:00+05:30,444,444,425,428.4,33450
2021-02-19 00:00:00+05:30,428.4,428.4,406,413.4,28622
2021-02-22 00:00:00+05:30,418.9,423.05,391,396.05,29055
2021-02-23 00:00:00+05:30,392.65,415,392,403.4,29779
2021-02-24 00:00:00+05:30,415,415,400.9,408,5059
2021-02-25 00:00:00+05:30,410.05,415,395.05,401.85,15181
2021-02-26 00:00:00+05:30,403.3,415,392.5,401.3,19675
2021-03-01 00:00:00+05:30,407.1,412.2,392.2,394.1,15960
2021-03-02 00:00:00+05:30,405.85,405.9,389.25,394.25,17876
2021-03-03 00:00:00+05:30,394.25,403,386,397.15,39133
2021-03-04 00:00:00+05:30,393.55,405.45,391.35,395.1,21322
2021-03-05 00:00:00+05:30,400,401.35,386.95,388.8,12271
2021-03-08 00:00:00+05:30,388.1,398.55,383.1,392.95,13121
2021-03-09 00:00:00+05:30,394.3,402,383,387.2,16792
2021-03-10 00:00:00+05:30,385.25,398.4,376.6,383.4,6754
2021-03-12 00:00:00+05:30,391.95,391.95,371.4,374.8,18136
2021-03-15 00:00:00+05:30,377.65,384.35,373.5,376.3,21874
2021-03-16 00:00:00+05:30,382.75,394.8,367.15,378,26109
2021-03-17 00:00:00+05:30,383.5,383.55,363.5,367.4,19836
2021-03-18 00:00:00+05:30,373.85,376.25,346.05,354.9,16300
2021-03-19 00:00:00+05:30,347.9,369.95,347.8,366.95,17687
2021-03-22 00:00:00+05:30,370.75,383.95,360.85,373.3,24986
2021-03-23 00:00:00+05:30,377.4,380,368.4,375.7,15586
2021-03-24 00:00:00+05:30,378.55,381.15,366.5,371.65,14180
2021-03-25 00:00:00+05:30,375.95,376,351.55,356.2,32287
