date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,49.8,50.35,49.15,49.45,380430
2021-01-04 00:00:00+05:30,50.25,53.5,50,52.55,2154172
2021-01-05 00:00:00+05:30,52.25,53.25,51.05,52.25,905171
2021-01-06 00:00:00+05:30,52.5,53.3,50,50.9,1044084
2021-01-07 00:00:00+05:30,51.8,58,50.7,56.65,5282566
2021-01-08 00:00:00+05:30,57.3,59.2,55.2,56.75,2054490
2021-01-11 00:00:00+05:30,57.25,57.35,54.5,55.7,1033302
2021-01-12 00:00:00+05:30,54.8,57,54.35,55.25,720130
2021-01-13 00:00:00+05:30,55.65,57,52.8,53.85,956765
2021-01-14 00:00:00+05:30,54.1,56,53.5,54.5,331682
2021-01-15 00:00:00+05:30,54.6,54.75,52.9,53.15,420270
2021-01-18 00:00:00+05:30,53.15,53.95,50.15,52.1,602227
2021-01-19 00:00:00+05:30,52.45,53.3,51,52.25,495808
2021-01-20 00:00:00+05:30,52.65,53.65,52.5,52.6,410062
2021-01-21 00:00:00+05:30,53.1,53.4,51,51.75,563265
2021-01-22 00:00:00+05:30,51.65,53.45,51.1,51.4,342951
2021-01-25 00:00:00+05:30,51.85,52.05,49.65,50.4,492128
2021-01-27 00:00:00+05:30,50.3,52.25,49,51.65,329992
2021-01-28 00:00:00+05:30,51.25,52.35,50.15,52,225349
2021-01-29 00:00:00+05:30,52,52.6,50.9,52.1,342855
2021-02-01 00:00:00+05:30,52,53.35,51.45,52.65,406255
2021-02-02 00:00:00+05:30,52.9,54,50.65,51.1,258829
2021-02-03 00:00:00+05:30,51.6,53.6,51.6,52.6,447856
2021-02-04 00:00:00+05:30,52.7,53.85,51.25,53.05,271819
2021-02-05 00:00:00+05:30,53.05,54.8,52.55,53.15,399109
2021-02-08 00:00:00+05:30,53.45,55.6,53.25,53.95,718997
2021-02-09 00:00:00+05:30,54.5,55.75,53.65,54.6,828142
2021-02-10 00:00:00+05:30,55.1,55.45,54,54.25,240834
2021-02-11 00:00:00+05:30,54.25,57.05,54.25,56.4,1206358
2021-02-12 00:00:00+05:30,56.85,57.65,53.15,54.8,622983
2021-02-15 00:00:00+05:30,53.65,54.25,50.65,52.05,945233
2021-02-16 00:00:00+05:30,52.8,52.85,51.3,51.55,371186
2021-02-17 00:00:00+05:30,52.2,53,51.5,52.65,546151
2021-02-18 00:00:00+05:30,53.55,56.45,53.15,55.4,1186814
2021-02-19 00:00:00+05:30,55.45,56.75,54.8,55.75,1170934
2021-02-22 00:00:00+05:30,55.8,56.1,52.1,52.95,783935
2021-02-23 00:00:00+05:30,53.4,55.2,52.5,54.15,738444
2021-02-24 00:00:00+05:30,55.5,55.7,52.3,54.65,363912
2021-02-25 00:00:00+05:30,56,58.4,55.15,57.55,1373986
2021-02-26 00:00:00+05:30,57.25,58.2,55.9,56.35,770557
2021-03-01 00:00:00+05:30,60,60.9,56.65,59.75,1762787
2021-03-02 00:00:00+05:30,59.95,61.5,58.3,59.15,813396
2021-03-03 00:00:00+05:30,59.3,62.2,59.1,59.75,982433
2021-03-04 00:00:00+05:30,59.2,64.2,58.25,63.2,1423928
2021-03-05 00:00:00+05:30,63,64.55,60,60.75,682145
2021-03-08 00:00:00+05:30,60.75,64,59.2,62.5,1651517
2021-03-09 00:00:00+05:30,62.55,63,59.2,60.15,702319
2021-03-10 00:00:00+05:30,60.75,61.3,58.25,59,587050
2021-03-12 00:00:00+05:30,59.5,61.5,55.75,56.5,1018491
2021-03-15 00:00:00+05:30,57.05,57.75,55,57,468515
2021-03-16 00:00:00+05:30,57.75,58.4,56.65,58.05,643005
2021-03-17 00:00:00+05:30,61.9,61.9,58.2,58.6,1025126
2021-03-18 00:00:00+05:30,59,59.8,55.25,55.8,461313
2021-03-19 00:00:00+05:30,55.05,57.9,52.3,57.1,423513
2021-03-22 00:00:00+05:30,57.9,57.95,55,55.65,267212
2021-03-23 00:00:00+05:30,55.9,60,55.9,58.85,2144615
2021-03-24 00:00:00+05:30,59,61.8,58.1,60.5,2186912
2021-03-25 00:00:00+05:30,61.6,63.4,58.1,58.9,1418710
2021-03-26 00:00:00+05:30,59.75,60.9,59.25,60.1,556308
2021-03-30 00:00:00+05:30,60.6,60.75,59,59.8,483738
2021-03-31 00:00:00+05:30,58.85,62.9,58.75,60.55,1114329
2021-04-01 00:00:00+05:30,61,62.95,60.2,61.9,1127767
2021-04-05 00:00:00+05:30,62.5,66.7,60.65,65.35,2702816
2021-04-06 00:00:00+05:30,65.8,69.7,65.65,69.2,2393189
2021-04-07 00:00:00+05:30,69.4,70,67.15,67.55,1112836
2021-04-08 00:00:00+05:30,68,69.4,65.1,66.9,708836
2021-04-09 00:00:00+05:30,67,70.95,66.95,70.2,1548507
2021-04-12 00:00:00+05:30,68.95,68.95,64,64.9,1465869
2021-04-13 00:00:00+05:30,65,66.9,64.25,65.5,576818
2021-04-15 00:00:00+05:30,65.95,75.9,64.5,74,3229862
2021-04-16 00:00:00+05:30,73.9,76.9,71.1,75.15,2370047
2021-04-19 00:00:00+05:30,74.4,77,69.05,73.8,2971423
2021-04-20 00:00:00+05:30,75.5,77.75,72.9,74.1,2143410
2021-04-22 00:00:00+05:30,73.2,76.8,73.2,74.55,735068
2021-04-23 00:00:00+05:30,74.7,79.2,74,76.85,2133184
2021-04-26 00:00:00+05:30,78.7,82.7,78.6,79.6,1836872
2021-04-27 00:00:00+05:30,80.2,80.2,77.3,77.75,604742
2021-04-28 00:00:00+05:30,78.3,80,78,78.45,564518
2021-04-29 00:00:00+05:30,79.1,81,76.6,77.05,662422
2021-04-30 00:00:00+05:30,76,77.8,75,75.4,482412
2021-05-03 00:00:00+05:30,75,79.95,74.3,78.8,750044
2021-05-04 00:00:00+05:30,79.5,82.5,76.25,76.6,875273
2021-05-05 00:00:00+05:30,77.5,79.5,76.8,76.95,523344
2021-05-06 00:00:00+05:30,77.6,78.4,75,77.55,742166
2021-05-07 00:00:00+05:30,78.2,84.3,78.15,82.75,2880447
2021-05-10 00:00:00+05:30,83.55,85.4,82.3,83.9,1249655
2021-05-11 00:00:00+05:30,83.35,86.3,82.45,83.95,1874486
2021-05-12 00:00:00+05:30,84.7,85.7,81.45,82.15,688229
2021-05-14 00:00:00+05:30,82.9,83.45,78.25,79.15,732767
2021-05-17 00:00:00+05:30,80.15,80.75,77.9,79.2,585337
2021-05-18 00:00:00+05:30,80.6,84,80.45,81.95,1128988
2021-05-19 00:00:00+05:30,81.8,83.5,80.35,80.8,585755
2021-05-20 00:00:00+05:30,82.25,84.8,81.35,81.6,1201168
2021-05-21 00:00:00+05:30,82.4,82.9,79.7,80,599143
2021-05-24 00:00:00+05:30,80.5,81.65,79.55,79.85,461774
2021-05-25 00:00:00+05:30,81,81.45,80,80.6,472511
2021-05-26 00:00:00+05:30,81.25,85.8,80.65,83.65,1932310
2021-05-27 00:00:00+05:30,83.95,89.8,82.75,88.7,3717512
2021-05-28 00:00:00+05:30,89.6,92.35,86.5,87.05,4971614
2021-05-31 00:00:00+05:30,88.25,88.9,81.35,82.35,2461737
2021-06-01 00:00:00+05:30,82.9,84.8,81.15,82.9,960779
2021-06-02 00:00:00+05:30,82.7,86,81.3,85.2,1284564
2021-06-03 00:00:00+05:30,86.15,87.55,86,86.25,1032722
2021-06-04 00:00:00+05:30,86.8,87.25,84.6,85.15,591826
2021-06-07 00:00:00+05:30,85.65,88.6,85.25,86.3,817326
2021-06-08 00:00:00+05:30,86.7,86.9,84.3,85.2,459229
2021-06-09 00:00:00+05:30,85.4,88.05,82.7,84.35,1025874
2021-06-10 00:00:00+05:30,84.65,86,84.65,85.05,349160
2021-06-11 00:00:00+05:30,85.75,88.7,84.5,86.25,1377562
2021-06-14 00:00:00+05:30,86.4,86.5,84.25,85.75,533852
2021-06-15 00:00:00+05:30,85.9,87.4,85.2,85.8,570055
2021-06-16 00:00:00+05:30,85.5,87.3,84.6,84.8,611617
2021-06-17 00:00:00+05:30,84.3,85.7,83.25,83.85,535766
2021-06-18 00:00:00+05:30,84.45,87.45,82.3,86.1,1800236
2021-06-21 00:00:00+05:30,84.9,87.5,83.3,85.45,645524
2021-06-22 00:00:00+05:30,86.4,87,85,85.75,538659
2021-06-23 00:00:00+05:30,86.4,86.45,84.5,84.9,341626
2021-06-24 00:00:00+05:30,85.5,86.95,84.55,84.95,631210
2021-06-25 00:00:00+05:30,85.4,85.55,84.1,84.5,269159
2021-06-28 00:00:00+05:30,84.95,85.7,84.3,84.7,348133
2021-06-29 00:00:00+05:30,85.35,90.8,84.75,89.3,3490134
2021-06-30 00:00:00+05:30,90.2,94.5,90.1,90.8,4571156
2021-07-01 00:00:00+05:30,91.9,91.9,88.7,89.4,682264
2021-07-02 00:00:00+05:30,89.9,91,87.7,89.9,1069336
2021-07-05 00:00:00+05:30,90.7,90.7,88,88.45,506352
2021-07-06 00:00:00+05:30,88.9,91,85.55,86.75,611242
2021-07-07 00:00:00+05:30,86.85,87.5,84.85,85.55,462668
2021-07-08 00:00:00+05:30,85.5,86.45,84.35,85.25,554715
2021-07-09 00:00:00+05:30,85.2,85.9,84.4,85.2,307477
2021-07-12 00:00:00+05:30,85.9,87.5,84.95,86.2,990576
2021-07-13 00:00:00+05:30,86.25,87,85.65,86.2,419666
2021-07-14 00:00:00+05:30,86.5,86.95,84.8,85.2,474366
2021-07-15 00:00:00+05:30,85.6,85.95,83.6,84,429107
2021-07-16 00:00:00+05:30,84.1,84.65,83.1,83.6,401634
2021-07-19 00:00:00+05:30,83.2,84.3,82.5,83.75,372125
2021-07-20 00:00:00+05:30,83.5,85.85,80.5,81.9,559893
2021-07-22 00:00:00+05:30,82.7,84,81.8,83.05,398108
2021-07-23 00:00:00+05:30,83.6,83.95,82.15,82.65,409788
2021-07-26 00:00:00+05:30,82.5,83.75,82.1,83.1,350939
2021-07-27 00:00:00+05:30,83.5,84.35,82.25,82.5,375105
2021-07-28 00:00:00+05:30,82.6,83,79.8,80.7,601776
2021-07-29 00:00:00+05:30,80.2,82.25,79.5,79.8,682694
2021-07-30 00:00:00+05:30,79.8,83.4,79.3,82.25,816471
2021-08-02 00:00:00+05:30,81.3,83.85,81.3,81.65,629305
2021-08-03 00:00:00+05:30,82.15,83.9,81.9,83.5,532082
2021-08-04 00:00:00+05:30,83.95,85.6,81.4,82.55,731778
2021-08-05 00:00:00+05:30,85,89.45,85,88.45,5044539
2021-08-06 00:00:00+05:30,88.8,90.45,87.1,87.85,1962519
2021-08-09 00:00:00+05:30,87.9,88.8,86.5,86.65,489042
2021-08-10 00:00:00+05:30,86.95,88,82.15,83.1,663688
2021-08-11 00:00:00+05:30,83.25,83.5,75.35,79.25,952598
2021-08-12 00:00:00+05:30,79.9,83.4,79.9,82.65,414995
2021-08-13 00:00:00+05:30,82.9,86,81.25,82.35,771313
2021-08-16 00:00:00+05:30,82.25,82.25,79.5,79.7,353017
2021-08-17 00:00:00+05:30,79.35,80.55,76.6,77.15,426266
2021-08-18 00:00:00+05:30,77.55,78.1,71.55,72.25,1036285
2021-08-20 00:00:00+05:30,73.5,75.6,72.25,72.75,892032
2021-08-23 00:00:00+05:30,73.85,74.45,67.05,67.7,881311
2021-08-24 00:00:00+05:30,68.5,72.65,67.75,71.45,671158
2021-08-25 00:00:00+05:30,71.45,74.85,71.45,71.95,1024280
2021-08-26 00:00:00+05:30,72.15,74.45,71.25,72.15,564199
2021-08-27 00:00:00+05:30,71.65,76.95,71.5,74.3,1640780
2021-08-30 00:00:00+05:30,74.7,78.75,73.1,73.7,1324675
2021-08-31 00:00:00+05:30,74.1,76.65,74,74.75,1579512
2021-09-01 00:00:00+05:30,75.2,75.75,73.2,73.75,381454
2021-09-02 00:00:00+05:30,74.1,74.55,72.95,73.7,377498
2021-09-03 00:00:00+05:30,74.2,75.05,71.8,72.15,608439
2021-09-06 00:00:00+05:30,72.7,73.15,72,72.15,418177
2021-09-07 00:00:00+05:30,72.6,72.9,71.7,72,283641
2021-09-08 00:00:00+05:30,72,72.5,71.25,71.7,337673
2021-09-09 00:00:00+05:30,71.1,72.4,70.75,70.95,517212
