date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,6.85,7,6.55,6.8,97199
2021-01-04 00:00:00+05:30,6.95,7,6.7,6.95,81823
2021-01-05 00:00:00+05:30,7.05,7.05,6.75,6.85,26031
2021-01-06 00:00:00+05:30,7,7,6.65,6.7,39731
2021-01-07 00:00:00+05:30,6.9,7,6.85,6.95,60656
2021-01-08 00:00:00+05:30,7.15,7.15,6.85,6.85,50948
2021-01-11 00:00:00+05:30,7.05,7.05,6.7,6.8,17608
2021-01-12 00:00:00+05:30,7,7,6.65,6.9,50737
2021-01-13 00:00:00+05:30,7,7.2,6.7,6.85,57921
2021-01-14 00:00:00+05:30,6.95,7.15,6.75,7.15,71324
2021-01-15 00:00:00+05:30,7.5,7.5,6.9,7.5,126286
2021-01-18 00:00:00+05:30,7.65,7.85,7.65,7.85,52366
2021-01-19 00:00:00+05:30,8.2,8.2,7.95,8.2,48080
2021-01-20 00:00:00+05:30,8.55,8.6,7.95,8.4,242399
2021-01-21 00:00:00+05:30,8.75,8.8,8,8,158170
2021-01-22 00:00:00+05:30,7.6,7.95,7.6,7.8,56881
2021-01-25 00:00:00+05:30,8,8,7.45,7.5,53758
2021-01-27 00:00:00+05:30,7.5,7.6,7.2,7.35,23219
2021-01-28 00:00:00+05:30,7.5,7.5,7,7.05,13052
2021-01-29 00:00:00+05:30,6.95,7.2,6.85,6.95,15030
2021-02-01 00:00:00+05:30,7.05,7.25,6.75,7.15,61630
2021-02-02 00:00:00+05:30,7.45,7.5,7.25,7.45,83577
2021-02-03 00:00:00+05:30,7.6,7.8,7.45,7.8,73161
2021-02-04 00:00:00+05:30,8.1,8.1,7.45,7.5,51304
2021-02-05 00:00:00+05:30,7.5,7.55,7.1,7.15,40280
2021-02-08 00:00:00+05:30,7.4,7.4,7.05,7.3,16187
2021-02-09 00:00:00+05:30,7.35,8,7.35,7.85,101716
2021-02-10 00:00:00+05:30,8.25,8.25,7.25,7.45,25442
2021-02-11 00:00:00+05:30,7.25,7.55,7.25,7.55,23218
2021-02-12 00:00:00+05:30,7.55,7.55,7.3,7.4,19730
2021-02-15 00:00:00+05:30,7.25,7.45,7.1,7.15,6732
2021-02-16 00:00:00+05:30,7.15,7.85,6.9,7.65,41575
2021-02-17 00:00:00+05:30,7.8,7.8,6.9,7.1,48073
2021-02-18 00:00:00+05:30,7.45,7.8,7,7.75,73120
2021-02-19 00:00:00+05:30,7.9,8.05,7.4,7.9,50637
2021-02-22 00:00:00+05:30,7.9,7.9,7.5,7.65,14862
2021-02-23 00:00:00+05:30,7.35,7.5,7.3,7.35,12202
