date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,274,279.9,270.25,271.5,12672
2021-01-04 00:00:00+05:30,279,285,272.3,274.85,30455
2021-01-05 00:00:00+05:30,281.85,281.9,268.1,276.25,18416
2021-01-06 00:00:00+05:30,282,298.2,282,285.15,58076
2021-01-07 00:00:00+05:30,289.95,307.5,284.2,303.6,45514
2021-01-08 00:00:00+05:30,303,329.8,303,326.05,72711
2021-01-11 00:00:00+05:30,327,338.7,317.25,321.6,18167
2021-01-12 00:00:00+05:30,317.05,330,313,328.25,22557
2021-01-13 00:00:00+05:30,325.05,335,316,317.85,23858
2021-01-14 00:00:00+05:30,316,325.5,310,311.7,13402
2021-01-15 00:00:00+05:30,319.95,319.95,298,302.7,20858
2021-01-18 00:00:00+05:30,313.65,313.65,300,305.8,16146
2021-01-19 00:00:00+05:30,314.95,319.1,292.3,298.35,15958
2021-01-20 00:00:00+05:30,304.85,308.4,280.6,282.95,25148
2021-01-21 00:00:00+05:30,289.9,289.9,274.1,277.9,20362
2021-01-22 00:00:00+05:30,281.45,283.2,262,264.45,12814
2021-01-25 00:00:00+05:30,283.85,283.85,259.85,261.9,7094
2021-01-27 00:00:00+05:30,267.2,269.05,257.2,261.5,8915
2021-01-28 00:00:00+05:30,266.65,270.55,256,265.35,1907
2021-01-29 00:00:00+05:30,262.95,269,261.85,264.35,1854
2021-02-01 00:00:00+05:30,265.65,274.35,262.1,272.65,11372
2021-02-02 00:00:00+05:30,270.5,276.1,263,265.85,13307
2021-02-03 00:00:00+05:30,270.6,272.5,267,267.45,15182
2021-02-04 00:00:00+05:30,268.65,270,262.1,264.1,12188
2021-02-05 00:00:00+05:30,271.6,271.6,264,266.3,15605
2021-02-08 00:00:00+05:30,270.65,282.55,270.65,274.75,29682
2021-02-09 00:00:00+05:30,280.85,280.9,259.95,264.2,21351
2021-02-10 00:00:00+05:30,270,275.25,265.4,272.95,15146
2021-02-11 00:00:00+05:30,282,284,268,274.25,11430
2021-02-12 00:00:00+05:30,277.45,277.45,267,268.35,14503
2021-02-15 00:00:00+05:30,274.35,275,263.85,264.9,11667
2021-02-16 00:00:00+05:30,273.9,273.9,257.05,261.05,14409
2021-02-17 00:00:00+05:30,260.5,269.8,250,252.85,18501
2021-02-18 00:00:00+05:30,262.9,270,253.9,267,18842
2021-02-19 00:00:00+05:30,274,274,263.3,264.6,14348
2021-02-22 00:00:00+05:30,269.8,270,260,261.8,14229
2021-02-23 00:00:00+05:30,260,271.7,260,263.5,12717
2021-02-24 00:00:00+05:30,265.45,269.7,260,261.6,9851
2021-02-25 00:00:00+05:30,264.2,266,250,264,26205
2021-02-26 00:00:00+05:30,264,266.8,256.3,263.75,14642
2021-03-01 00:00:00+05:30,265,267.35,258,260.1,10666
2021-03-02 00:00:00+05:30,264.85,264.85,258.05,261.2,9934
2021-03-03 00:00:00+05:30,265,265.05,259.1,260.45,12543
2021-03-04 00:00:00+05:30,263.05,264.1,249.85,254.35,29724
2021-03-05 00:00:00+05:30,255,257.4,251.6,253.05,13286
2021-03-08 00:00:00+05:30,262,262,248.15,251.2,15322
2021-03-09 00:00:00+05:30,255.7,256.9,242.25,244.65,18112
2021-03-10 00:00:00+05:30,248.9,262.1,244.85,261.05,42021
2021-03-12 00:00:00+05:30,270,270,262,264.1,15902
2021-03-15 00:00:00+05:30,268.6,268.6,255.4,264.8,19925
2021-03-16 00:00:00+05:30,264.8,266.15,262,263.85,5287
2021-03-17 00:00:00+05:30,263.95,267,246.1,252.45,4086
2021-03-18 00:00:00+05:30,257.55,265,257.55,261.8,22008
2021-03-19 00:00:00+05:30,266,266,257.6,260.45,1775
2021-03-22 00:00:00+05:30,258.95,263.8,257,260.3,3650
2021-03-23 00:00:00+05:30,262.05,262.85,257.45,259.85,1485
2021-03-24 00:00:00+05:30,260.95,263.95,242.6,248.1,1040
2021-03-25 00:00:00+05:30,258.9,258.95,249,250.65,2116
2021-03-26 00:00:00+05:30,254.95,261.75,250.55,254.6,2722
2021-03-30 00:00:00+05:30,252,263.5,252,260.95,5731
2021-03-31 00:00:00+05:30,261.9,266.9,258,262.55,15028
2021-04-01 00:00:00+05:30,264.65,280,261,277.5,22258
2021-04-05 00:00:00+05:30,303.5,333,303.5,333,135248
2021-04-06 00:00:00+05:30,342,369,334,354.2,126007
2021-04-07 00:00:00+05:30,352,352,332,342.15,22805
2021-04-08 00:00:00+05:30,333,349,330,340.95,12110
2021-04-09 00:00:00+05:30,356.9,356.9,335,338.5,4788
2021-04-12 00:00:00+05:30,316,323.65,305,312.95,12718
2021-04-13 00:00:00+05:30,321.85,339.65,315.9,325.4,4766
2021-04-15 00:00:00+05:30,320,331.3,307,309.3,5487
2021-04-16 00:00:00+05:30,305.95,324.15,305.85,311.2,9102
2021-04-19 00:00:00+05:30,291,304.55,291,293.9,7145
2021-04-20 00:00:00+05:30,310.9,318.95,296.5,309.9,9183
2021-04-22 00:00:00+05:30,312,312,298,304.5,4784
2021-04-23 00:00:00+05:30,329.9,329.9,300.05,301.8,5770
2021-04-26 00:00:00+05:30,325,325,296,299.7,6381
2021-04-27 00:00:00+05:30,305.35,311.45,297.2,299.45,3367
2021-04-28 00:00:00+05:30,311,311,290,301.25,3996
2021-04-29 00:00:00+05:30,310.95,310.95,298.95,302.8,3925
2021-04-30 00:00:00+05:30,309.9,309.9,294.1,302.85,2412
2021-05-03 00:00:00+05:30,307.6,307.6,294.95,300.9,3194
2021-05-04 00:00:00+05:30,312.95,312.95,288,292.6,8371
2021-05-05 00:00:00+05:30,295.1,306.55,287.8,288.4,5963
2021-05-06 00:00:00+05:30,295.1,295.15,276.95,282.95,13955
2021-05-07 00:00:00+05:30,282.55,287.25,270.35,283.45,3704
2021-05-10 00:00:00+05:30,289,289,275.25,284.65,4576
2021-05-11 00:00:00+05:30,302,302,280.05,293.65,8672
2021-05-12 00:00:00+05:30,289.95,298,289.95,295.1,3412
2021-05-14 00:00:00+05:30,295.55,301,288.1,291.35,3147
2021-05-17 00:00:00+05:30,295,295,290,294.2,2798
2021-05-18 00:00:00+05:30,292.05,299.9,286.85,289.95,3728
2021-05-19 00:00:00+05:30,290.95,297.3,288,289.15,3204
2021-05-20 00:00:00+05:30,293.95,298,289.4,293.25,11411
2021-05-21 00:00:00+05:30,292.95,305.1,290,291.65,3310
2021-05-24 00:00:00+05:30,301,345.4,296.15,341.1,51140
2021-05-25 00:00:00+05:30,346,375,322.45,327.1,20139
2021-05-26 00:00:00+05:30,348.85,348.85,310.3,313.95,9748
2021-05-27 00:00:00+05:30,329.85,329.9,314.05,321.35,4596
