date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,31.75,32.2,31.6,32.1,7888314
2021-01-04 00:00:00+05:30,32.6,32.7,32.15,32.4,8265267
2021-01-05 00:00:00+05:30,32.2,32.2,31.8,32.05,5789215
2021-01-06 00:00:00+05:30,32.35,32.55,31.75,31.85,6726368
2021-01-07 00:00:00+05:30,32.15,32.2,31.8,31.9,3617734
2021-01-08 00:00:00+05:30,32.15,32.3,31.55,31.8,5371701
2021-01-11 00:00:00+05:30,31.9,32.1,31.25,31.35,3954196
2021-01-12 00:00:00+05:30,31.2,33.5,30.8,33,18635584
2021-01-13 00:00:00+05:30,33.3,33.85,32.3,33.2,19044455
2021-01-14 00:00:00+05:30,33,33.75,32.95,33.2,10758845
2021-01-15 00:00:00+05:30,33.2,33.6,32.5,32.6,7652331
2021-01-18 00:00:00+05:30,32.8,32.85,31.65,31.85,7137456
2021-01-19 00:00:00+05:30,32,32.35,31.85,32.25,5091921
2021-01-20 00:00:00+05:30,32.3,32.75,31.9,32.4,6877754
2021-01-21 00:00:00+05:30,32.6,32.75,31.7,31.85,5127195
2021-01-22 00:00:00+05:30,31.65,31.8,31.05,31.1,3799473
2021-01-25 00:00:00+05:30,31.3,31.6,30.15,30.4,6960168
2021-01-27 00:00:00+05:30,30.4,30.5,29.8,30.05,5405010
2021-01-28 00:00:00+05:30,29.25,30.2,29.2,29.5,5402849
2021-01-29 00:00:00+05:30,29.9,31.55,29.75,31.05,10458436
2021-02-01 00:00:00+05:30,31.7,32.45,31.1,32.3,14589144
2021-02-02 00:00:00+05:30,32.85,34.1,32.6,33.05,21319402
2021-02-03 00:00:00+05:30,33.1,34,32.5,33.65,13633258
2021-02-04 00:00:00+05:30,33.6,34.9,33.2,34.55,29593973
2021-02-05 00:00:00+05:30,35,36.3,34.6,34.8,28208919
2021-02-08 00:00:00+05:30,35.1,35.4,33.9,34,10724204
2021-02-09 00:00:00+05:30,34.1,34.65,33.2,33.75,12277388
2021-02-10 00:00:00+05:30,33.6,34.1,33.4,33.65,7365678
2021-02-11 00:00:00+05:30,33.75,33.95,33.2,33.35,4448100
2021-02-12 00:00:00+05:30,33.6,33.65,33.1,33.2,5970660
2021-02-15 00:00:00+05:30,33.5,33.9,33.45,33.5,4427760
2021-02-16 00:00:00+05:30,33.9,35.8,33.85,34.6,25511054
2021-02-17 00:00:00+05:30,34.45,38.9,34.2,38.1,92510035
2021-02-18 00:00:00+05:30,39,45.25,38.95,42.05,131622894
2021-02-19 00:00:00+05:30,43.25,44.8,38.25,40.5,87411108
2021-02-22 00:00:00+05:30,41.2,41.3,38.6,39.35,34109719
2021-02-23 00:00:00+05:30,39.7,40.2,38.5,38.75,15295831
2021-02-24 00:00:00+05:30,39.25,41.95,39,40.9,16721715
2021-02-25 00:00:00+05:30,42,42.35,41.2,41.45,12861968
2021-02-26 00:00:00+05:30,40.5,41,39.5,40.6,15119160
2021-03-01 00:00:00+05:30,41,41.45,39.9,40.05,8184972
2021-03-02 00:00:00+05:30,40.7,40.95,38.45,38.8,11101042
2021-03-03 00:00:00+05:30,39.35,40.25,39.1,39.85,11721736
2021-03-04 00:00:00+05:30,39.5,40.5,39.15,39.35,11929161
2021-03-05 00:00:00+05:30,39.4,39.65,38.05,38.3,7786621
2021-03-08 00:00:00+05:30,39,40.25,37.9,38.15,13043072
2021-03-09 00:00:00+05:30,38.5,38.85,37.1,37.55,9191895
2021-03-10 00:00:00+05:30,37.85,38.2,37.35,37.85,6086552
2021-03-12 00:00:00+05:30,38.4,38.7,37.2,37.65,5457089
2021-03-15 00:00:00+05:30,38,38,36.5,36.95,5749799
2021-03-16 00:00:00+05:30,37.15,37.45,36.3,36.45,5224025
2021-03-17 00:00:00+05:30,36.5,36.8,35,35.15,6167404
2021-03-18 00:00:00+05:30,36,36,34.5,35.15,7160984
2021-03-19 00:00:00+05:30,35,35.45,33.35,35.25,9732622
2021-03-22 00:00:00+05:30,35.4,35.65,34.25,34.45,6092177
2021-03-23 00:00:00+05:30,34.55,36.35,34.5,36,13824873
2021-03-24 00:00:00+05:30,36.1,36.4,34.7,34.9,11543282
2021-03-25 00:00:00+05:30,35.1,36.15,33.4,34.65,12629346
2021-03-26 00:00:00+05:30,35.45,35.45,33.75,33.9,8127862
2021-03-30 00:00:00+05:30,34.05,34.5,33.6,34.1,6063712
2021-03-31 00:00:00+05:30,34.05,34.85,33.85,34.05,6672972
2021-04-01 00:00:00+05:30,34.45,35.15,34.2,34.9,6985406
2021-04-05 00:00:00+05:30,34.9,34.9,33.6,34.05,5372465
2021-04-06 00:00:00+05:30,34.1,35.75,33.6,35.2,7730457
2021-04-07 00:00:00+05:30,35.5,37.3,35.2,36.8,14379483
2021-04-08 00:00:00+05:30,37,37.25,36.4,36.6,7614938
2021-04-09 00:00:00+05:30,36.5,38.6,36.15,37.9,17969015
2021-04-12 00:00:00+05:30,36.8,36.85,33.6,34.4,12529240
2021-04-13 00:00:00+05:30,34.75,35.45,34.15,35.1,10176423
2021-04-15 00:00:00+05:30,34.4,35.3,33.9,34.4,7823976
2021-04-16 00:00:00+05:30,34.75,35.2,34.3,34.45,4778514
2021-04-19 00:00:00+05:30,33.1,33.6,32.3,32.7,6139194
2021-04-20 00:00:00+05:30,33.15,33.7,32.4,32.75,4953845
2021-04-22 00:00:00+05:30,32.6,32.8,32.1,32.45,5748968
2021-04-23 00:00:00+05:30,32.15,33.1,32.15,32.7,5194074
2021-04-26 00:00:00+05:30,33,33.4,32.85,33.05,3839845
2021-04-27 00:00:00+05:30,33.3,34.1,33.1,33.85,4821127
2021-04-28 00:00:00+05:30,33.9,34.6,33.65,34.4,6550334
2021-04-29 00:00:00+05:30,34.55,35.25,33.85,34.75,9986393
2021-04-30 00:00:00+05:30,34.5,35.8,33.6,34.2,9469425
2021-05-03 00:00:00+05:30,33.8,34.25,33.5,34,4779065
2021-05-04 00:00:00+05:30,34.45,36.6,34.1,35.6,21288497
2021-05-05 00:00:00+05:30,36.45,37.15,36,36.5,11966528
2021-05-06 00:00:00+05:30,36.6,37,35.2,36,6759713
2021-05-07 00:00:00+05:30,36.2,36.55,34.45,34.55,13763202
2021-05-10 00:00:00+05:30,34.75,35.45,34.35,34.5,11446516
2021-05-11 00:00:00+05:30,34.2,35.6,34,35.3,9016234
2021-05-12 00:00:00+05:30,35.4,38.4,35.35,37.25,33685337
2021-05-14 00:00:00+05:30,37.85,39.4,37,37.4,30858002
2021-05-17 00:00:00+05:30,37.4,38.4,37.4,37.95,12041494
2021-05-18 00:00:00+05:30,37.9,38.3,36.65,36.8,17880726
2021-05-19 00:00:00+05:30,36.95,37.3,36.55,36.65,9419693
2021-05-20 00:00:00+05:30,37,37.25,36.45,36.85,9001466
2021-05-21 00:00:00+05:30,37.4,37.7,37.05,37.4,12277264
2021-05-24 00:00:00+05:30,38,38.85,38,38.4,16912282
2021-05-25 00:00:00+05:30,37,37.1,34.8,35,98571030
2021-05-26 00:00:00+05:30,35.4,35.65,34,34.1,49082363
2021-05-27 00:00:00+05:30,34.1,34.8,33.85,33.95,44879762
2021-05-28 00:00:00+05:30,34.5,34.9,34.15,34.35,28013917
2021-05-31 00:00:00+05:30,34.8,35,34.35,34.7,21104866
2021-06-01 00:00:00+05:30,34.85,34.95,34.2,34.35,13024994
2021-06-02 00:00:00+05:30,34.35,35.45,34.2,35.25,26505584
2021-06-03 00:00:00+05:30,35.5,35.8,35.35,35.4,20258579
2021-06-04 00:00:00+05:30,35.4,35.65,35.1,35.45,19102745
2021-06-07 00:00:00+05:30,35.95,36.15,35.5,35.6,16940654
2021-06-08 00:00:00+05:30,36.5,36.9,35.35,35.65,39352897
2021-06-09 00:00:00+05:30,36.05,36.4,35.2,35.3,29475934
2021-06-10 00:00:00+05:30,35.5,36.2,35.25,35.9,24288684
2021-06-11 00:00:00+05:30,36.15,36.5,35.6,35.95,17306316
2021-06-14 00:00:00+05:30,36.05,37.55,35.2,37.4,55472261
2021-06-15 00:00:00+05:30,37.7,37.95,37.05,37.25,38521477
2021-06-16 00:00:00+05:30,37.25,37.75,36.85,37.45,26760857
2021-06-17 00:00:00+05:30,36.85,39.25,36.8,38.1,66721285
2021-06-18 00:00:00+05:30,38.7,38.7,36.1,37.8,48048890
2021-06-21 00:00:00+05:30,36.7,40.75,36.55,39.8,83537904
2021-06-22 00:00:00+05:30,40.2,41.5,39.85,40.15,58988780
2021-06-23 00:00:00+05:30,40.7,40.7,39.1,39.2,34844225
2021-06-24 00:00:00+05:30,39.5,40,38.1,38.35,27545319
2021-06-25 00:00:00+05:30,38.75,39.8,38.6,39.45,31987644
2021-06-28 00:00:00+05:30,39.8,40.25,38.85,39.35,28813654
2021-06-29 00:00:00+05:30,39.5,39.85,39,39.2,17872837
2021-06-30 00:00:00+05:30,39.3,39.65,38.35,38.55,18826197
2021-07-01 00:00:00+05:30,38.75,39.15,38.2,38.7,16848602
2021-07-02 00:00:00+05:30,39,39.45,38.55,39.05,16069840
2021-07-05 00:00:00+05:30,39.2,39.35,38.7,38.9,10931085
2021-07-06 00:00:00+05:30,38.8,39,37.5,37.7,16939835
2021-07-07 00:00:00+05:30,37.55,38.15,37.5,37.95,11628898
2021-07-08 00:00:00+05:30,38.2,38.2,36.8,37.05,11831969
2021-07-09 00:00:00+05:30,36.8,37.35,36.6,36.75,12503930
2021-07-12 00:00:00+05:30,37,37.25,36.6,36.9,7604893
2021-07-13 00:00:00+05:30,37.25,37.3,36.9,37,6438676
2021-07-14 00:00:00+05:30,37,37.1,36.75,36.85,6091675
2021-07-15 00:00:00+05:30,36.95,37.25,36.4,36.45,9266273
2021-07-16 00:00:00+05:30,36.6,36.7,36.4,36.6,5366187
2021-07-19 00:00:00+05:30,36.45,37.15,36.1,37,11785792
2021-07-20 00:00:00+05:30,37.15,37.15,35.65,35.9,12173404
2021-07-22 00:00:00+05:30,36.15,36.6,35.95,36.15,6998322
2021-07-23 00:00:00+05:30,36.25,36.6,35.75,36.55,8408854
2021-07-26 00:00:00+05:30,36.6,36.8,35.95,36.05,5432778
2021-07-27 00:00:00+05:30,36.2,36.75,35.65,35.95,10192529
2021-07-28 00:00:00+05:30,36.2,36.2,35.2,35.5,7086469
2021-07-29 00:00:00+05:30,35.75,38.8,35.65,37.85,34063723
2021-07-30 00:00:00+05:30,38.5,38.5,36.6,36.85,21152451
2021-08-02 00:00:00+05:30,37.3,37.45,36.7,36.8,9441552
2021-08-03 00:00:00+05:30,37,37.5,36.85,37.4,9091648
2021-08-04 00:00:00+05:30,37.65,37.75,36.3,36.7,11693137
2021-08-05 00:00:00+05:30,36.8,36.8,35.85,36.1,7791746
2021-08-06 00:00:00+05:30,36.15,36.4,35.7,35.95,6505941
2021-08-09 00:00:00+05:30,36.1,36.35,35.5,35.65,6093917
2021-08-10 00:00:00+05:30,35.65,35.85,34.2,34.55,9056555
2021-08-11 00:00:00+05:30,34.55,34.8,33.6,34.7,8409147
2021-08-12 00:00:00+05:30,34.7,35.4,34.6,35.05,5593592
2021-08-13 00:00:00+05:30,35.4,35.4,34.7,35,4206185
2021-08-16 00:00:00+05:30,34.9,35.25,34.8,35,5180231
2021-08-17 00:00:00+05:30,34.9,35,34.15,34.3,4788545
2021-08-18 00:00:00+05:30,34.4,34.9,34.25,34.7,5575982
2021-08-20 00:00:00+05:30,34.2,34.6,33.35,33.5,5963476
2021-08-23 00:00:00+05:30,33.9,33.95,32.7,33,6357034
2021-08-24 00:00:00+05:30,33.25,33.65,33,33.35,3603079
2021-08-25 00:00:00+05:30,33.55,33.75,33.4,33.5,3774634
2021-08-26 00:00:00+05:30,33.55,33.7,33.3,33.55,2850489
2021-08-27 00:00:00+05:30,33.4,34.6,33.25,34.15,5318070
2021-08-30 00:00:00+05:30,34.35,35,34.3,34.9,4696007
2021-08-31 00:00:00+05:30,34.8,36.35,34.6,35.4,8484467
2021-09-01 00:00:00+05:30,35.35,36.15,35.2,35.35,9097709
2021-09-02 00:00:00+05:30,35.6,35.7,35.05,35.2,4638792
2021-09-03 00:00:00+05:30,35.4,36.05,35.25,35.35,4592810
2021-09-06 00:00:00+05:30,35.55,35.6,35.05,35.15,3541313
2021-09-07 00:00:00+05:30,35.15,35.2,34.6,34.75,3416651
