date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,325.6,326.8,323.15,324.7,609
2021-01-04 00:00:00+05:30,316,334.95,316,323.9,4973
2021-01-05 00:00:00+05:30,316.5,326.65,316.5,323.8,792
2021-01-06 00:00:00+05:30,322.75,325.95,319,319.6,1988
2021-01-07 00:00:00+05:30,316,325.5,316,319.25,2276
2021-01-08 00:00:00+05:30,317.25,326.45,317.25,323,2770
2021-01-11 00:00:00+05:30,378,378,310.7,315.95,7979
2021-01-12 00:00:00+05:30,316,325.55,315.95,320.85,5858
2021-01-13 00:00:00+05:30,319,325.9,317,320,3170
2021-01-14 00:00:00+05:30,315.1,319.95,315.1,318.7,2759
2021-01-15 00:00:00+05:30,320.6,320.6,317.05,317.7,1517
2021-01-18 00:00:00+05:30,317.1,321.2,310.1,312.6,4285
2021-01-19 00:00:00+05:30,325.05,325.05,313.05,313.9,2095
2021-01-20 00:00:00+05:30,317.75,319.25,314.65,315,1984
2021-01-21 00:00:00+05:30,316,318,310,312.25,4206
2021-01-22 00:00:00+05:30,312.35,313.25,302.1,309.65,2118
2021-01-25 00:00:00+05:30,306.95,310,300.1,302.9,2220
2021-01-27 00:00:00+05:30,302.85,309,300,302.3,701
2021-01-28 00:00:00+05:30,306.8,312,300.8,305.2,1305
2021-01-29 00:00:00+05:30,307.4,318.1,305.05,305.55,1929
2021-02-01 00:00:00+05:30,304.65,315,304.65,309.9,878
2021-02-02 00:00:00+05:30,309.65,313.8,306.05,310.55,667
2021-02-03 00:00:00+05:30,306.5,313.5,305.1,311.7,2473
2021-02-04 00:00:00+05:30,312.9,312.9,303,306.6,2057
2021-02-05 00:00:00+05:30,306.6,318.4,304,309.5,864
2021-02-08 00:00:00+05:30,310.95,312.85,307.05,310.35,771
2021-02-09 00:00:00+05:30,308.5,316.8,308.5,311.8,905
2021-02-10 00:00:00+05:30,310.5,310.95,307.8,308.1,226
2021-02-11 00:00:00+05:30,307.5,308.6,298,306.1,510
2021-02-12 00:00:00+05:30,308,316.4,307.05,311.35,1406
2021-02-15 00:00:00+05:30,318.9,318.95,306.05,308,804
2021-02-16 00:00:00+05:30,308.65,309.15,307,307.25,904
2021-02-17 00:00:00+05:30,295.1,317,295.1,309.05,1274
2021-02-18 00:00:00+05:30,303.05,314,302,306.85,982
2021-02-19 00:00:00+05:30,306.85,309.65,301,302.9,887
2021-02-22 00:00:00+05:30,303.15,307.45,298,302,1219
2021-02-23 00:00:00+05:30,301.3,305,297,299.6,383
2021-02-24 00:00:00+05:30,304.8,313,300,305.25,519
2021-02-25 00:00:00+05:30,307.9,312.95,305.05,309.8,767
2021-02-26 00:00:00+05:30,307.55,308.5,300.05,307,438
2021-03-01 00:00:00+05:30,310,314.85,307.3,310.05,1535
2021-03-02 00:00:00+05:30,310.1,331,307.95,316.95,2084
2021-03-03 00:00:00+05:30,315.45,322.95,312,319.15,1624
2021-03-04 00:00:00+05:30,315.05,321.55,315,317.15,573
2021-03-05 00:00:00+05:30,316.2,320,309.35,316.4,1240
2021-03-08 00:00:00+05:30,322.95,329.5,317,321.5,1623
2021-03-09 00:00:00+05:30,328,328.05,310,315.65,2403
2021-03-10 00:00:00+05:30,325.45,325.45,311.15,317.7,5406
2021-03-12 00:00:00+05:30,323.95,324,312,313.7,593
2021-03-15 00:00:00+05:30,320.1,320.1,307.05,309.95,1774
2021-03-16 00:00:00+05:30,310.05,311.1,305,305.85,3441
2021-03-17 00:00:00+05:30,311,366,311,315.75,72953
2021-03-18 00:00:00+05:30,323,324,291.2,300.25,12821
2021-03-19 00:00:00+05:30,309.95,309.95,292.7,300.7,3904
2021-03-22 00:00:00+05:30,300.15,308.75,293.75,302.75,4805
2021-03-23 00:00:00+05:30,308.75,308.8,298.6,302,1342
2021-03-24 00:00:00+05:30,304.35,309,301.25,307.55,1998
2021-03-25 00:00:00+05:30,310,310,300.25,300.8,792
2021-03-26 00:00:00+05:30,301.05,303.25,300.05,302.05,619
2021-03-30 00:00:00+05:30,295,314.5,295,300.4,2036
2021-03-31 00:00:00+05:30,308,308,294.05,298.1,5458
2021-04-01 00:00:00+05:30,300.95,304.95,298.75,300.65,1232
2021-04-05 00:00:00+05:30,300,303.2,296.05,301.7,790
2021-04-06 00:00:00+05:30,299.9,302.95,296.4,299.5,623
