date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,608,614.55,602,605.3,288767
2021-01-04 00:00:00+05:30,606.65,640.65,603.75,634.15,879762
2021-01-05 00:00:00+05:30,636.65,651.8,634.85,644.3,422936
2021-01-06 00:00:00+05:30,645.35,650,635.35,640.05,257298
2021-01-07 00:00:00+05:30,648.35,661.35,640.85,657,461606
2021-01-08 00:00:00+05:30,657.05,676.75,648.55,660.05,379665
2021-01-11 00:00:00+05:30,666,710.95,656,664.15,816692
2021-01-12 00:00:00+05:30,669.5,672,644,645.6,439002
2021-01-13 00:00:00+05:30,662.65,662.65,615.2,625.15,679592
2021-01-14 00:00:00+05:30,622,622,604.65,607.35,655793
2021-01-15 00:00:00+05:30,609.05,619.15,594,597.1,562460
2021-01-18 00:00:00+05:30,597.1,604,577,584.25,379217
2021-01-19 00:00:00+05:30,590.95,599.05,579.1,582.75,263663
2021-01-20 00:00:00+05:30,586.65,617.35,586.65,611.25,519591
2021-01-21 00:00:00+05:30,618.8,628.65,601.4,615.75,712125
2021-01-22 00:00:00+05:30,620,620,600,602.65,200526
2021-01-25 00:00:00+05:30,608.4,611.45,590.25,595.15,209874
2021-01-27 00:00:00+05:30,596.65,615.35,593.35,600.4,464384
2021-01-28 00:00:00+05:30,594.65,599.9,569.35,574.85,271251
2021-01-29 00:00:00+05:30,577.35,606.3,576.65,599.05,757539
2021-02-01 00:00:00+05:30,598.65,610.65,583.35,601.25,290202
2021-02-02 00:00:00+05:30,606.25,607.75,577.35,580.05,792209
2021-02-03 00:00:00+05:30,583.3,603.25,581.35,598,490665
2021-02-04 00:00:00+05:30,600,606.65,586.75,601.95,429512
2021-02-05 00:00:00+05:30,604.65,606.75,594.45,600.85,180479
2021-02-08 00:00:00+05:30,601.55,606.35,588,591.55,275258
2021-02-09 00:00:00+05:30,596.65,601,588.65,597.6,164727
2021-02-10 00:00:00+05:30,602.3,606.65,586.95,593.95,290954
2021-02-11 00:00:00+05:30,591.25,616.65,589.85,602.95,965541
2021-02-12 00:00:00+05:30,605.35,614.6,603.35,608.45,226683
2021-02-15 00:00:00+05:30,614.45,641.95,610.65,629.95,954480
2021-02-16 00:00:00+05:30,638.65,640,595.35,601.05,1676475
2021-02-17 00:00:00+05:30,604.2,633.35,604,630.25,1460882
2021-02-18 00:00:00+05:30,636.65,638.65,624,632.4,378474
2021-02-19 00:00:00+05:30,636.65,654.65,629.9,649.35,634668
2021-02-22 00:00:00+05:30,654,716.65,651.05,683.4,2800622
2021-02-23 00:00:00+05:30,708,753.35,674.5,688.35,1362056
2021-02-24 00:00:00+05:30,689.75,712,680,698.4,291276
2021-02-25 00:00:00+05:30,702,705.05,680.45,695.05,618507
2021-02-26 00:00:00+05:30,683.7,706.6,676.7,695.3,543369
2021-03-01 00:00:00+05:30,713.35,713.35,672.05,696.65,580896
2021-03-02 00:00:00+05:30,706.6,707.35,690.3,703.3,368073
2021-03-03 00:00:00+05:30,707.2,710,687.75,698.9,368933
2021-03-04 00:00:00+05:30,692.65,706.65,690.85,700.05,334986
