date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,58,58,58,58,24958
2021-01-04 00:00:00+05:30,56.85,56.85,56.85,56.85,17937
2021-01-05 00:00:00+05:30,55.75,55.75,55.75,55.75,8900
2021-01-06 00:00:00+05:30,54.65,54.65,54.65,54.65,15839
2021-01-07 00:00:00+05:30,53.6,53.6,53.6,53.6,15665
2021-01-08 00:00:00+05:30,52.55,52.55,52.55,52.55,11687
2021-01-11 00:00:00+05:30,51.5,51.5,51.5,51.5,12900
2021-01-12 00:00:00+05:30,50.5,50.5,50.5,50.5,14817
2021-01-13 00:00:00+05:30,49.5,49.5,49.5,49.5,10065
2021-01-14 00:00:00+05:30,48.55,48.55,48.55,48.55,8377
2021-01-15 00:00:00+05:30,47.6,47.6,47.6,47.6,4537
2021-01-18 00:00:00+05:30,46.65,46.65,46.65,46.65,5456
2021-01-19 00:00:00+05:30,45.75,45.75,45.75,45.75,5362
2021-01-20 00:00:00+05:30,44.85,44.85,44.85,44.85,33475
2021-01-21 00:00:00+05:30,44,44,44,44,8759
2021-01-22 00:00:00+05:30,43.15,43.15,43.15,43.15,4073
2021-01-25 00:00:00+05:30,42.3,42.3,42.3,42.3,3864
2021-01-27 00:00:00+05:30,41.5,41.5,41.5,41.5,9747
2021-01-28 00:00:00+05:30,41,42.3,40.7,42.3,268748
2021-01-29 00:00:00+05:30,43.1,43.1,43.1,43.1,44212
2021-02-01 00:00:00+05:30,43.95,43.95,43.95,43.95,52750
2021-02-02 00:00:00+05:30,44.8,44.8,44.8,44.8,50116
2021-02-03 00:00:00+05:30,45.65,45.65,45.65,45.65,13725
2021-02-04 00:00:00+05:30,46.55,46.55,46.55,46.55,26994
2021-02-05 00:00:00+05:30,47.45,47.45,47.45,47.45,21141
2021-02-08 00:00:00+05:30,48.35,48.35,48.35,48.35,21407
2021-02-09 00:00:00+05:30,49.3,49.3,49.3,49.3,27547
2021-02-10 00:00:00+05:30,50.25,50.25,50.25,50.25,18175
2021-02-11 00:00:00+05:30,49.25,51.25,49.25,51.25,334759
2021-02-12 00:00:00+05:30,52.25,52.25,52.25,52.25,18057
2021-02-15 00:00:00+05:30,53.25,53.25,53.25,53.25,20805
2021-02-16 00:00:00+05:30,54.3,54.3,52.2,54,422468
2021-02-17 00:00:00+05:30,55.05,55.05,54,55.05,165511
2021-02-18 00:00:00+05:30,55.6,55.6,55.6,55.6,21080
2021-02-19 00:00:00+05:30,56.7,56.7,55.6,56.7,113079
2021-02-22 00:00:00+05:30,57.8,57.8,57,57.8,90702
2021-02-23 00:00:00+05:30,56.7,58.95,56.7,58.95,82884
2021-02-24 00:00:00+05:30,60.1,60.1,60,60.1,29441
2021-02-25 00:00:00+05:30,61.3,61.3,61,61.3,39667
2021-02-26 00:00:00+05:30,62.5,62.5,60.1,62.5,177960
2021-03-01 00:00:00+05:30,63.75,63.75,61.3,63.75,394011
2021-03-02 00:00:00+05:30,65,65,64.8,65,22901
2021-03-03 00:00:00+05:30,66.3,66.3,65.5,66.3,17404
2021-03-04 00:00:00+05:30,67.6,67.6,67,67.6,43258
2021-03-05 00:00:00+05:30,68.95,68.95,68.35,68.95,45462
2021-03-08 00:00:00+05:30,70.3,70.3,70.25,70.3,66920
2021-03-09 00:00:00+05:30,71.7,71.7,71.05,71.7,92234
2021-03-10 00:00:00+05:30,73.1,73.1,73.1,73.1,94822
2021-03-12 00:00:00+05:30,74,74.55,71.65,74.55,226576
2021-03-15 00:00:00+05:30,75,76,73.1,75.6,411623
2021-03-16 00:00:00+05:30,75.5,76.3,74.1,76,359809
2021-03-17 00:00:00+05:30,76.7,77,74.5,74.5,456358
2021-03-18 00:00:00+05:30,73.05,73.05,73.05,73.05,7751
2021-03-19 00:00:00+05:30,71.6,71.6,71.6,71.6,1281
2021-03-22 00:00:00+05:30,70.2,70.2,70.2,70.2,1917
2021-03-23 00:00:00+05:30,68.8,68.8,68.8,68.8,2714
2021-03-24 00:00:00+05:30,67.45,67.45,67.45,67.45,1190
2021-03-25 00:00:00+05:30,66.15,66.15,66.15,66.15,1647
2021-03-26 00:00:00+05:30,64.85,64.85,64.85,64.85,1746
2021-03-30 00:00:00+05:30,63.6,63.6,63.6,63.6,1201
2021-03-31 00:00:00+05:30,62.35,62.35,62.35,62.35,2229
2021-04-01 00:00:00+05:30,61.15,61.15,61.15,61.15,5091
2021-04-05 00:00:00+05:30,59.95,62.35,59.95,59.95,150700
2021-04-06 00:00:00+05:30,58.8,58.8,58.8,58.8,10036
2021-04-07 00:00:00+05:30,57.65,57.65,57.65,57.65,7152
2021-04-08 00:00:00+05:30,54.8,57.6,54.8,54.8,175503
2021-04-09 00:00:00+05:30,52.3,57.5,52.1,57.5,189029
2021-04-12 00:00:00+05:30,59.8,60.35,54.65,54.65,145783
2021-04-13 00:00:00+05:30,52.1,56.9,52,52.9,103370
2021-04-15 00:00:00+05:30,52.5,53.95,50.35,50.55,102146
2021-04-16 00:00:00+05:30,50.8,51.45,48.05,49.05,80403
2021-04-19 00:00:00+05:30,47.05,48.4,46.6,46.6,85264
2021-04-20 00:00:00+05:30,46,48.9,45.95,48.85,109219
2021-04-22 00:00:00+05:30,48.9,51.25,48.9,51.25,100889
2021-04-23 00:00:00+05:30,53.5,53.7,49.35,52.1,76470
2021-04-26 00:00:00+05:30,53.9,53.9,50.45,50.6,56839
2021-04-27 00:00:00+05:30,51.95,51.95,49,50.2,32673
2021-04-28 00:00:00+05:30,49.5,51.3,49.25,50.05,43266
2021-04-29 00:00:00+05:30,50.05,50.15,49,49.15,48627
2021-04-30 00:00:00+05:30,48.3,50.4,48.3,49.5,104098
2021-05-03 00:00:00+05:30,50.3,50.3,47.05,47.1,117601
2021-05-04 00:00:00+05:30,47.1,48.05,46,46.5,84438
2021-05-05 00:00:00+05:30,47,48.8,46.45,48.3,99560
2021-05-06 00:00:00+05:30,47.95,50.25,47.2,49.45,84538
2021-05-07 00:00:00+05:30,48.5,50.5,48.5,49.4,123008
2021-05-10 00:00:00+05:30,50,50,48.05,48.45,60514
2021-05-11 00:00:00+05:30,48.25,48.65,46.85,47.7,40144
2021-05-12 00:00:00+05:30,47.85,48.75,45.35,45.4,366173
2021-05-14 00:00:00+05:30,45.4,46,43.15,43.2,780563
2021-05-17 00:00:00+05:30,41.3,44,41.3,43.75,79857
2021-05-18 00:00:00+05:30,44.7,44.7,41.85,42.95,96142
2021-05-19 00:00:00+05:30,44.4,45.05,43.25,45.05,116038
2021-05-20 00:00:00+05:30,46.95,47.25,45.45,47,102072
