date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,1901,1989.7,1889.9,1954.25,72054
2021-01-04 00:00:00+05:30,1990,2039.9,1965,1990.6,69942
2021-01-05 00:00:00+05:30,1973.65,2014.85,1957.65,1981.55,27143
2021-01-06 00:00:00+05:30,1982,2010,1935,1957.25,16594
2021-01-07 00:00:00+05:30,1960,2000,1958.95,1972.3,15741
2021-01-08 00:00:00+05:30,1980,1981,1952.25,1967.95,11170
2021-01-11 00:00:00+05:30,1970,1996.9,1950.05,1967.4,12737
2021-01-12 00:00:00+05:30,1967.4,1985,1961,1966.2,9338
2021-01-13 00:00:00+05:30,1976.05,1980,1866,1898.4,19429
2021-01-14 00:00:00+05:30,1917.4,1934.45,1910.1,1921.25,6176
2021-01-15 00:00:00+05:30,1930.85,1930.85,1885.05,1915.1,9222
2021-01-18 00:00:00+05:30,1915.15,1915.15,1841,1844.35,10505
2021-01-19 00:00:00+05:30,1854.1,1892,1854.1,1882.75,5744
2021-01-20 00:00:00+05:30,1892.2,1909.5,1877.15,1891.9,9113
2021-01-21 00:00:00+05:30,1880,1902.55,1835.15,1843.75,9022
2021-01-22 00:00:00+05:30,1843.75,1903.85,1828.05,1836.9,10887
2021-01-25 00:00:00+05:30,1845,1861.25,1805.55,1816.6,11838
2021-01-27 00:00:00+05:30,1844,1850,1808.15,1821.25,4646
2021-01-28 00:00:00+05:30,1805,1828.85,1797.8,1806.65,7988
2021-01-29 00:00:00+05:30,1820,1843.45,1797,1802.15,6184
2021-02-01 00:00:00+05:30,1800,1877.6,1785,1831.1,16619
2021-02-02 00:00:00+05:30,1909.9,1909.9,1837,1849.2,17789
2021-02-03 00:00:00+05:30,1861,1875.75,1840,1860.2,17229
2021-02-04 00:00:00+05:30,1878,1887.55,1853,1872.8,8863
2021-02-05 00:00:00+05:30,1870.05,1895,1840,1885.7,13007
2021-02-08 00:00:00+05:30,1900,2027,1900,1990.15,68944
2021-02-09 00:00:00+05:30,2018.7,2049,1932.05,1983.45,72875
2021-02-10 00:00:00+05:30,1950,1979.95,1920,1924.9,58528
2021-02-11 00:00:00+05:30,1926,1973.85,1825,1853.75,52442
2021-02-12 00:00:00+05:30,1881.6,1899,1861.25,1878.15,16739
2021-02-15 00:00:00+05:30,1910,1910,1875,1892.45,16843
2021-02-16 00:00:00+05:30,1900,1908.35,1870,1896.75,13912
2021-02-17 00:00:00+05:30,1891.05,1894.8,1850,1864.6,5510
2021-02-18 00:00:00+05:30,1870,1884,1839.3,1849.25,11453
2021-02-19 00:00:00+05:30,1852.25,1862,1812.25,1816.6,10063
2021-02-22 00:00:00+05:30,1816.6,1825.7,1790,1800.85,13457
2021-02-23 00:00:00+05:30,1824,1829,1802,1817.7,10244
2021-02-24 00:00:00+05:30,1822,1848.95,1690.5,1830.15,3904
2021-02-25 00:00:00+05:30,1840,1867,1805,1837.7,15756
2021-02-26 00:00:00+05:30,1838,1846.85,1802,1840.75,9780
2021-03-01 00:00:00+05:30,1850,1879.75,1842.25,1857.5,11466
2021-03-02 00:00:00+05:30,1944,1975,1868.45,1889.05,28645
2021-03-03 00:00:00+05:30,1892,1925,1871.2,1905.5,24975
2021-03-04 00:00:00+05:30,1924,1966.6,1914.65,1954,47787
2021-03-05 00:00:00+05:30,1960,1975,1922.15,1940.85,22496
2021-03-08 00:00:00+05:30,1950,1973,1902.3,1912.5,18926
2021-03-09 00:00:00+05:30,1922.1,1935,1880,1900.6,8875
2021-03-10 00:00:00+05:30,1900,1937.15,1885,1892.2,6128
2021-03-12 00:00:00+05:30,1893,1954.4,1882,1898.3,19423
2021-03-15 00:00:00+05:30,1907.8,1912,1851,1858.65,7270
2021-03-16 00:00:00+05:30,1868,1908.45,1850.1,1863.2,16646
2021-03-17 00:00:00+05:30,1894,1899,1800,1822.2,6925
2021-03-18 00:00:00+05:30,1831,1845,1810.25,1829.1,7297
2021-03-19 00:00:00+05:30,1822.45,1828.7,1787.15,1820.45,7345
2021-03-22 00:00:00+05:30,1829,1834.9,1796.55,1814.65,3697
2021-03-23 00:00:00+05:30,1823.7,1840,1793.5,1801.15,8973
2021-03-24 00:00:00+05:30,1790,1805,1720,1734.95,19448
2021-03-25 00:00:00+05:30,1743.65,1743.65,1647.85,1705.2,28980
2021-03-26 00:00:00+05:30,1713.75,1823.65,1710,1817.5,17100
2021-03-30 00:00:00+05:30,1824,1840,1765,1793.1,13086
2021-03-31 00:00:00+05:30,1793.15,1815,1778.05,1792.95,7008
2021-04-01 00:00:00+05:30,1824,1874.7,1809.75,1833.7,15265
2021-04-05 00:00:00+05:30,1872,1872,1795.2,1822.75,9243
2021-04-06 00:00:00+05:30,1850,1850,1813.2,1832,6013
2021-04-07 00:00:00+05:30,1839.4,1839.4,1812.4,1821.5,7112
2021-04-08 00:00:00+05:30,1830.65,1850.95,1815.95,1842.85,7324
2021-04-09 00:00:00+05:30,1842.8,1869.9,1821,1851.85,11392
2021-04-12 00:00:00+05:30,1842,1858.45,1756.95,1791.1,15188
2021-04-13 00:00:00+05:30,1800,1836.1,1780,1822.75,6447
2021-04-15 00:00:00+05:30,1824.5,1824.5,1774.05,1783,3877
2021-04-16 00:00:00+05:30,1791.95,1820,1755.1,1780.55,7457
2021-04-19 00:00:00+05:30,1761.15,1780.75,1739.95,1756.05,4474
2021-04-20 00:00:00+05:30,1745.1,1826.3,1745.1,1797,10913
