date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,68.75,69.65,68.2,68.45,520223
2021-01-04 00:00:00+05:30,68.85,71.85,67.1,71.85,1575986
2021-01-05 00:00:00+05:30,70,73.45,70,72.5,1541568
2021-01-06 00:00:00+05:30,73.6,73.95,69.85,70.6,856311
2021-01-07 00:00:00+05:30,71.5,74.1,70.8,73.9,2132641
2021-01-08 00:00:00+05:30,74.5,75,72.1,73.05,765695
2021-01-11 00:00:00+05:30,73.5,74.25,70,71.5,665123
2021-01-12 00:00:00+05:30,71.85,71.95,70.45,70.6,449201
2021-01-13 00:00:00+05:30,71.3,71.9,68.65,69.1,843078
2021-01-14 00:00:00+05:30,69.1,70.4,68.5,68.75,349346
2021-01-15 00:00:00+05:30,69,69.7,66.25,67.15,865770
2021-01-18 00:00:00+05:30,67.15,68.15,64.85,65.15,631691
2021-01-19 00:00:00+05:30,66,67.8,65.9,67.45,286980
2021-01-20 00:00:00+05:30,67.95,67.95,66.3,66.8,420553
2021-01-21 00:00:00+05:30,68.25,70,66.4,68.75,1311308
2021-01-22 00:00:00+05:30,68.75,70.4,67.35,67.65,693417
2021-01-25 00:00:00+05:30,68.05,68.85,66.1,66.6,534027
2021-01-27 00:00:00+05:30,66.8,69.85,66.2,68.25,1674300
2021-01-28 00:00:00+05:30,67.65,69.65,67,67.3,974600
2021-01-29 00:00:00+05:30,68.05,68.4,66,66.1,453796
2021-02-01 00:00:00+05:30,67,68,66.1,67.6,465542
2021-02-02 00:00:00+05:30,68.5,69.5,68.05,68.85,584697
2021-02-03 00:00:00+05:30,69.55,72.25,68.55,72.25,1555981
2021-02-04 00:00:00+05:30,72.5,75,72,72.7,1901902
2021-02-05 00:00:00+05:30,74,74.3,68.35,68.9,1476616
2021-02-08 00:00:00+05:30,69.2,70.2,67,67.25,887293
2021-02-09 00:00:00+05:30,67.7,68.2,65.4,66.2,701894
2021-02-10 00:00:00+05:30,66.8,68,66.1,67.8,403362
2021-02-11 00:00:00+05:30,67.7,68.8,67.6,68.4,341166
2021-02-12 00:00:00+05:30,68.9,69,67,67.3,267685
2021-02-15 00:00:00+05:30,67.9,68.6,67,67.5,300716
2021-02-16 00:00:00+05:30,67.9,68.05,66.5,66.8,305475
2021-02-17 00:00:00+05:30,67.6,67.7,66.5,66.75,350852
2021-02-18 00:00:00+05:30,67.7,72.5,66.9,70.5,1837425
2021-02-19 00:00:00+05:30,71.3,72,69,69.2,740618
2021-02-22 00:00:00+05:30,69.2,69.5,67.5,67.8,386886
2021-02-23 00:00:00+05:30,67.8,68.5,66.95,67.4,534905
2021-02-24 00:00:00+05:30,67.7,68.5,66,67.75,206749
2021-02-25 00:00:00+05:30,68.1,73.65,67.9,71.85,2915329
2021-02-26 00:00:00+05:30,72.9,72.9,67.9,69.2,945789
2021-03-01 00:00:00+05:30,69.5,70.6,68.5,68.9,487964
2021-03-02 00:00:00+05:30,69.4,69.95,67.4,67.95,761477
2021-03-03 00:00:00+05:30,68.85,71.8,68,70.65,1949463
2021-03-04 00:00:00+05:30,70.65,78.85,69.6,75.35,6321998
2021-03-05 00:00:00+05:30,76.3,77.25,71,73.45,2643044
2021-03-08 00:00:00+05:30,74.1,75.5,73.5,73.85,927388
2021-03-09 00:00:00+05:30,74.3,75,71.2,72.45,1053133
2021-03-10 00:00:00+05:30,74,75.45,72.4,74.65,3379233
2021-03-12 00:00:00+05:30,75.1,84.8,75.05,80.5,12247807
2021-03-15 00:00:00+05:30,82,87.6,79.5,83.75,10378070
2021-03-16 00:00:00+05:30,84.4,87,82.65,83.6,3646763
2021-03-17 00:00:00+05:30,84,84,78.3,79.55,2402394
2021-03-18 00:00:00+05:30,80.5,81.95,73,77.1,2375865
2021-03-19 00:00:00+05:30,77,81.95,72.65,80.7,1947214
2021-03-22 00:00:00+05:30,81.45,83.5,79.65,81.85,2327385
2021-03-23 00:00:00+05:30,81.95,83.85,80.25,80.8,1197089
2021-03-24 00:00:00+05:30,81,81.5,78.15,78.95,883394
2021-03-25 00:00:00+05:30,80.4,80.4,76.1,77,963226
2021-03-26 00:00:00+05:30,79.95,84.65,78,83.6,4669973
2021-03-30 00:00:00+05:30,84,85.45,82.15,83.6,1567307
2021-03-31 00:00:00+05:30,84.5,84.5,80,80.85,1075077
2021-04-01 00:00:00+05:30,82,85.35,81.9,84.75,1752101
2021-04-05 00:00:00+05:30,85,85.4,80.4,83.15,1049665
2021-04-06 00:00:00+05:30,82.65,83.9,80.55,81.35,793868
2021-04-07 00:00:00+05:30,82.5,82.5,79.6,80.15,847402
2021-04-08 00:00:00+05:30,80.9,87,80.65,84.95,4640145
2021-04-09 00:00:00+05:30,84.85,87.5,82.8,84.3,3248845
2021-04-12 00:00:00+05:30,81,82.6,76.9,77.75,2460342
2021-04-13 00:00:00+05:30,78.25,80.95,77.25,77.55,1153840
2021-04-15 00:00:00+05:30,78.5,79.5,75.55,77.65,1158909
2021-04-16 00:00:00+05:30,77.8,82,77.7,81.2,1879724
2021-04-19 00:00:00+05:30,79.5,80,76,77.1,1627251
2021-04-20 00:00:00+05:30,79.9,79.9,76,76.9,2055247
2021-04-22 00:00:00+05:30,77.25,80.6,77.25,78.8,1282715
2021-04-23 00:00:00+05:30,79,80.25,77.9,78.5,963552
2021-04-26 00:00:00+05:30,79.05,80.9,78.5,79.35,894825
2021-04-27 00:00:00+05:30,78.9,80.75,78.9,79.75,532791
2021-04-28 00:00:00+05:30,81.25,84.5,81,82.35,2150522
2021-04-29 00:00:00+05:30,83.7,83.8,81.1,81.95,831953
2021-04-30 00:00:00+05:30,81,81.75,79.05,79.5,1293844
2021-05-03 00:00:00+05:30,79.6,82.4,79.45,81.95,1449070
2021-05-04 00:00:00+05:30,82.7,85,81.75,82.35,2107135
2021-05-05 00:00:00+05:30,83.7,84.5,82.4,82.95,707791
2021-05-06 00:00:00+05:30,83.9,86.15,82.7,84.2,2042135
2021-05-07 00:00:00+05:30,84.6,95,84.2,93.55,13851520
2021-05-10 00:00:00+05:30,97.6,100,95.15,96.45,5991051
2021-05-11 00:00:00+05:30,95.95,97.95,91.5,93.6,2679553
2021-05-12 00:00:00+05:30,93.65,95.95,88.7,91.25,2550540
2021-05-14 00:00:00+05:30,93.7,104.4,91,101.35,37469729
2021-05-17 00:00:00+05:30,104,104,96.45,98.05,8973183
2021-05-18 00:00:00+05:30,99,100.45,97.05,97.25,4052115
2021-05-19 00:00:00+05:30,97.45,98,95.6,95.8,2109331
2021-05-20 00:00:00+05:30,96.2,97.5,95.35,96,2066871
2021-05-21 00:00:00+05:30,96.95,100.3,95.8,98.65,5636201
2021-05-24 00:00:00+05:30,98,98.4,96.1,96.6,1676271
2021-05-25 00:00:00+05:30,96.05,96.95,91.8,92.35,2582636
2021-05-26 00:00:00+05:30,93,94.4,92.25,93.05,1850135
2021-05-27 00:00:00+05:30,92.5,95.75,89.1,90.6,3233409
2021-05-28 00:00:00+05:30,91,92.75,89.3,90.25,2091646
2021-05-31 00:00:00+05:30,90.5,91.2,88.65,88.95,1561103
2021-06-01 00:00:00+05:30,89,90.25,86,87.3,1969392
2021-06-02 00:00:00+05:30,87.3,95,87.3,94.3,6615198
2021-06-03 00:00:00+05:30,95.5,95.9,92.65,94.1,3582215
2021-06-04 00:00:00+05:30,93.55,94.6,91.8,92.35,1799454
2021-06-07 00:00:00+05:30,92.9,95.05,91.25,92.6,2239861
2021-06-08 00:00:00+05:30,93,94.3,92.15,92.4,2132894
2021-06-09 00:00:00+05:30,93.4,95.6,91.65,92.05,3849384
2021-06-10 00:00:00+05:30,92.85,95.3,92.8,94.9,2835795
2021-06-11 00:00:00+05:30,95.2,97.1,94.5,95.6,5504554
2021-06-14 00:00:00+05:30,96.5,97,92.05,96.1,2770080
2021-06-15 00:00:00+05:30,95.9,97.25,95.1,95.4,2804746
2021-06-16 00:00:00+05:30,95.5,96.6,92.3,93,3200178
2021-06-17 00:00:00+05:30,92,94.8,91.5,92.55,1816727
2021-06-18 00:00:00+05:30,93.45,94.2,89.05,92.8,2084781
2021-06-21 00:00:00+05:30,92.8,92.85,90.75,92.5,1227857
2021-06-22 00:00:00+05:30,93.95,95.4,93.2,93.45,2588890
2021-06-23 00:00:00+05:30,94.45,95.25,93.2,93.8,1409404
2021-06-24 00:00:00+05:30,94,94.55,92.5,93.1,937245
2021-06-25 00:00:00+05:30,92.7,94.3,92.5,93.75,1138769
2021-06-28 00:00:00+05:30,93.2,95.5,92.8,93.95,1497349
2021-06-29 00:00:00+05:30,92.3,95.45,92.3,93.65,1890918
2021-06-30 00:00:00+05:30,94.3,97.8,93.75,96.4,4869608
2021-07-01 00:00:00+05:30,97.95,99.75,93.55,96.9,3560206
2021-07-02 00:00:00+05:30,96.1,105.7,96.1,102.8,9467381
2021-07-05 00:00:00+05:30,104,109.7,101.25,105.65,7470399
2021-07-06 00:00:00+05:30,106.4,108.65,104.3,107,5973516
2021-07-07 00:00:00+05:30,107.75,109.7,104,104.55,3249551
2021-07-08 00:00:00+05:30,104.55,106.4,102.7,105.1,2888595
2021-07-09 00:00:00+05:30,105.1,107.8,103.6,106.3,2518670
2021-07-12 00:00:00+05:30,107.45,115.5,107.25,114.05,8424619
2021-07-13 00:00:00+05:30,114.05,120.4,111.05,117.4,8793677
2021-07-14 00:00:00+05:30,119.7,125,115.3,122.5,24429837
2021-07-15 00:00:00+05:30,122.3,129.85,122.3,125.2,15982701
2021-07-16 00:00:00+05:30,127.5,130.8,123.75,125.3,10899708
2021-07-19 00:00:00+05:30,124.95,134.5,123,132.9,9899861
2021-07-20 00:00:00+05:30,133,134,124.2,125.85,6241813
2021-07-22 00:00:00+05:30,128.2,132.35,125.45,127.8,3932327
2021-07-23 00:00:00+05:30,129,129,125.5,127.3,2148602
2021-07-26 00:00:00+05:30,126.3,127.4,125,125.5,1324222
2021-07-27 00:00:00+05:30,125.6,135.3,125.6,134.35,4616777
2021-07-28 00:00:00+05:30,135.65,143,131,141.55,13430973
2021-07-29 00:00:00+05:30,141.95,145.4,136,137.95,5253594
2021-07-30 00:00:00+05:30,138.7,139,131.2,133.45,2457398
2021-08-02 00:00:00+05:30,134.75,138.45,134.5,137.65,1898396
2021-08-03 00:00:00+05:30,138,142.95,136,140.5,2544406
2021-08-04 00:00:00+05:30,140.6,141.75,134.5,135.5,1475402
2021-08-05 00:00:00+05:30,136.2,136.2,131,132.55,1182863
2021-08-06 00:00:00+05:30,133.05,137.4,133.05,135.2,1257494
2021-08-09 00:00:00+05:30,135.9,137,132,133.6,736318
2021-08-10 00:00:00+05:30,132.8,134.8,115.2,123.1,3184807
2021-08-11 00:00:00+05:30,123.75,130,118,127.15,2544905
2021-08-12 00:00:00+05:30,127.45,134,127.2,132.95,1338353
2021-08-13 00:00:00+05:30,133.85,136,131.05,132.05,1352227
2021-08-16 00:00:00+05:30,132.45,132.7,128.5,128.95,1180393
2021-08-17 00:00:00+05:30,129,129.55,123,124.95,1081479
2021-08-18 00:00:00+05:30,126,127.7,123,125.2,1003784
2021-08-20 00:00:00+05:30,122,124.95,116.25,118.5,1440370
2021-08-23 00:00:00+05:30,118,127.8,117.5,126.5,3872074
2021-08-24 00:00:00+05:30,127.5,128.75,123.6,127.65,1405929
2021-08-25 00:00:00+05:30,127,129.6,126,127.6,1287554
2021-08-26 00:00:00+05:30,128,128.9,126.1,127,859292
2021-08-27 00:00:00+05:30,126.1,127.35,125,125.4,546718
2021-08-30 00:00:00+05:30,126.6,129.5,126,126.75,824753
2021-08-31 00:00:00+05:30,126.8,129.5,125,126.9,2073904
2021-09-01 00:00:00+05:30,127.75,128.35,124.2,127.65,1143443
2021-09-02 00:00:00+05:30,127.65,128.8,126.6,127.1,901471
2021-09-03 00:00:00+05:30,128.1,131.6,124.35,126.1,2671547
2021-09-06 00:00:00+05:30,126.8,138.8,126.6,137.25,12652715
2021-09-07 00:00:00+05:30,138.85,141,133.6,139.85,6605767
2021-09-08 00:00:00+05:30,141.8,144,135.1,137.4,12557190
2021-09-09 00:00:00+05:30,138.05,138.05,131.4,133.15,4484396
2021-09-13 00:00:00+05:30,133.8,135.5,132,133.65,2123410
2021-09-14 00:00:00+05:30,134,136.8,133.2,133.6,2807815
2021-09-15 00:00:00+05:30,133.8,136.4,133.65,134.5,1691269
2021-09-16 00:00:00+05:30,136,138.45,133,133.95,2360039
2021-09-17 00:00:00+05:30,133.9,135.65,130.55,131.55,2702690
2021-09-20 00:00:00+05:30,132.2,133,127,129.1,3698301
2021-09-21 00:00:00+05:30,129.1,136.9,126.1,135.25,4698116
2021-09-22 00:00:00+05:30,136.9,141.2,135.6,139.2,3677397
2021-09-23 00:00:00+05:30,140.5,159.9,140.5,157.8,25217552
2021-09-24 00:00:00+05:30,160,161.35,153.25,155.7,8872285
2021-09-27 00:00:00+05:30,156.9,159.45,154,157.6,4927516
2021-09-28 00:00:00+05:30,159.55,165.9,159.15,163.9,8574722
2021-09-29 00:00:00+05:30,160.6,166.9,160.1,165.4,3227373
2021-09-30 00:00:00+05:30,166.35,170.5,162.75,169.3,4453167
2021-10-01 00:00:00+05:30,167.5,168.2,162,163,3233316
2021-10-04 00:00:00+05:30,163.25,167.7,160.35,162.35,3646248
2021-10-05 00:00:00+05:30,163.35,165.3,160.7,163.8,2543640
2021-10-06 00:00:00+05:30,164.7,167.65,163.1,164.05,3054025
2021-10-07 00:00:00+05:30,165.65,167.8,163.5,166,3058262
2021-10-08 00:00:00+05:30,167,167.25,158.35,163.55,1965975
2021-10-11 00:00:00+05:30,162.8,169,161.25,166.25,5737675
2021-10-12 00:00:00+05:30,167.1,170.7,163.5,165.25,4032338
2021-10-13 00:00:00+05:30,166.65,166.65,161,161.6,1655330
2021-10-14 00:00:00+05:30,163.3,164,160.1,160.9,1146433
2021-10-18 00:00:00+05:30,161.3,162.15,157,160,1911938
2021-10-19 00:00:00+05:30,160.2,160.8,147,152.1,1498372
2021-10-20 00:00:00+05:30,151.2,151.5,143.15,146.35,4103020
2021-10-21 00:00:00+05:30,147,157,147,151.75,4039669
2021-10-22 00:00:00+05:30,152.8,152.95,145.25,146.1,2890534
2021-10-25 00:00:00+05:30,146.7,147.3,137.1,142.05,4150341
2021-10-26 00:00:00+05:30,141.9,147.45,140.1,145,1695513
2021-10-27 00:00:00+05:30,146.35,151,141,145.4,3033035
2021-10-28 00:00:00+05:30,145.4,145.4,140.05,140.95,2215121
2021-10-29 00:00:00+05:30,140.55,140.8,136.15,137.7,2028316
2021-11-01 00:00:00+05:30,137.7,144.6,137.6,142.8,1318057
2021-11-02 00:00:00+05:30,144.05,145.25,141.5,143.6,2345543
2021-11-03 00:00:00+05:30,143.5,144.4,142.45,143.6,597432
2021-11-04 00:00:00+05:30,144.6,146.6,144.05,145.55,323019
2021-11-08 00:00:00+05:30,145.55,146.4,142.8,143.25,779709
2021-11-09 00:00:00+05:30,143.25,143.95,140.05,140.55,1215600
2021-11-10 00:00:00+05:30,140,142,138.55,139.85,1143243
2021-11-11 00:00:00+05:30,139.85,143.55,139,140.05,876301
2021-11-12 00:00:00+05:30,140.8,142.75,139.6,140.1,773231
2021-11-15 00:00:00+05:30,140.5,140.95,138,138.9,1490265
2021-11-16 00:00:00+05:30,139,141.2,138,139.1,1841463
2021-11-17 00:00:00+05:30,139.1,141.65,137.35,139.75,3803048
2021-11-18 00:00:00+05:30,140,141.6,131.9,135.8,2183521
2021-11-22 00:00:00+05:30,136.7,137.2,122.35,128.35,4061130
