date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,484.15,500,484.15,490.2,25324
2021-01-04 00:00:00+05:30,500,505,493.9,503,41214
2021-01-05 00:00:00+05:30,504.65,504.65,496.7,499.9,17715
2021-01-06 00:00:00+05:30,502.35,504,493.4,494.4,15169
2021-01-07 00:00:00+05:30,496.9,504,496.6,497.85,19891
2021-01-08 00:00:00+05:30,500,516.7,494.65,505.35,44428
2021-01-11 00:00:00+05:30,507,524,502.2,514.8,75072
2021-01-12 00:00:00+05:30,523,527.5,510.05,511.9,115085
2021-01-13 00:00:00+05:30,515,519.6,498.5,501,34252
2021-01-14 00:00:00+05:30,502.05,506.7,499,501,9764
2021-01-15 00:00:00+05:30,500,515.7,492.15,499.05,22437
2021-01-18 00:00:00+05:30,499,499,482.65,487.7,14278
2021-01-19 00:00:00+05:30,481,485.6,478.1,480.25,41669
2021-01-20 00:00:00+05:30,481.45,486.25,481.45,484,4768
2021-01-21 00:00:00+05:30,486.45,495.5,482.75,486.65,15994
2021-01-22 00:00:00+05:30,488.95,501.8,480.5,484.5,19023
2021-01-25 00:00:00+05:30,487,493,474,476.2,12482
2021-01-27 00:00:00+05:30,478.95,479.2,468.35,473.25,7051
2021-01-28 00:00:00+05:30,472.95,477.9,465.4,469.1,8481
2021-01-29 00:00:00+05:30,471.45,485,471.45,473.45,17073
2021-02-01 00:00:00+05:30,475.85,479.4,465.05,473.85,9170
2021-02-02 00:00:00+05:30,476.25,494.9,476.25,485.15,16699
2021-02-03 00:00:00+05:30,490.5,493.9,483.05,485.95,8129
2021-02-04 00:00:00+05:30,486,494.6,480,491.75,13857
2021-02-05 00:00:00+05:30,494.15,494.15,486,490.05,10195
2021-02-08 00:00:00+05:30,480,490,475.8,482.1,12069
2021-02-09 00:00:00+05:30,486.4,487.4,480.05,482.45,4980
2021-02-10 00:00:00+05:30,484.75,484.8,476.05,480.1,5844
2021-02-11 00:00:00+05:30,487,497.95,485.6,495.15,30019
2021-02-12 00:00:00+05:30,497.5,505.35,495,496.1,15958
2021-02-15 00:00:00+05:30,495.1,503,492,494.9,8812
2021-02-16 00:00:00+05:30,497.4,498,482,484.45,7234
2021-02-17 00:00:00+05:30,486.9,494,480,484.65,12764
2021-02-18 00:00:00+05:30,485,490,475,483.2,9517
2021-02-19 00:00:00+05:30,484.85,505,482.55,484.35,22919
2021-02-22 00:00:00+05:30,481,491.7,476.55,481.1,6653
2021-02-23 00:00:00+05:30,489.8,489.8,477.55,481.5,7487
2021-02-24 00:00:00+05:30,483.95,490,472.1,474.5,10073
2021-02-25 00:00:00+05:30,476.9,482.5,471,477.4,10651
2021-02-26 00:00:00+05:30,479.75,479.75,464,465.65,22978
2021-03-01 00:00:00+05:30,470,477.7,457.05,462.2,21181
2021-03-02 00:00:00+05:30,464.55,468.75,460,462.8,9931
2021-03-03 00:00:00+05:30,468.4,475.05,463.95,465.85,37062
2021-03-04 00:00:00+05:30,467.75,472,463.1,469.1,17821
2021-03-05 00:00:00+05:30,471.05,474.15,467,468.35,12724
2021-03-08 00:00:00+05:30,468.9,470.65,464.95,466.3,7203
2021-03-09 00:00:00+05:30,468,480.95,464,469.55,20711
2021-03-10 00:00:00+05:30,471.85,477.7,466.6,470.45,12063
2021-03-12 00:00:00+05:30,472.85,475,464,465.65,6569
2021-03-15 00:00:00+05:30,466.35,466.9,457,459.5,5245
2021-03-16 00:00:00+05:30,464,464,455,456.25,4359
2021-03-17 00:00:00+05:30,458.55,460.9,440,442.4,7819
2021-03-18 00:00:00+05:30,452.95,452.95,440,444.15,8995
2021-03-19 00:00:00+05:30,442,449.8,427,447.8,7294
2021-03-22 00:00:00+05:30,449.9,449.95,438.1,441.3,4568
2021-03-23 00:00:00+05:30,438.65,448,438.65,445.2,5600
2021-03-24 00:00:00+05:30,465.25,518.45,450,482.2,491806
2021-03-25 00:00:00+05:30,489.45,497.6,461,467.1,102977
2021-03-26 00:00:00+05:30,472.9,475.35,456,458.1,26320
2021-03-30 00:00:00+05:30,469.7,476,458.1,461.35,28260
2021-03-31 00:00:00+05:30,462,468,436.4,452.5,19697
2021-04-01 00:00:00+05:30,453.65,464.75,451.45,458.7,524128
2021-04-05 00:00:00+05:30,458.7,458.7,450,454.15,9757
