SYMBOL,NAME OF COMPANY, SERIES
20MICRONS,20 Microns Limited,EQ
21STCENMGM,21st Century Management Services Limited,EQ
3IINFOLTD,3i Infotech Limited,EQ
3MINDIA,3M India Limited,EQ
3PLAND,3P Land Holdings Limited,EQ
5PAISA,5Paisa Capital Limited,EQ
63MOONS,63 moons technologies limited,EQ
A2ZINFRA,A2Z Infra Engineering Limited,BE
AAKASH,Aakash Exploration Services Limited,EQ
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ
AARON,Aaron Industries Limited,EQ
AARTIDRUGS,Aarti Drugs Limited,EQ
AARTIIND,Aarti Industries Limited,EQ
AARTISURF,Aarti Surfactants Limited,EQ
AARVEEDEN,Aarvee Denims & Exports Limited,EQ
AARVI,Aarvi Encon Limited,EQ
AAVAS,Aavas Financiers Limited,EQ
ABAN,Aban Offshore Limited,BE
ABB,ABB India Limited,EQ
ABBOTINDIA,Abbott India Limited,EQ
ABCAPITAL,Aditya Birla Capital Limited,EQ
ABFRL,Aditya Birla Fashion and Retail Limited,EQ
ABMINTLLTD,ABM International Limited,EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ
ACC,ACC Limited,EQ
ACCELYA,Accelya Solutions India Limited,EQ
ACCURACY,Accuracy Shipping Limited,EQ
ACE,Action Construction Equipment Limited,EQ
ACRYSIL,Acrysil Limited,EQ
ADANIENT,Adani Enterprises Limited,EQ
ADANIGREEN,Adani Green Energy Limited,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ
ADANIPOWER,Adani Power Limited,EQ
ADANITRANS,Adani Transmission Limited,BE
ADFFOODS,ADF Foods Limited,EQ
ADL,Archidply Decor Limited,BE
ADORWELD,Ador Welding Limited,EQ
ADROITINFO,Adroit Infotech Limited,BE
ADSL,Allied Digital Services Limited,EQ
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ
AEGISCHEM,Aegis Logistics Limited,EQ
AFFLE,Affle (India) Limited,EQ
