,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,18.2,18.85,17.45,18.0,15006,AARVEEDEN
1,2021-01-04 00:00:00+05:30,17.8,18.8,17.5,17.85,12575,AARVEEDEN
2,2021-01-05 00:00:00+05:30,17.85,18.4,17.2,18.2,27204,AARVEEDEN
3,2021-01-06 00:00:00+05:30,18.3,18.4,17.3,17.6,37735,AARVEEDEN
4,2021-01-07 00:00:00+05:30,18.2,18.25,17.0,17.95,23075,AARVEEDEN
5,2021-01-08 00:00:00+05:30,18.35,18.6,17.3,18.0,32393,AARVEEDEN
6,2021-01-11 00:00:00+05:30,18.05,18.4,17.3,18.0,10943,AARVEEDEN
7,2021-01-12 00:00:00+05:30,18.0,18.25,17.4,18.1,9669,AARVEEDEN
8,2021-01-13 00:00:00+05:30,18.45,18.45,17.5,17.8,10218,AARVEEDEN
9,2021-01-14 00:00:00+05:30,18.4,18.65,17.4,18.65,42471,AARVEEDEN
10,2021-01-15 00:00:00+05:30,19.55,19.55,19.55,19.55,42664,AARVEEDEN
11,2021-01-18 00:00:00+05:30,20.5,20.5,19.75,20.5,150637,AARVEEDEN
12,2021-01-19 00:00:00+05:30,20.9,21.5,20.25,21.5,112671,AARVEEDEN
13,2021-01-20 00:00:00+05:30,21.0,22.2,20.45,20.75,59605,AARVEEDEN
14,2021-01-21 00:00:00+05:30,21.15,21.15,19.8,20.05,6533,AARVEEDEN
15,2021-01-22 00:00:00+05:30,19.4,20.55,19.05,20.25,23250,AARVEEDEN
16,2021-01-25 00:00:00+05:30,20.25,20.7,19.75,19.9,8819,AARVEEDEN
17,2021-01-27 00:00:00+05:30,20.5,20.5,19.0,20.05,14385,AARVEEDEN
18,2021-01-28 00:00:00+05:30,20.05,20.7,19.95,20.25,4816,AARVEEDEN
19,2021-01-29 00:00:00+05:30,20.3,20.9,19.5,19.7,3905,AARVEEDEN
20,2021-02-01 00:00:00+05:30,20.55,20.55,19.05,20.0,7148,AARVEEDEN
21,2021-02-02 00:00:00+05:30,20.4,20.4,19.25,19.35,21421,AARVEEDEN
22,2021-02-03 00:00:00+05:30,19.05,20.3,18.85,20.2,17249,AARVEEDEN
23,2021-02-04 00:00:00+05:30,20.55,20.75,20.0,20.5,24650,AARVEEDEN
24,2021-02-05 00:00:00+05:30,20.1,21.95,19.25,20.5,11535,AARVEEDEN
25,2021-02-08 00:00:00+05:30,21.7,21.7,20.1,21.05,30087,AARVEEDEN
26,2021-02-09 00:00:00+05:30,20.75,21.55,20.75,21.0,21278,AARVEEDEN
27,2021-02-10 00:00:00+05:30,21.5,21.5,20.35,20.5,4849,AARVEEDEN
28,2021-02-11 00:00:00+05:30,20.25,21.7,18.8,20.4,14573,AARVEEDEN
29,2021-02-12 00:00:00+05:30,20.35,20.8,18.7,18.95,70333,AARVEEDEN
30,2021-02-15 00:00:00+05:30,19.65,19.65,18.25,18.6,13871,AARVEEDEN
31,2021-02-16 00:00:00+05:30,19.0,19.0,17.65,18.45,14033,AARVEEDEN
32,2021-02-17 00:00:00+05:30,18.5,18.6,17.7,18.15,11910,AARVEEDEN
33,2021-02-18 00:00:00+05:30,18.8,18.8,17.6,18.3,16892,AARVEEDEN
34,2021-02-19 00:00:00+05:30,17.1,18.35,17.1,17.75,13520,AARVEEDEN
35,2021-02-22 00:00:00+05:30,17.9,18.5,17.25,17.8,13278,AARVEEDEN
36,2021-02-23 00:00:00+05:30,17.95,17.95,17.25,17.55,11139,AARVEEDEN
37,2021-02-24 00:00:00+05:30,17.3,18.0,17.25,18.0,3906,AARVEEDEN
38,2021-02-25 00:00:00+05:30,18.4,18.4,17.4,17.75,6293,AARVEEDEN
39,2021-02-26 00:00:00+05:30,17.25,18.3,17.25,17.95,17995,AARVEEDEN
40,2021-03-01 00:00:00+05:30,18.4,18.55,17.85,18.1,6825,AARVEEDEN
41,2021-03-02 00:00:00+05:30,18.9,18.9,17.85,18.15,11675,AARVEEDEN
42,2021-03-03 00:00:00+05:30,18.6,18.6,18.1,18.3,7805,AARVEEDEN
43,2021-03-04 00:00:00+05:30,18.2,18.2,17.65,17.9,12369,AARVEEDEN
44,2021-03-05 00:00:00+05:30,17.65,19.25,17.6,17.9,8490,AARVEEDEN
45,2021-03-08 00:00:00+05:30,17.7,18.55,17.6,18.45,12526,AARVEEDEN
46,2021-03-09 00:00:00+05:30,18.4,19.2,17.5,17.8,17577,AARVEEDEN
47,2021-03-10 00:00:00+05:30,18.0,18.4,17.45,17.75,13204,AARVEEDEN
48,2021-03-12 00:00:00+05:30,17.65,18.5,17.25,17.7,5106,AARVEEDEN
49,2021-03-15 00:00:00+05:30,17.95,18.45,17.35,18.4,13201,AARVEEDEN
50,2021-03-16 00:00:00+05:30,18.45,18.45,17.25,17.75,5472,AARVEEDEN
51,2021-03-17 00:00:00+05:30,18.2,18.3,17.5,17.5,15525,AARVEEDEN
52,2021-03-18 00:00:00+05:30,17.2,18.45,17.0,17.35,11275,AARVEEDEN
53,2021-03-19 00:00:00+05:30,17.75,17.75,17.0,17.1,4103,AARVEEDEN
54,2021-03-22 00:00:00+05:30,17.65,17.95,17.2,17.5,4011,AARVEEDEN
55,2021-03-23 00:00:00+05:30,17.65,18.55,17.05,18.45,76693,AARVEEDEN
56,2021-03-24 00:00:00+05:30,17.95,18.35,17.5,17.6,8209,AARVEEDEN
57,2021-03-25 00:00:00+05:30,17.6,18.15,17.5,17.65,9897,AARVEEDEN
58,2021-03-26 00:00:00+05:30,17.95,17.95,17.5,17.55,30257,AARVEEDEN
59,2021-03-30 00:00:00+05:30,17.9,17.95,17.5,17.5,8678,AARVEEDEN
60,2021-03-31 00:00:00+05:30,17.6,17.95,17.5,17.5,815,AARVEEDEN
61,2021-04-01 00:00:00+05:30,17.9,18.45,17.5,17.85,5345,AARVEEDEN
62,2021-04-05 00:00:00+05:30,17.7,17.95,17.5,17.5,1321,AARVEEDEN
63,2021-04-06 00:00:00+05:30,17.5,17.85,17.0,17.1,1860,AARVEEDEN
64,2021-04-07 00:00:00+05:30,17.2,17.75,17.1,17.5,3233,AARVEEDEN
65,2021-04-08 00:00:00+05:30,17.7,19.7,17.0,18.6,33296,AARVEEDEN
66,2021-04-09 00:00:00+05:30,18.6,22.3,18.15,22.3,67347,AARVEEDEN
67,2021-04-12 00:00:00+05:30,23.55,26.75,23.25,24.8,773069,AARVEEDEN
68,2021-04-13 00:00:00+05:30,24.0,24.3,22.35,22.5,123904,AARVEEDEN
69,2021-04-15 00:00:00+05:30,22.05,24.75,20.6,22.8,57193,AARVEEDEN
70,2021-04-16 00:00:00+05:30,22.65,23.55,21.15,22.2,46936,AARVEEDEN
71,2021-04-19 00:00:00+05:30,20.75,21.95,20.0,20.35,39563,AARVEEDEN
72,2021-04-20 00:00:00+05:30,20.0,21.4,19.5,19.7,28151,AARVEEDEN
73,2021-04-22 00:00:00+05:30,19.7,19.7,18.75,18.8,28551,AARVEEDEN
74,2021-04-23 00:00:00+05:30,19.5,19.5,18.5,19.05,17586,AARVEEDEN
75,2021-04-26 00:00:00+05:30,19.0,20.0,19.0,20.0,17980,AARVEEDEN
76,2021-04-27 00:00:00+05:30,20.4,21.0,20.1,21.0,11279,AARVEEDEN
77,2021-04-28 00:00:00+05:30,21.05,22.05,20.55,21.4,16161,AARVEEDEN
78,2021-04-29 00:00:00+05:30,21.5,21.5,20.35,20.8,3127,AARVEEDEN
79,2021-04-30 00:00:00+05:30,19.8,20.85,19.8,19.8,5379,AARVEEDEN
80,2021-05-03 00:00:00+05:30,20.45,20.6,19.8,20.05,6964,AARVEEDEN
81,2021-05-04 00:00:00+05:30,20.05,21.05,19.05,19.65,38944,AARVEEDEN
82,2021-05-05 00:00:00+05:30,20.2,20.55,19.25,20.5,23912,AARVEEDEN
83,2021-05-06 00:00:00+05:30,19.7,21.5,19.7,21.0,25576,AARVEEDEN
84,2021-05-07 00:00:00+05:30,20.1,21.65,20.1,21.2,23066,AARVEEDEN
85,2021-05-10 00:00:00+05:30,21.6,21.95,21.0,21.4,20416,AARVEEDEN
86,2021-05-11 00:00:00+05:30,21.4,22.45,21.05,22.45,21384,AARVEEDEN
87,2021-05-12 00:00:00+05:30,23.4,23.55,23.0,23.55,35830,AARVEEDEN
88,2021-05-14 00:00:00+05:30,24.5,24.6,23.05,23.9,32621,AARVEEDEN
89,2021-05-17 00:00:00+05:30,24.9,24.9,22.8,24.0,17807,AARVEEDEN
90,2021-05-18 00:00:00+05:30,22.95,24.0,22.95,23.0,12391,AARVEEDEN
91,2021-05-19 00:00:00+05:30,22.8,23.95,22.3,23.1,9676,AARVEEDEN
92,2021-05-20 00:00:00+05:30,22.7,23.45,22.1,22.6,6119,AARVEEDEN
93,2021-05-21 00:00:00+05:30,22.8,23.5,21.65,23.0,16225,AARVEEDEN
94,2021-05-24 00:00:00+05:30,22.95,23.4,22.1,22.65,11116,AARVEEDEN
95,2021-05-25 00:00:00+05:30,22.2,23.5,22.2,23.5,10603,AARVEEDEN
96,2021-05-26 00:00:00+05:30,23.5,24.0,22.55,23.05,4955,AARVEEDEN
97,2021-05-27 00:00:00+05:30,22.8,24.0,22.25,22.5,5119,AARVEEDEN
98,2021-05-28 00:00:00+05:30,22.35,23.6,21.7,22.8,49859,AARVEEDEN
99,2021-05-31 00:00:00+05:30,22.35,23.5,22.35,23.0,5108,AARVEEDEN
100,2021-06-01 00:00:00+05:30,23.0,24.15,22.25,23.15,32508,AARVEEDEN
101,2021-06-02 00:00:00+05:30,23.65,23.75,23.05,23.45,12116,AARVEEDEN
102,2021-06-03 00:00:00+05:30,23.45,24.1,23.0,23.2,12216,AARVEEDEN
103,2021-06-04 00:00:00+05:30,22.75,24.25,22.35,23.05,13624,AARVEEDEN
104,2021-06-07 00:00:00+05:30,22.55,23.8,22.55,23.55,15888,AARVEEDEN
105,2021-06-08 00:00:00+05:30,22.7,24.0,22.7,23.65,4635,AARVEEDEN
106,2021-06-09 00:00:00+05:30,23.2,23.95,22.75,23.2,9374,AARVEEDEN
107,2021-06-10 00:00:00+05:30,22.75,23.9,22.75,23.55,11755,AARVEEDEN
108,2021-06-11 00:00:00+05:30,22.75,24.7,22.75,24.0,9147,AARVEEDEN
109,2021-06-14 00:00:00+05:30,23.8,24.15,22.9,23.45,6338,AARVEEDEN
110,2021-06-15 00:00:00+05:30,23.0,24.5,23.0,24.3,14372,AARVEEDEN
111,2021-06-16 00:00:00+05:30,24.3,24.5,23.5,24.05,13880,AARVEEDEN
112,2021-06-17 00:00:00+05:30,23.15,24.6,23.15,24.25,8717,AARVEEDEN
113,2021-06-18 00:00:00+05:30,23.8,25.0,23.3,23.3,9572,AARVEEDEN
114,2021-06-21 00:00:00+05:30,22.85,24.0,22.2,23.0,5494,AARVEEDEN
115,2021-06-22 00:00:00+05:30,23.85,23.85,22.9,23.05,8646,AARVEEDEN
116,2021-06-23 00:00:00+05:30,22.6,23.85,22.6,23.0,18335,AARVEEDEN
117,2021-06-24 00:00:00+05:30,22.7,23.7,22.7,23.0,2847,AARVEEDEN
118,2021-06-25 00:00:00+05:30,23.0,23.8,22.3,23.4,4124,AARVEEDEN
119,2021-06-28 00:00:00+05:30,22.3,24.45,22.3,23.3,9119,AARVEEDEN
120,2021-06-29 00:00:00+05:30,22.7,23.2,22.15,22.2,24151,AARVEEDEN
121,2021-06-30 00:00:00+05:30,22.95,22.95,21.1,21.45,19757,AARVEEDEN
122,2021-07-01 00:00:00+05:30,21.45,21.45,20.4,20.45,28689,AARVEEDEN
123,2021-07-02 00:00:00+05:30,19.55,20.85,19.55,19.85,9873,AARVEEDEN
124,2021-07-05 00:00:00+05:30,20.0,20.8,19.05,20.8,6392,AARVEEDEN
125,2021-07-06 00:00:00+05:30,21.8,21.8,20.8,21.8,10057,AARVEEDEN
126,2021-07-07 00:00:00+05:30,21.8,22.45,21.05,21.5,5425,AARVEEDEN
127,2021-07-08 00:00:00+05:30,20.65,22.35,20.65,21.05,9579,AARVEEDEN
128,2021-07-09 00:00:00+05:30,21.4,21.4,20.7,21.3,9115,AARVEEDEN
129,2021-07-12 00:00:00+05:30,21.75,22.35,21.6,22.35,33217,AARVEEDEN
130,2021-07-13 00:00:00+05:30,23.45,23.45,21.3,22.8,11810,AARVEEDEN
131,2021-07-14 00:00:00+05:30,21.85,22.8,21.85,22.25,2482,AARVEEDEN
132,2021-07-15 00:00:00+05:30,23.2,23.35,22.9,23.35,77741,AARVEEDEN
133,2021-07-16 00:00:00+05:30,23.8,24.5,22.2,24.5,56135,AARVEEDEN
134,2021-07-19 00:00:00+05:30,25.6,25.7,25.0,25.7,62237,AARVEEDEN
135,2021-07-20 00:00:00+05:30,26.8,26.95,24.45,26.9,133458,AARVEEDEN
136,2021-07-22 00:00:00+05:30,25.85,27.25,25.6,25.7,78531,AARVEEDEN
137,2021-07-23 00:00:00+05:30,25.05,26.75,24.45,24.45,44133,AARVEEDEN
138,2021-07-26 00:00:00+05:30,25.5,25.5,23.25,23.25,34856,AARVEEDEN
139,2021-07-27 00:00:00+05:30,23.9,24.4,22.25,23.8,58659,AARVEEDEN
140,2021-07-28 00:00:00+05:30,24.95,24.95,24.95,24.95,18329,AARVEEDEN
141,2021-07-29 00:00:00+05:30,26.15,26.15,25.6,26.15,100918,AARVEEDEN
142,2021-07-30 00:00:00+05:30,27.0,27.4,25.2,27.2,125660,AARVEEDEN
