Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2481.9,3361.05,4350.26,3909.36,4619.17,4878.86,6533.82,5336.38,4643.28,4377.15,ADANIPORTS
Raw Material Cost,,,,,,,,,,,ADANIPORTS
Change in Inventory,,,,,,,,,,,ADANIPORTS
Power and Fuel,172.47,227.79,290.21,318.21,294.42,277.81,237.21,278.68,318.62,274.62,ADANIPORTS
Other Mfr. Exp,371.83,424.89,1003.59,582.13,545.47,527.11,1304.84,736.87,770.63,664.87,ADANIPORTS
Employee Cost,90.13,104.98,117.74,158.33,179.73,211.6,194.39,231.52,225.62,236.33,ADANIPORTS
Selling and admin,59.22,72.86,97.63,116.78,139.76,204.4,204.21,228.28,226.48,259.43,ADANIPORTS
Other Expenses,76.66,55.03,103.3,126.49,152.52,110.89,84.31,74.47,86.29,71.02,ADANIPORTS
Other Income,40.25,197.97,682.03,738.16,1172.77,1284.67,1309.94,2218.48,3029.64,2984.79,ADANIPORTS
Depreciation,273.5,342.38,455.71,488.62,519.32,540.71,470.52,474.21,553.29,619.18,ADANIPORTS
Interest,208.75,441.9,753.86,708.79,854.45,998.07,1519.1,1867.19,3460.26,2326.85,ADANIPORTS
Profit before tax,1269.59,1889.19,2210.25,2148.17,3106.27,3292.94,3829.18,3663.64,2031.73,2909.64,ADANIPORTS
Tax,92.33,135.01,194.08,-34.97,141.77,192.33,1421.08,1025.92,97.48,981.71,ADANIPORTS
Net profit,1177.26,1754.18,2016.17,2183.14,2964.5,3100.61,2408.1,2637.72,1934.25,1927.93,ADANIPORTS
