Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,10.53,15.82,15.82,24.29,24.29,24.29,25.5,25.5,AFFLE
Reserves,,,-9.92,-7.67,-2.66,-3.26,5.88,21.98,139.54,167.69,AFFLE
Borrowings,,,,,7.97,7.04,,,2.28,1.3,AFFLE
Other Liabilities,,,13.63,20.72,21.31,20.62,27.86,47.32,85.98,108.28,AFFLE
Total,,,14.24,28.87,42.44,48.69,58.03,93.59,253.3,302.77,AFFLE
Net Block,,,0.08,0.64,1.28,14.3,15.11,23.57,27.03,24.77,AFFLE
Capital Work in Progress,,,,,4.26,0.31,,1.8,4.8,8.72,AFFLE
Investments,,,,,,0.02,0.03,13.85,44.0,103.53,AFFLE
Other Assets,,,14.16,28.23,36.9,34.06,42.89,54.37,177.47,165.75,AFFLE
Total,,,14.24,28.87,42.44,48.69,58.03,93.59,253.3,302.77,AFFLE
Receivables,,,9.81,22.35,14.79,13.53,15.82,26.93,36.97,69.5,AFFLE
Inventory,,,,,,,,,,,AFFLE
Cash & Bank,,,1.46,1.92,6.83,8.75,14.49,9.94,114.16,34.3,AFFLE
No. of Equity Shares,,,10525299.0,15823984.0,15823984.0,24288314.0,24288314.0,24288314.0,25496367.0,25496367.0,AFFLE
New Bonus Shares,,,,,,,,,,,AFFLE
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AFFLE
