Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,ALBERTDAVD
Reserves,69.85,75.4,84.63,87.11,131.12,177.31,180.24,204.74,217.09,238.67,ALBERTDAVD
Borrowings,39.68,37.79,42.09,30.1,20.23,30.03,27.64,0.44,2.04,1.62,ALBERTDAVD
Other Liabilities,87.59,64.05,65.57,70.53,66.78,71.48,76.16,83.73,95.38,95.39,ALBERTDAVD
Total,202.83,182.95,198.0,193.45,223.84,284.53,289.75,294.62,320.22,341.39,ALBERTDAVD
Net Block,69.43,71.92,67.45,49.47,44.44,86.76,82.84,77.09,91.0,83.96,ALBERTDAVD
Capital Work in Progress,6.03,1.34,2.6,5.04,5.01,8.67,5.25,5.06,1.52,0.75,ALBERTDAVD
Investments,,,16.5,16.5,47.54,58.91,67.88,112.98,121.78,137.68,ALBERTDAVD
Other Assets,127.37,109.69,111.45,122.44,126.85,130.19,133.78,99.49,105.92,119.0,ALBERTDAVD
Total,202.83,182.95,198.0,193.45,223.84,284.53,289.75,294.62,320.22,341.39,ALBERTDAVD
Receivables,29.76,36.97,42.59,41.08,35.46,33.07,27.32,21.77,30.13,19.49,ALBERTDAVD
Inventory,40.25,42.56,43.12,52.14,48.54,50.66,43.21,44.06,42.72,35.75,ALBERTDAVD
Cash & Bank,11.54,14.53,9.26,9.98,23.17,14.79,25.66,7.13,6.75,35.37,ALBERTDAVD
No. of Equity Shares,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,5707162.0,ALBERTDAVD
New Bonus Shares,,,,,,,,,,,ALBERTDAVD
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ALBERTDAVD
