Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,5.5,5.5,5.5,5.5,6.13,6.13,6.68,6.82,6.89,6.96,ALICON
Reserves,76.98,95.63,108.55,128.96,145.3,161.02,249.15,301.87,308.91,303.88,ALICON
Borrowings,96.9,82.93,90.22,152.13,168.5,231.12,245.28,285.23,327.62,326.1,ALICON
Other Liabilities,101.13,103.58,118.57,163.51,170.25,161.03,242.86,230.55,196.72,217.81,ALICON
Total,280.51,287.64,322.84,450.1,490.18,559.3,743.97,824.47,840.14,854.75,ALICON
Net Block,129.02,128.42,131.4,170.11,224.4,251.83,286.07,328.94,361.74,356.5,ALICON
Capital Work in Progress,0.66,1.01,1.01,24.72,2.23,11.26,5.15,13.16,12.52,17.82,ALICON
Investments,10.62,10.62,10.62,10.62,10.62,10.63,11.33,11.33,11.33,11.33,ALICON
Other Assets,140.21,147.59,179.81,244.65,252.93,285.58,441.42,471.04,454.55,469.1,ALICON
Total,280.51,287.64,322.84,450.1,490.18,559.3,743.97,824.47,840.14,854.75,ALICON
Receivables,86.11,86.0,110.63,147.25,155.19,168.34,296.27,310.15,298.42,296.13,ALICON
Inventory,19.6,26.94,29.58,50.21,44.77,58.11,81.57,110.94,95.17,115.49,ALICON
Cash & Bank,10.82,11.71,10.25,10.38,10.83,10.15,10.64,8.32,8.19,14.84,ALICON
No. of Equity Shares,11000000.0,11000000.0,11000000.0,11000000.0,12256222.0,12256222.0,13365510.0,13640121.0,13775121.0,13910121.0,ALICON
New Bonus Shares,,,,,,,,,,,ALICON
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALICON
