Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,287.8,365.86,446.08,476.37,483.59,500.64,616.18,846.4,992.88,1242.44,ALKYLAMINE
Raw Material Cost,143.88,193.57,227.76,238.82,260.43,245.99,304.83,457.64,447.94,500.96,ALKYLAMINE
Change in Inventory,-2.36,5.01,0.74,-5.64,8.5,-1.01,-10.41,20.89,-8.28,10.82,ALKYLAMINE
Power and Fuel,36.19,48.3,51.78,51.54,51.64,51.27,63.85,88.13,96.06,92.89,ALKYLAMINE
Other Mfr. Exp,30.06,31.7,35.63,37.69,22.54,40.45,42.23,55.49,58.67,75.84,ALKYLAMINE
Employee Cost,16.04,20.88,25.91,31.18,34.72,37.24,41.99,54.23,72.11,97.25,ALKYLAMINE
Selling and admin,4.6,5.43,9.23,13.63,16.1,16.53,22.92,38.18,42.21,48.15,ALKYLAMINE
Other Expenses,12.45,13.43,11.98,11.24,15.68,12.93,12.35,9.27,10.59,7.87,ALKYLAMINE
Other Income,2.51,1.34,2.07,1.86,2.42,1.06,1.99,3.95,39.85,5.79,ALKYLAMINE
Depreciation,8.91,10.03,9.74,11.35,12.89,14.29,15.67,23.34,26.91,29.06,ALKYLAMINE
Interest,12.14,12.94,12.24,10.23,8.03,8.06,8.15,14.77,10.25,6.33,ALKYLAMINE
Profit before tax,23.68,35.93,64.62,66.91,72.48,73.93,95.77,130.19,259.71,400.7,ALKYLAMINE
Tax,6.52,12.0,21.74,21.49,22.63,23.57,31.48,46.45,44.43,105.35,ALKYLAMINE
Net profit,17.16,23.93,42.88,45.42,49.85,50.36,64.29,83.74,215.28,295.34,ALKYLAMINE
