,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,21.45,21.7,20.1,21.3,19044,ALMONDZ
1,2021-01-04 00:00:00+05:30,21.85,21.85,20.5,20.9,33824,ALMONDZ
2,2021-01-05 00:00:00+05:30,20.85,21.5,20.1,20.7,20038,ALMONDZ
3,2021-01-06 00:00:00+05:30,20.9,21.35,20.5,20.55,19043,ALMONDZ
4,2021-01-07 00:00:00+05:30,21.1,21.1,20.35,20.55,5468,ALMONDZ
5,2021-01-08 00:00:00+05:30,20.55,21.0,20.3,20.55,8968,ALMONDZ
6,2021-01-11 00:00:00+05:30,20.0,20.9,20.0,20.2,16093,ALMONDZ
7,2021-01-12 00:00:00+05:30,20.0,20.9,20.0,20.75,13080,ALMONDZ
8,2021-01-13 00:00:00+05:30,20.0,20.8,19.8,20.65,17464,ALMONDZ
9,2021-01-14 00:00:00+05:30,20.3,20.9,20.3,20.3,36280,ALMONDZ
10,2021-01-15 00:00:00+05:30,20.3,20.65,19.5,20.35,11873,ALMONDZ
11,2021-01-18 00:00:00+05:30,19.6,20.7,19.6,20.5,17290,ALMONDZ
12,2021-01-19 00:00:00+05:30,20.4,21.0,19.85,20.25,72845,ALMONDZ
13,2021-01-20 00:00:00+05:30,20.0,20.0,19.4,19.4,74173,ALMONDZ
14,2021-01-21 00:00:00+05:30,19.5,19.75,18.45,18.85,76131,ALMONDZ
15,2021-01-22 00:00:00+05:30,19.75,19.75,19.2,19.75,10587,ALMONDZ
16,2021-01-25 00:00:00+05:30,19.4,20.55,19.4,19.85,12676,ALMONDZ
17,2021-01-27 00:00:00+05:30,20.35,20.5,19.6,19.95,7209,ALMONDZ
18,2021-01-28 00:00:00+05:30,20.0,20.0,19.25,19.8,1520,ALMONDZ
19,2021-01-29 00:00:00+05:30,20.4,20.45,19.6,20.0,5580,ALMONDZ
20,2021-02-01 00:00:00+05:30,20.8,20.8,19.4,19.9,4534,ALMONDZ
21,2021-02-02 00:00:00+05:30,20.0,20.7,18.95,19.75,16238,ALMONDZ
22,2021-02-03 00:00:00+05:30,20.3,20.7,19.4,20.55,16942,ALMONDZ
23,2021-02-04 00:00:00+05:30,20.7,21.2,20.15,20.95,20570,ALMONDZ
24,2021-02-05 00:00:00+05:30,20.55,21.0,20.55,20.9,8622,ALMONDZ
25,2021-02-08 00:00:00+05:30,21.0,21.8,20.65,21.55,16579,ALMONDZ
26,2021-02-09 00:00:00+05:30,22.45,22.45,21.1,21.3,3117,ALMONDZ
27,2021-02-10 00:00:00+05:30,21.6,22.05,21.0,21.6,23590,ALMONDZ
28,2021-02-11 00:00:00+05:30,22.3,22.3,20.3,21.0,15603,ALMONDZ
29,2021-02-12 00:00:00+05:30,19.65,22.25,19.65,21.8,6548,ALMONDZ
30,2021-02-15 00:00:00+05:30,22.9,23.75,21.5,23.1,18571,ALMONDZ
31,2021-02-16 00:00:00+05:30,24.95,25.4,23.05,25.4,29610,ALMONDZ
32,2021-02-17 00:00:00+05:30,26.9,27.9,26.4,27.55,76161,ALMONDZ
33,2021-02-18 00:00:00+05:30,28.4,28.4,26.4,27.15,31268,ALMONDZ
34,2021-02-19 00:00:00+05:30,27.8,27.8,26.7,27.35,9816,ALMONDZ
35,2021-02-22 00:00:00+05:30,26.8,27.7,26.25,27.25,15374,ALMONDZ
36,2021-02-23 00:00:00+05:30,27.5,28.35,27.25,27.75,21937,ALMONDZ
37,2021-02-24 00:00:00+05:30,29.1,29.1,28.05,28.85,6766,ALMONDZ
38,2021-02-25 00:00:00+05:30,28.55,28.85,27.5,28.1,11565,ALMONDZ
39,2021-02-26 00:00:00+05:30,28.1,28.7,27.25,28.2,17012,ALMONDZ
40,2021-03-01 00:00:00+05:30,29.4,29.4,28.0,28.1,17516,ALMONDZ
41,2021-03-02 00:00:00+05:30,28.15,28.3,27.3,27.5,5410,ALMONDZ
42,2021-03-03 00:00:00+05:30,27.75,28.35,27.65,28.25,7493,ALMONDZ
43,2021-03-04 00:00:00+05:30,29.35,29.65,27.5,29.3,22982,ALMONDZ
44,2021-03-05 00:00:00+05:30,30.75,30.75,29.0,29.7,17315,ALMONDZ
45,2021-03-08 00:00:00+05:30,30.75,30.75,28.85,29.3,19843,ALMONDZ
46,2021-03-09 00:00:00+05:30,29.1,30.0,29.1,29.85,8481,ALMONDZ
47,2021-03-10 00:00:00+05:30,30.7,30.75,29.3,30.0,9252,ALMONDZ
48,2021-03-12 00:00:00+05:30,30.0,30.95,29.35,29.65,10998,ALMONDZ
49,2021-03-15 00:00:00+05:30,29.05,30.0,28.7,29.55,3506,ALMONDZ
50,2021-03-16 00:00:00+05:30,30.6,31.0,30.5,31.0,30170,ALMONDZ
51,2021-03-17 00:00:00+05:30,32.2,32.2,29.5,29.6,15043,ALMONDZ
52,2021-03-18 00:00:00+05:30,29.55,30.0,28.15,28.65,14764,ALMONDZ
53,2021-03-19 00:00:00+05:30,27.35,28.35,27.3,28.15,6361,ALMONDZ
54,2021-03-22 00:00:00+05:30,27.05,29.3,26.75,27.2,12735,ALMONDZ
55,2021-03-23 00:00:00+05:30,27.75,28.55,27.55,28.55,5400,ALMONDZ
