Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,542.2,821.15,838.31,1081.23,978.07,1561.94,1912.57,2188.4,3002.74,2295.91,AMBER
Raw Material Cost,452.48,699.6,695.18,902.32,787.61,1337.87,1595.19,1858.18,2594.06,1982.51,AMBER
Change in Inventory,,-6.67,-1.1,5.94,3.65,29.07,-19.33,20.99,28.63,15.35,AMBER
Power and Fuel,,11.02,13.31,17.0,14.72,19.55,20.17,23.09,26.83,19.56,AMBER
Other Mfr. Exp,,13.8,13.69,19.93,18.5,16.78,20.49,37.39,55.96,63.37,AMBER
Employee Cost,,17.69,24.95,29.17,31.42,38.0,39.03,40.66,52.3,48.35,AMBER
Selling and admin,,15.74,18.05,22.44,23.29,49.25,40.05,49.4,63.18,37.27,AMBER
Other Expenses,52.45,6.46,8.74,6.53,5.69,3.73,6.85,12.07,25.24,11.32,AMBER
Other Income,2.06,6.6,7.02,6.64,2.29,8.16,7.69,8.96,5.87,29.77,AMBER
Depreciation,13.36,11.89,16.71,23.22,28.03,36.13,43.16,49.6,61.07,67.51,AMBER
Interest,12.66,18.83,28.37,38.05,48.34,59.34,46.81,15.04,29.7,33.63,AMBER
Profit before tax,13.31,26.05,25.23,35.15,26.41,38.52,89.18,132.92,128.9,77.51,AMBER
Tax,,7.49,6.32,9.88,5.99,14.35,27.18,40.41,10.96,25.95,AMBER
Net profit,13.31,18.55,18.91,25.28,20.42,24.17,61.99,92.52,117.94,51.56,AMBER
