,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,249.0,251.7,248.15,250.85,4011077,AMBUJACEM
1,2021-01-04 00:00:00+05:30,252.9,253.8,250.0,252.9,4860584,AMBUJACEM
2,2021-01-05 00:00:00+05:30,252.0,256.65,250.45,254.2,9383253,AMBUJACEM
3,2021-01-06 00:00:00+05:30,255.4,262.0,253.25,261.1,8653520,AMBUJACEM
4,2021-01-07 00:00:00+05:30,265.0,267.1,261.2,263.0,7685276,AMBUJACEM
5,2021-01-08 00:00:00+05:30,265.0,271.4,264.3,269.95,8135272,AMBUJACEM
6,2021-01-11 00:00:00+05:30,268.8,271.8,266.0,270.35,6276642,AMBUJACEM
7,2021-01-12 00:00:00+05:30,270.0,274.6,266.7,268.1,5997355,AMBUJACEM
8,2021-01-13 00:00:00+05:30,268.1,269.4,261.1,264.9,5267492,AMBUJACEM
9,2021-01-14 00:00:00+05:30,265.0,270.5,263.15,267.05,4747011,AMBUJACEM
10,2021-01-15 00:00:00+05:30,266.4,267.0,259.6,264.1,5926799,AMBUJACEM
11,2021-01-18 00:00:00+05:30,264.1,264.55,248.0,256.05,7230336,AMBUJACEM
12,2021-01-19 00:00:00+05:30,256.95,262.8,256.3,261.95,3685114,AMBUJACEM
13,2021-01-20 00:00:00+05:30,261.0,263.85,257.65,262.1,4999049,AMBUJACEM
14,2021-01-21 00:00:00+05:30,263.5,265.35,249.1,252.55,8233030,AMBUJACEM
15,2021-01-22 00:00:00+05:30,255.0,259.9,250.9,257.7,6396348,AMBUJACEM
16,2021-01-25 00:00:00+05:30,261.4,264.25,254.9,257.0,9713572,AMBUJACEM
17,2021-01-27 00:00:00+05:30,256.1,260.5,251.2,252.5,9165809,AMBUJACEM
18,2021-01-28 00:00:00+05:30,250.0,250.5,246.0,248.0,9545181,AMBUJACEM
19,2021-01-29 00:00:00+05:30,251.75,251.75,241.75,243.35,9156862,AMBUJACEM
20,2021-02-01 00:00:00+05:30,246.4,262.0,242.1,260.8,8108261,AMBUJACEM
21,2021-02-02 00:00:00+05:30,263.7,279.6,261.1,276.25,12896237,AMBUJACEM
22,2021-02-03 00:00:00+05:30,276.1,278.7,268.0,268.95,8099652,AMBUJACEM
23,2021-02-04 00:00:00+05:30,268.0,275.0,266.15,272.75,7803083,AMBUJACEM
24,2021-02-05 00:00:00+05:30,273.0,275.6,268.55,271.3,5119967,AMBUJACEM
25,2021-02-08 00:00:00+05:30,272.5,278.2,272.0,274.35,5445773,AMBUJACEM
26,2021-02-09 00:00:00+05:30,276.85,279.45,269.85,270.55,4725675,AMBUJACEM
27,2021-02-10 00:00:00+05:30,271.35,277.8,271.0,271.9,6276033,AMBUJACEM
28,2021-02-11 00:00:00+05:30,272.2,277.8,271.5,276.9,5475278,AMBUJACEM
29,2021-02-12 00:00:00+05:30,275.0,284.9,274.25,277.45,9937677,AMBUJACEM
30,2021-02-15 00:00:00+05:30,281.0,285.9,279.0,283.4,7339663,AMBUJACEM
31,2021-02-16 00:00:00+05:30,285.9,287.3,280.2,284.05,6116048,AMBUJACEM
