Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,39.31,APLLTD
Reserves,323.16,422.06,591.99,795.86,1493.04,1829.62,2156.94,2674.71,3308.31,5214.93,APLLTD
Borrowings,352.72,186.8,109.4,193.61,,8.28,621.53,1059.28,1687.03,499.79,APLLTD
Other Liabilities,276.97,352.13,423.36,483.99,650.99,633.53,861.72,777.37,845.73,1022.15,APLLTD
Total,990.55,998.69,1162.45,1511.16,2181.73,2509.13,3677.89,4549.06,5878.77,6776.18,APLLTD
Net Block,267.82,344.22,396.96,488.68,697.25,799.01,918.3,1085.44,1276.46,1461.18,APLLTD
Capital Work in Progress,58.24,32.26,20.67,83.14,92.34,347.75,740.64,1106.89,1569.98,1927.63,APLLTD
Investments,3.35,3.35,33.33,33.33,37.46,103.04,298.89,506.39,833.25,1165.22,APLLTD
Other Assets,661.14,618.86,711.49,906.01,1354.68,1259.33,1720.06,1850.34,2199.08,2222.15,APLLTD
Total,990.55,998.69,1162.45,1511.16,2181.73,2509.13,3677.89,4549.06,5878.77,6776.18,APLLTD
Receivables,186.83,232.38,260.56,337.94,371.5,467.41,621.66,539.78,784.11,407.9,APLLTD
Inventory,258.74,266.83,310.78,382.48,533.72,574.62,669.93,891.41,1073.18,1316.78,APLLTD
Cash & Bank,25.73,4.25,5.34,4.41,284.81,7.21,15.63,150.8,37.13,61.22,APLLTD
No. of Equity Shares,188515914.0,188515914.0,188515914.0,188515914.0,188515914.0,188515914.0,188515914.0,188515914.0,188515914.0,196563124.0,APLLTD
New Bonus Shares,,,,,,,,,,,APLLTD
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,APLLTD
