Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,427.64,478.47,663.64,749.24,592.49,235.73,239.19,337.48,205.86,421.49,ASHAPURMIN
Raw Material Cost,130.81,87.62,106.84,100.83,160.98,99.24,175.08,141.02,84.95,179.32,ASHAPURMIN
Change in Inventory,-9.99,8.79,-7.15,-34.27,5.04,-24.12,48.64,-14.62,-14.55,8.36,ASHAPURMIN
Power and Fuel,13.15,12.39,14.67,10.64,11.84,10.08,11.53,14.15,21.71,21.01,ASHAPURMIN
Other Mfr. Exp,54.76,77.42,77.17,77.48,23.87,3.16,20.56,23.33,22.49,20.56,ASHAPURMIN
Employee Cost,19.82,21.18,24.94,26.14,38.27,36.14,31.14,30.83,24.84,22.7,ASHAPURMIN
Selling and admin,133.71,195.08,285.85,349.92,277.64,68.22,59.34,88.25,38.05,97.79,ASHAPURMIN
Other Expenses,10.13,10.66,34.66,26.25,12.32,31.54,18.69,317.43,35.88,8.11,ASHAPURMIN
Other Income,11.08,7.01,59.47,-221.95,21.86,12.04,-5.14,250.44,464.72,40.51,ASHAPURMIN
Depreciation,10.91,11.45,11.16,15.88,20.41,24.36,24.06,22.75,20.92,20.23,ASHAPURMIN
Interest,48.88,46.03,19.4,9.82,9.36,9.93,11.03,9.85,13.88,34.77,ASHAPURMIN
Profit before tax,6.56,32.44,141.27,-123.94,64.7,-59.02,-68.74,-74.31,393.31,65.87,ASHAPURMIN
Tax,-0.05,0.05,,,,,,,,10.24,ASHAPURMIN
Net profit,6.61,32.39,141.27,-123.94,64.69,-59.02,-68.73,-74.31,393.31,55.63,ASHAPURMIN
