Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,47.18,54.54,181.09,188.45,235.04,234.86,232.58,225.19,232.11,129.32,AXISCADES
Raw Material Cost,,,,,,,,,,,AXISCADES
Change in Inventory,,,,,,,,,,,AXISCADES
Power and Fuel,0.9,1.23,1.99,2.08,2.19,2.4,2.61,2.85,2.9,1.83,AXISCADES
Other Mfr. Exp,2.23,2.82,1.89,14.83,26.46,10.93,13.11,12.79,16.46,10.99,AXISCADES
Employee Cost,24.13,26.06,100.54,104.77,123.12,138.82,146.18,144.79,145.21,87.84,AXISCADES
Selling and admin,10.15,9.98,56.51,35.21,34.47,54.2,62.92,56.89,35.44,24.73,AXISCADES
Other Expenses,0.09,1.27,1.17,2.03,0.4,3.01,1.32,2.87,2.77,0.17,AXISCADES
Other Income,1.04,0.23,2.04,-1.85,2.37,6.03,3.95,16.11,2.64,-40.59,AXISCADES
Depreciation,1.27,2.39,7.04,8.04,9.25,9.93,13.7,9.07,13.47,12.03,AXISCADES
Interest,1.84,1.3,3.66,2.43,1.94,1.91,7.53,17.45,19.51,15.3,AXISCADES
Profit before tax,7.61,9.72,10.33,17.21,39.58,19.69,-10.84,-5.41,-1.01,-64.16,AXISCADES
Tax,0.02,2.31,2.13,5.88,13.3,6.78,-1.43,-1.42,3.48,-0.91,AXISCADES
Net profit,7.59,7.4,8.2,11.32,26.28,12.91,-9.42,-3.99,-4.48,-63.25,AXISCADES
