Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,647.93,743.9,835.98,1002.67,1394.51,883.29,949.09,998.22,2205.83,425.54,BAJAJHLDNG
Raw Material Cost,,,,,,,,,,,BAJAJHLDNG
Change in Inventory,,,,,,,,,,,BAJAJHLDNG
Power and Fuel,,,,,,,,,,,BAJAJHLDNG
Other Mfr. Exp,0.13,0.81,0.88,1.36,1.37,1.33,1.45,1.69,9.44,4.76,BAJAJHLDNG
Employee Cost,3.19,3.19,5.7,7.28,16.7,20.88,25.49,32.29,40.11,38.52,BAJAJHLDNG
Selling and admin,0.13,2.8,5.53,2.77,3.58,2.57,20.22,19.83,37.93,26.7,BAJAJHLDNG
Other Expenses,3.84,5.77,9.02,25.39,15.77,185.81,17.33,30.72,26.24,15.77,BAJAJHLDNG
Other Income,2.42,1.25,3.49,3.79,6.77,5.05,4.74,0.05,0.03,5.6,BAJAJHLDNG
Depreciation,0.24,2.12,4.57,5.16,5.3,5.26,5.23,4.1,31.51,31.68,BAJAJHLDNG
Interest,0.01,0.01,,,,,,,12.54,3.8,BAJAJHLDNG
Profit before tax,642.81,730.45,813.77,964.5,1358.56,672.49,884.11,909.64,2048.09,309.91,BAJAJHLDNG
Tax,75.35,67.12,80.42,96.77,88.05,134.31,84.18,121.45,221.22,111.32,BAJAJHLDNG
Net profit,567.46,663.33,733.35,867.73,1270.51,538.18,799.93,788.19,1826.87,198.59,BAJAJHLDNG
