Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,717.37,541.0,485.33,610.33,638.19,677.47,773.99,932.32,928.73,731.05,BBL
Raw Material Cost,539.76,411.81,393.12,467.79,498.22,509.44,538.17,688.16,663.72,547.66,BBL
Change in Inventory,10.1,-0.37,21.63,-24.78,15.27,14.4,-7.66,27.25,37.52,53.6,BBL
Power and Fuel,6.34,6.87,5.88,6.14,6.54,6.62,7.38,8.87,9.22,7.26,BBL
Other Mfr. Exp,16.57,14.89,5.19,6.29,4.74,10.94,25.42,27.68,35.7,27.95,BBL
Employee Cost,69.74,67.36,71.61,75.15,82.08,87.39,91.8,102.88,115.96,102.86,BBL
Selling and admin,33.52,29.95,26.16,32.79,30.25,46.11,49.56,52.85,55.88,44.15,BBL
Other Expenses,46.72,9.9,10.82,15.41,11.82,11.52,16.93,18.31,15.27,15.88,BBL
Other Income,76.75,17.26,18.08,18.1,20.91,26.68,67.84,29.42,30.05,26.59,BBL
Depreciation,9.61,10.7,10.94,11.94,10.27,9.87,9.31,8.38,8.97,9.69,BBL
Interest,15.93,14.6,14.74,22.57,23.09,18.6,22.92,19.93,22.66,19.13,BBL
Profit before tax,66.03,-8.19,-13.42,-34.43,7.36,18.06,72.68,61.93,68.92,36.66,BBL
Tax,12.36,-3.33,-2.13,-0.38,0.16,3.64,11.71,20.4,23.29,10.6,BBL
Net profit,53.67,-4.87,-11.29,-34.05,7.19,14.42,60.97,41.53,45.62,26.05,BBL
