,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,7.3,7.3,6.95,7.1,82479,BCP
1,2021-01-04 00:00:00+05:30,7.4,7.4,7.05,7.25,127153,BCP
2,2021-01-05 00:00:00+05:30,7.25,7.25,7.0,7.1,132827,BCP
3,2021-01-06 00:00:00+05:30,7.15,7.15,6.75,6.95,393147,BCP
4,2021-01-07 00:00:00+05:30,7.1,7.1,6.8,6.95,312465,BCP
5,2021-01-08 00:00:00+05:30,7.0,7.1,6.85,6.9,216412,BCP
6,2021-01-11 00:00:00+05:30,7.2,7.2,6.75,6.95,94090,BCP
7,2021-01-12 00:00:00+05:30,6.95,7.0,6.75,6.85,89869,BCP
8,2021-01-13 00:00:00+05:30,7.0,7.0,6.55,6.6,107376,BCP
9,2021-01-14 00:00:00+05:30,6.75,6.8,6.55,6.7,79957,BCP
10,2021-01-15 00:00:00+05:30,6.8,6.8,6.55,6.6,46272,BCP
11,2021-01-18 00:00:00+05:30,6.7,6.7,6.4,6.5,52943,BCP
12,2021-01-19 00:00:00+05:30,6.5,6.8,6.4,6.6,83829,BCP
13,2021-01-20 00:00:00+05:30,6.8,6.8,6.4,6.5,82619,BCP
14,2021-01-21 00:00:00+05:30,6.6,6.7,6.2,6.35,472057,BCP
15,2021-01-22 00:00:00+05:30,6.45,6.45,6.2,6.25,85779,BCP
16,2021-01-25 00:00:00+05:30,6.3,6.3,5.95,5.95,92436,BCP
17,2021-01-27 00:00:00+05:30,5.95,5.95,5.7,5.75,104928,BCP
18,2021-01-28 00:00:00+05:30,5.75,6.0,5.5,5.9,1063459,BCP
19,2021-01-29 00:00:00+05:30,6.05,6.05,5.85,6.0,417353,BCP
20,2021-02-01 00:00:00+05:30,6.1,6.25,5.95,6.15,412992,BCP
21,2021-02-02 00:00:00+05:30,6.3,6.35,5.85,5.9,360448,BCP
22,2021-02-03 00:00:00+05:30,5.85,6.1,5.65,5.65,356912,BCP
23,2021-02-04 00:00:00+05:30,5.6,5.85,5.5,5.7,179749,BCP
24,2021-02-05 00:00:00+05:30,5.85,5.95,5.6,5.65,94270,BCP
25,2021-02-08 00:00:00+05:30,5.85,5.9,5.6,5.75,563312,BCP
26,2021-02-09 00:00:00+05:30,5.65,6.3,5.65,6.3,698994,BCP
27,2021-02-10 00:00:00+05:30,6.6,6.6,5.7,5.7,1223984,BCP
28,2021-02-11 00:00:00+05:30,5.7,5.9,5.45,5.75,373472,BCP
29,2021-02-12 00:00:00+05:30,5.65,5.9,5.55,5.75,121173,BCP
30,2021-02-15 00:00:00+05:30,5.8,5.85,5.55,5.6,266009,BCP
31,2021-02-16 00:00:00+05:30,5.7,5.7,5.5,5.6,229864,BCP
32,2021-02-17 00:00:00+05:30,5.5,5.7,5.5,5.6,138633,BCP
33,2021-02-18 00:00:00+05:30,5.75,5.75,5.3,5.4,305679,BCP
34,2021-02-19 00:00:00+05:30,5.3,5.55,5.2,5.25,230773,BCP
35,2021-02-22 00:00:00+05:30,5.05,5.3,4.75,4.75,1180598,BCP
36,2021-02-23 00:00:00+05:30,4.95,4.95,4.3,4.3,2468136,BCP
37,2021-02-24 00:00:00+05:30,4.4,4.5,4.35,4.5,137656,BCP
38,2021-02-25 00:00:00+05:30,4.7,4.7,4.7,4.7,35173,BCP
39,2021-02-26 00:00:00+05:30,4.85,4.9,4.7,4.9,413207,BCP
40,2021-03-01 00:00:00+05:30,5.1,5.1,5.1,5.1,21806,BCP
41,2021-03-02 00:00:00+05:30,5.35,5.35,4.85,4.85,1760713,BCP
42,2021-03-03 00:00:00+05:30,4.85,5.05,4.65,4.65,1343660,BCP
43,2021-03-04 00:00:00+05:30,4.65,4.8,4.45,4.45,3348506,BCP
44,2021-03-05 00:00:00+05:30,4.5,4.5,4.25,4.25,3557065,BCP
45,2021-03-08 00:00:00+05:30,4.3,4.4,4.1,4.2,2050341,BCP
46,2021-03-09 00:00:00+05:30,4.3,4.3,4.0,4.05,3057438,BCP
47,2021-03-10 00:00:00+05:30,4.1,4.25,3.95,4.25,1181843,BCP
48,2021-03-12 00:00:00+05:30,4.3,4.4,4.05,4.05,2385320,BCP
49,2021-03-15 00:00:00+05:30,4.1,4.15,3.85,3.85,1809076,BCP
50,2021-03-16 00:00:00+05:30,3.85,3.85,3.7,3.8,1198656,BCP
51,2021-03-17 00:00:00+05:30,3.85,3.85,3.7,3.75,432388,BCP
52,2021-03-18 00:00:00+05:30,3.75,3.8,3.6,3.6,1142319,BCP
53,2021-03-19 00:00:00+05:30,3.6,3.6,3.45,3.45,565836,BCP
54,2021-03-22 00:00:00+05:30,3.5,3.6,3.3,3.6,3685490,BCP
55,2021-03-23 00:00:00+05:30,3.7,3.7,3.45,3.45,1190590,BCP
56,2021-03-24 00:00:00+05:30,3.35,3.4,3.3,3.3,995272,BCP
57,2021-03-25 00:00:00+05:30,3.35,3.35,3.15,3.15,599254,BCP
58,2021-03-26 00:00:00+05:30,3.05,3.2,3.0,3.0,1394577,BCP
59,2021-03-30 00:00:00+05:30,3.05,3.05,2.85,2.95,1146497,BCP
60,2021-03-31 00:00:00+05:30,3.0,3.05,2.9,3.05,725193,BCP
61,2021-04-01 00:00:00+05:30,3.15,3.2,3.15,3.2,42489,BCP
62,2021-04-05 00:00:00+05:30,3.35,3.35,3.35,3.35,31451,BCP
63,2021-04-06 00:00:00+05:30,3.5,3.5,3.25,3.5,484014,BCP
64,2021-04-07 00:00:00+05:30,3.65,3.65,3.4,3.6,841146,BCP
65,2021-04-08 00:00:00+05:30,3.6,3.6,3.45,3.5,298263,BCP
66,2021-04-09 00:00:00+05:30,3.45,3.5,3.4,3.5,187986,BCP
67,2021-04-12 00:00:00+05:30,3.5,3.5,3.35,3.35,433320,BCP
68,2021-04-13 00:00:00+05:30,3.3,3.3,3.2,3.25,222526,BCP
69,2021-04-15 00:00:00+05:30,3.15,3.25,3.1,3.2,141732,BCP
70,2021-04-16 00:00:00+05:30,3.15,3.3,3.15,3.3,100924,BCP
71,2021-04-19 00:00:00+05:30,3.2,3.25,3.15,3.15,464794,BCP
72,2021-04-20 00:00:00+05:30,3.15,3.3,3.15,3.2,175889,BCP
73,2021-04-22 00:00:00+05:30,3.15,3.25,3.05,3.1,369457,BCP
74,2021-04-23 00:00:00+05:30,3.1,3.2,3.05,3.2,179337,BCP
75,2021-04-26 00:00:00+05:30,3.2,3.25,3.15,3.2,584218,BCP
76,2021-04-27 00:00:00+05:30,3.25,3.25,3.15,3.25,128698,BCP
77,2021-04-28 00:00:00+05:30,3.3,3.3,3.2,3.25,137932,BCP
78,2021-04-29 00:00:00+05:30,3.25,3.3,3.15,3.3,284624,BCP
79,2021-04-30 00:00:00+05:30,3.3,3.3,3.15,3.15,520017,BCP
80,2021-05-03 00:00:00+05:30,3.2,3.2,3.0,3.2,482312,BCP
81,2021-05-04 00:00:00+05:30,3.2,3.25,3.1,3.15,137520,BCP
82,2021-05-05 00:00:00+05:30,3.2,3.25,3.0,3.1,485927,BCP
83,2021-05-06 00:00:00+05:30,3.15,3.15,3.05,3.1,132498,BCP
84,2021-05-07 00:00:00+05:30,3.1,3.2,3.05,3.15,385899,BCP
85,2021-05-10 00:00:00+05:30,3.15,3.2,3.1,3.2,305106,BCP
86,2021-05-11 00:00:00+05:30,3.2,3.25,3.1,3.2,320302,BCP
87,2021-05-12 00:00:00+05:30,3.25,3.35,3.2,3.35,213564,BCP
88,2021-05-14 00:00:00+05:30,3.45,3.5,3.25,3.45,429412,BCP
89,2021-05-17 00:00:00+05:30,3.55,3.6,3.4,3.6,321974,BCP
90,2021-05-18 00:00:00+05:30,3.7,3.7,3.45,3.5,357308,BCP
91,2021-05-19 00:00:00+05:30,3.5,3.6,3.45,3.55,191048,BCP
92,2021-05-20 00:00:00+05:30,3.6,3.6,3.5,3.5,153743,BCP
93,2021-05-21 00:00:00+05:30,3.6,3.6,3.45,3.5,177807,BCP
94,2021-05-24 00:00:00+05:30,3.5,3.55,3.45,3.55,193423,BCP
95,2021-05-25 00:00:00+05:30,3.55,3.6,3.45,3.5,205953,BCP
96,2021-05-26 00:00:00+05:30,3.55,3.55,3.45,3.55,123463,BCP
97,2021-05-27 00:00:00+05:30,3.5,3.55,3.4,3.45,636148,BCP
98,2021-05-28 00:00:00+05:30,3.45,3.45,3.35,3.4,140275,BCP
99,2021-05-31 00:00:00+05:30,3.45,3.45,3.35,3.4,165933,BCP
100,2021-06-01 00:00:00+05:30,3.45,3.5,3.3,3.35,253583,BCP
101,2021-06-02 00:00:00+05:30,3.4,3.5,3.4,3.45,288883,BCP
102,2021-06-03 00:00:00+05:30,3.45,3.6,3.45,3.55,614551,BCP
103,2021-06-04 00:00:00+05:30,3.6,3.65,3.4,3.4,3199175,BCP
104,2021-06-07 00:00:00+05:30,3.45,3.55,3.35,3.45,2082395,BCP
105,2021-06-08 00:00:00+05:30,3.5,3.55,3.3,3.35,2280616,BCP
106,2021-06-09 00:00:00+05:30,3.4,3.65,3.35,3.65,1839115,BCP
107,2021-06-10 00:00:00+05:30,3.8,4.0,3.75,4.0,883157,BCP
108,2021-06-11 00:00:00+05:30,4.4,4.4,4.4,4.4,667188,BCP
109,2021-06-14 00:00:00+05:30,4.6,4.6,4.2,4.2,1593369,BCP
110,2021-06-15 00:00:00+05:30,4.05,4.3,4.0,4.2,1092903,BCP
111,2021-06-16 00:00:00+05:30,4.25,4.3,4.0,4.1,916006,BCP
112,2021-06-17 00:00:00+05:30,3.95,4.2,3.9,4.05,301186,BCP
113,2021-06-18 00:00:00+05:30,4.1,4.15,3.85,3.95,671745,BCP
114,2021-06-21 00:00:00+05:30,3.8,4.1,3.8,4.05,388408,BCP
115,2021-06-22 00:00:00+05:30,4.15,4.2,3.95,4.0,493573,BCP
116,2021-06-23 00:00:00+05:30,4.0,4.1,3.9,3.95,1200194,BCP
117,2021-06-24 00:00:00+05:30,3.9,4.05,3.8,3.85,296009,BCP
118,2021-06-25 00:00:00+05:30,3.85,3.95,3.8,3.85,189381,BCP
119,2021-06-28 00:00:00+05:30,3.85,4.0,3.85,3.95,248490,BCP
120,2021-06-29 00:00:00+05:30,4.0,4.0,3.8,3.8,534305,BCP
121,2021-06-30 00:00:00+05:30,3.9,3.9,3.75,3.8,254637,BCP
122,2021-07-01 00:00:00+05:30,3.9,3.9,3.7,3.8,331192,BCP
123,2021-07-02 00:00:00+05:30,3.85,3.9,3.7,3.75,254498,BCP
124,2021-07-05 00:00:00+05:30,3.85,3.9,3.75,3.9,446209,BCP
125,2021-07-06 00:00:00+05:30,4.0,4.05,3.8,3.9,287969,BCP
126,2021-07-07 00:00:00+05:30,3.85,3.95,3.75,3.8,126960,BCP
127,2021-07-08 00:00:00+05:30,3.85,3.9,3.8,3.8,187517,BCP
128,2021-07-09 00:00:00+05:30,3.8,3.9,3.7,3.85,211337,BCP
129,2021-07-12 00:00:00+05:30,3.9,3.95,3.7,3.7,585214,BCP
130,2021-07-13 00:00:00+05:30,3.8,3.85,3.65,3.75,489890,BCP
131,2021-07-14 00:00:00+05:30,3.75,3.8,3.6,3.75,327812,BCP
132,2021-07-15 00:00:00+05:30,3.8,3.85,3.7,3.7,528888,BCP
