Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,3447.05,3107.17,3295.6,3365.0,3238.09,3438.04,3298.35,3229.31,2691.97,1139.72,BGRENERGY
Raw Material Cost,2172.79,1691.38,2097.08,2263.23,2007.53,1952.81,1815.02,1906.3,1640.55,676.5,BGRENERGY
Change in Inventory,-0.17,6.47,5.23,4.43,-15.7,23.17,-21.52,-5.62,-0.2,0.17,BGRENERGY
Power and Fuel,7.08,7.69,5.95,6.47,3.76,4.58,4.01,3.73,4.09,2.83,BGRENERGY
Other Mfr. Exp,458.55,666.66,528.62,568.03,550.15,847.92,689.32,705.79,566.04,296.01,BGRENERGY
Employee Cost,171.15,196.4,183.25,162.1,181.6,186.62,210.07,223.01,191.29,135.51,BGRENERGY
Selling and admin,67.98,58.55,56.84,41.04,36.47,41.19,47.23,51.21,34.29,33.56,BGRENERGY
Other Expenses,52.96,55.42,32.69,15.3,85.13,93.0,136.29,-5.08,24.55,146.18,BGRENERGY
Other Income,5.26,5.27,0.34,1.41,5.89,20.4,1.96,0.71,41.27,6.01,BGRENERGY
Depreciation,16.11,18.57,19.55,25.08,22.74,23.96,25.08,27.83,34.78,30.45,BGRENERGY
Interest,178.69,178.74,184.8,210.89,290.76,263.52,287.77,270.49,301.57,300.13,BGRENERGY
Profit before tax,326.83,245.5,192.39,78.7,50.14,68.01,64.0,41.12,-64.12,-475.27,BGRENERGY
Tax,103.31,81.83,82.44,36.55,22.93,23.86,31.62,12.07,-77.64,-119.85,BGRENERGY
Net profit,223.52,163.67,109.95,42.15,27.21,44.15,32.38,29.05,13.52,-355.42,BGRENERGY
