Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,23.01,25.05,28.74,92.34,120.44,92.79,CARTRADE
Raw Material Cost,,,,,,,,0.94,16.22,2.81,CARTRADE
Change in Inventory,,,,,,,,0.94,-0.92,1.56,CARTRADE
Power and Fuel,,,,,0.26,0.28,0.24,0.82,0.88,0.48,CARTRADE
Other Mfr. Exp,,,,,0.18,0.1,0.39,0.99,0.88,0.76,CARTRADE
Employee Cost,,,,,43.29,40.16,35.73,60.66,65.26,61.12,CARTRADE
Selling and admin,,,,,127.99,20.95,13.51,39.46,36.14,22.88,CARTRADE
Other Expenses,,,,,4.35,3.59,2.68,1.71,2.37,1.36,CARTRADE
Other Income,,,,,20.13,27.47,29.88,19.72,16.67,20.45,CARTRADE
Depreciation,,,,,0.65,0.5,0.32,1.39,4.59,4.84,CARTRADE
Interest,,,,,,,,0.02,0.59,0.31,CARTRADE
Profit before tax,,,,,-133.58,-13.06,5.75,7.01,9.26,20.24,CARTRADE
Tax,,,,,0.02,,1.1,0.8,-0.93,-59.17,CARTRADE
Net profit,,,,,-133.6,-13.06,4.64,6.21,10.19,79.41,CARTRADE
