Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,CDSL
Reserves,189.09,205.74,222.69,229.76,321.7,357.79,397.75,438.03,465.11,578.09,CDSL
Borrowings,,,,,,,,,,,CDSL
Other Liabilities,51.35,73.43,86.74,106.07,54.38,54.76,71.17,70.06,84.14,150.85,CDSL
Total,344.94,383.67,413.93,440.33,480.58,517.05,573.42,612.59,653.75,833.44,CDSL
Net Block,5.23,7.86,8.02,5.81,3.59,4.82,74.79,72.22,72.03,70.94,CDSL
Capital Work in Progress,,,,,,,,,,22.78,CDSL
Investments,292.17,323.42,346.64,361.01,408.08,461.81,431.55,482.43,524.43,576.15,CDSL
Other Assets,47.54,52.39,59.27,73.51,68.91,50.42,67.08,57.94,57.29,163.57,CDSL
Total,344.94,383.67,413.93,440.33,480.58,517.05,573.42,612.59,653.75,833.44,CDSL
Receivables,4.43,3.5,3.33,3.71,9.77,8.93,11.31,8.8,12.03,10.36,CDSL
Inventory,,,,,,,,,,,CDSL
Cash & Bank,30.13,30.09,35.82,48.46,31.25,11.61,31.5,17.84,23.85,114.17,CDSL
No. of Equity Shares,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,104500000.0,CDSL
New Bonus Shares,,,,,,,,,,,CDSL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CDSL
