Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,CENTEXT
Reserves,27.92,28.31,27.67,29.0,29.98,31.2,34.84,38.86,42.46,44.87,CENTEXT
Borrowings,39.8,45.17,38.61,34.04,34.95,36.39,38.81,54.73,43.14,39.86,CENTEXT
Other Liabilities,20.8,19.48,20.7,21.12,17.85,25.27,22.65,22.95,18.33,23.79,CENTEXT
Total,96.52,100.96,94.98,92.16,90.78,100.86,104.3,124.54,111.93,116.52,CENTEXT
Net Block,41.69,41.59,37.55,36.54,33.23,30.4,27.81,24.37,27.74,28.35,CENTEXT
Capital Work in Progress,0.4,0.02,0.09,,,,0.14,6.61,4.52,0.39,CENTEXT
Investments,,,,,,,,,,,CENTEXT
Other Assets,54.43,59.35,57.34,55.62,57.55,70.46,76.35,93.56,79.67,87.78,CENTEXT
Total,96.52,100.96,94.98,92.16,90.78,100.86,104.3,124.54,111.93,116.52,CENTEXT
Receivables,22.19,23.33,24.71,19.59,20.38,22.1,29.44,28.08,25.58,24.36,CENTEXT
Inventory,22.2,22.53,17.77,19.37,19.23,28.69,24.94,37.56,33.51,33.47,CENTEXT
Cash & Bank,2.76,3.97,3.61,3.95,3.27,1.67,3.18,4.01,2.0,11.3,CENTEXT
No. of Equity Shares,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,CENTEXT
New Bonus Shares,,,,,,,,,,,CENTEXT
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CENTEXT
