Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,COMPUSOFT
Reserves,84.01,90.6,97.14,101.43,107.44,103.13,105.26,109.86,109.98,110.04,COMPUSOFT
Borrowings,31.67,28.2,40.26,30.56,22.76,7.43,3.03,12.12,10.77,2.21,COMPUSOFT
Other Liabilities,35.77,43.8,43.92,34.42,30.34,31.23,22.44,19.31,13.18,13.63,COMPUSOFT
Total,167.28,178.43,197.15,182.24,176.37,157.62,146.56,157.12,149.76,141.71,COMPUSOFT
Net Block,41.26,45.94,73.22,59.94,46.56,32.13,20.52,13.41,13.48,13.18,COMPUSOFT
Capital Work in Progress,,,,,,,1.14,4.34,6.59,11.78,COMPUSOFT
Investments,7.9,9.09,9.09,9.1,9.1,9.14,9.71,5.62,5.0,6.06,COMPUSOFT
Other Assets,118.12,123.4,114.84,113.2,120.71,116.35,115.19,133.75,124.69,110.69,COMPUSOFT
Total,167.28,178.43,197.15,182.24,176.37,157.62,146.56,157.12,149.76,141.71,COMPUSOFT
Receivables,79.27,65.99,60.53,61.55,64.44,63.88,46.39,56.85,46.71,27.97,COMPUSOFT
Inventory,,,,,,,1.9,,,0.15,COMPUSOFT
Cash & Bank,29.63,36.33,33.07,26.49,28.79,24.58,33.06,38.81,37.24,53.5,COMPUSOFT
No. of Equity Shares,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,79125188.0,COMPUSOFT
New Bonus Shares,,,,,,,,,,,COMPUSOFT
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,COMPUSOFT
