Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,4024.09,4355.06,4824.85,5495.64,5921.73,5606.13,6157.16,6881.91,6464.64,6384.96,CONCOR
Raw Material Cost,,,,,,,,,,,CONCOR
Change in Inventory,,,,,,,,,,,CONCOR
Power and Fuel,5.05,6.66,7.32,8.46,9.72,9.34,10.18,10.79,11.16,11.55,CONCOR
Other Mfr. Exp,2818.65,3105.48,3562.21,3901.96,4278.97,3839.29,4060.3,4395.67,4261.1,4080.72,CONCOR
Employee Cost,99.91,107.23,121.44,158.0,156.93,187.13,278.15,337.14,313.84,425.33,CONCOR
Selling and admin,104.26,128.59,185.35,204.18,160.34,347.95,379.61,424.51,265.65,876.32,CONCOR
Other Expenses,-28.06,-40.66,-78.33,-85.26,-22.78,-24.5,-47.16,-66.71,-62.46,-42.42,CONCOR
Other Income,316.19,337.21,446.9,359.09,317.48,289.24,302.59,333.95,-601.93,202.02,CONCOR
Depreciation,158.49,172.71,189.33,372.69,347.76,351.82,392.65,424.58,513.0,521.92,CONCOR
Interest,0.33,0.18,0.18,0.25,0.32,3.73,0.37,1.0,36.46,34.46,CONCOR
Profit before tax,1181.65,1212.08,1284.25,1294.45,1307.95,1180.61,1385.65,1688.88,523.96,679.1,CONCOR
Tax,303.77,272.05,299.49,246.9,357.13,322.59,341.19,473.47,148.18,175.77,CONCOR
Net profit,877.88,940.03,984.76,1047.55,950.82,858.02,1044.46,1215.41,375.78,503.33,CONCOR
