Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,COUNCODOS
Reserves,8.31,9.13,9.68,8.12,8.89,9.53,10.18,10.71,11.33,11.8,COUNCODOS
Borrowings,22.28,0.1,0.06,0.12,0.18,0.11,1.39,1.09,1.06,0.31,COUNCODOS
Other Liabilities,45.05,40.84,40.18,22.9,10.25,9.5,7.7,7.27,10.35,10.94,COUNCODOS
Total,83.4,57.83,57.68,38.9,27.08,26.9,27.03,26.83,30.5,30.81,COUNCODOS
Net Block,10.76,10.9,11.05,5.33,5.26,5.05,5.09,5.09,5.07,4.59,COUNCODOS
Capital Work in Progress,0.04,0.04,,,,,,,,,COUNCODOS
Investments,,,,,,,,,,,COUNCODOS
Other Assets,72.6,46.89,46.63,33.57,21.82,21.85,21.94,21.74,25.43,26.22,COUNCODOS
Total,83.4,57.83,57.68,38.9,27.08,26.9,27.03,26.83,30.5,30.81,COUNCODOS
Receivables,,,,,,,,,,,COUNCODOS
Inventory,24.03,33.29,38.16,22.68,14.37,10.27,13.13,14.32,17.22,19.72,COUNCODOS
Cash & Bank,3.4,3.58,1.43,1.93,2.81,4.4,2.75,2.89,4.32,2.97,COUNCODOS
No. of Equity Shares,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,77597300.0,COUNCODOS
New Bonus Shares,,,,,,,,,,,COUNCODOS
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,COUNCODOS
