Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Sales,639.16,736.6,789.28,903.37,956.1,1129.64,1177.38,1181.99,839.01,888.78,CRISIL
Raw Material Cost,,,,,,,,,,,CRISIL
Change in Inventory,,,,,,,,,,,CRISIL
Power and Fuel,5.75,6.42,7.16,7.61,9.54,9.44,10.24,10.42,8.66,4.93,CRISIL
Other Mfr. Exp,14.75,13.85,15.43,16.46,19.83,28.36,27.98,33.59,32.8,33.27,CRISIL
Employee Cost,246.34,274.62,295.42,329.7,363.93,460.75,504.57,505.65,429.86,437.95,CRISIL
Selling and admin,140.19,159.95,191.68,239.49,244.65,260.07,284.71,282.02,300.81,252.94,CRISIL
Other Expenses,5.98,10.2,9.92,10.84,13.31,18.46,22.82,28.76,-24.45,-27.32,CRISIL
Other Income,43.0,22.65,142.26,32.04,44.55,44.29,47.21,88.87,260.59,103.94,CRISIL
Depreciation,21.68,23.92,23.22,23.92,24.03,28.51,27.81,28.67,23.96,65.68,CRISIL
Interest,,,,,,,0.41,1.18,,6.94,CRISIL
Profit before tax,247.47,270.29,388.71,307.39,325.36,368.34,346.05,380.57,327.96,218.33,CRISIL
Tax,60.96,77.43,107.52,91.87,103.34,128.05,108.79,103.04,61.67,51.61,CRISIL
Net profit,186.51,192.86,281.18,215.51,222.01,240.29,237.26,277.53,266.29,166.72,CRISIL
