Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,1544.55,1482.89,1336.29,1296.81,1347.52,1509.89,1872.29,CSBBANK
Raw Material Cost,,,,,,,,,,,CSBBANK
Change in Inventory,,,,,,,,,,,CSBBANK
Power and Fuel,,,,,,,,,,,CSBBANK
Other Mfr. Exp,,,,6.35,6.15,7.0,7.63,8.51,13.15,13.59,CSBBANK
Employee Cost,,,,308.82,303.52,295.01,287.92,385.2,332.06,496.79,CSBBANK
Selling and admin,,,,70.5,70.49,74.82,79.67,86.69,96.5,102.84,CSBBANK
Other Expenses,,,,168.86,262.71,211.95,268.8,379.05,214.67,395.67,CSBBANK
Other Income,,,,127.34,104.68,281.2,125.42,135.92,221.61,400.82,CSBBANK
Depreciation,,,,10.94,13.7,14.93,15.57,16.53,23.52,40.76,CSBBANK
Interest,,,,1188.58,1159.27,1022.69,912.0,907.56,917.6,930.91,CSBBANK
Profit before tax,,,,-82.16,-228.27,-8.91,-149.36,-300.1,134.0,292.55,CSBBANK
Tax,,,,-29.0,-78.55,-10.46,-51.89,-102.68,121.27,74.15,CSBBANK
Net profit,,,,-53.17,-149.72,1.55,-97.47,-197.42,12.72,218.4,CSBBANK
