Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,160.6,123.78,154.32,201.68,101.45,148.19,186.21,147.65,305.77,30.87,DHANI
Raw Material Cost,,,,,,,,,,,DHANI
Change in Inventory,,,,,,,,,,,DHANI
Power and Fuel,1.75,1.99,1.26,0.3,0.64,0.77,0.53,,,0.01,DHANI
Other Mfr. Exp,2.97,5.2,4.47,5.77,3.96,1.42,7.81,0.16,0.17,0.22,DHANI
Employee Cost,47.75,28.38,19.24,19.76,20.19,26.77,50.73,14.01,10.24,0.36,DHANI
Selling and admin,69.94,25.95,13.9,10.69,8.36,14.82,11.14,1.64,3.24,3.64,DHANI
Other Expenses,9.4,5.47,0.45,0.72,2.52,3.33,2.31,28.99,1.92,4.09,DHANI
Other Income,1.67,7.3,6.83,1.31,3.07,3.23,13.16,61.01,4.26,4.52,DHANI
Depreciation,11.87,7.65,4.64,4.8,2.57,1.62,1.65,0.15,0.17,0.19,DHANI
Interest,27.65,7.18,14.96,26.42,40.15,43.41,59.72,41.7,38.1,34.71,DHANI
Profit before tax,-9.06,49.26,102.23,134.53,26.13,59.28,65.48,122.01,256.19,-7.83,DHANI
Tax,2.54,-6.58,14.97,16.26,9.26,12.18,16.91,16.56,10.14,8.91,DHANI
Net profit,-11.6,55.84,87.26,118.26,16.87,47.09,48.57,105.45,246.05,-16.75,DHANI
