Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,0.31,0.31,0.31,0.31,0.31,1.91,11.73,11.73,11.73,11.73,DIAMONDYD
Reserves,100.92,145.47,175.71,188.05,218.69,242.16,518.78,549.5,580.11,601.78,DIAMONDYD
Borrowings,,41.97,50.37,44.71,54.42,53.75,7.48,17.59,73.33,57.24,DIAMONDYD
Other Liabilities,21.51,34.17,53.38,65.97,70.78,93.86,130.69,177.25,193.03,164.44,DIAMONDYD
Total,122.74,221.92,279.77,299.04,344.2,391.68,668.68,756.07,858.2,835.19,DIAMONDYD
Net Block,63.42,125.26,143.4,157.63,168.17,217.77,225.54,266.23,341.15,306.93,DIAMONDYD
Capital Work in Progress,3.16,2.98,5.15,7.14,19.13,1.84,2.42,4.11,7.15,20.77,DIAMONDYD
Investments,0.01,0.01,2.14,9.74,10.63,4.1,33.74,206.58,206.58,206.58,DIAMONDYD
Other Assets,56.15,93.67,129.08,124.53,146.27,167.97,406.98,279.15,303.32,300.91,DIAMONDYD
Total,122.74,221.92,279.77,299.04,344.2,391.68,668.68,756.07,858.2,835.19,DIAMONDYD
Receivables,5.25,3.71,11.6,13.63,18.29,14.51,20.2,29.38,31.83,25.56,DIAMONDYD
Inventory,25.31,42.36,52.25,57.65,68.53,78.87,86.93,111.21,125.44,120.57,DIAMONDYD
Cash & Bank,14.17,23.08,21.56,3.69,6.04,9.46,212.92,73.01,45.36,25.07,DIAMONDYD
No. of Equity Shares,308000.0,308000.0,308000.0,312766.0,312766.0,19055000.0,23453000.0,23453000.0,23453000.0,23453000.0,DIAMONDYD
New Bonus Shares,,,,,,,,,,,DIAMONDYD
Face value,10.0,10.0,10.0,10.0,10.0,1.0,5.0,5.0,5.0,5.0,DIAMONDYD
