Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,5.92,5.92,5.92,5.92,5.92,6.38,6.91,9.17,9.17,10.13,DSSL
Reserves,9.21,9.72,10.3,10.03,10.95,12.65,15.1,21.56,27.02,39.31,DSSL
Borrowings,7.39,9.48,13.89,12.94,20.87,20.1,35.47,35.43,37.19,43.51,DSSL
Other Liabilities,5.34,4.84,4.37,4.77,11.95,13.86,11.95,31.86,48.76,87.61,DSSL
Total,27.86,29.96,34.48,33.66,49.69,52.99,69.43,98.02,122.14,180.56,DSSL
Net Block,10.4,4.35,4.66,3.02,3.46,3.03,2.85,2.5,3.74,6.39,DSSL
Capital Work in Progress,0.34,0.25,0.17,,,,,,,,DSSL
Investments,1.51,1.51,1.51,0.01,0.01,0.06,0.06,0.06,0.06,0.44,DSSL
Other Assets,15.61,23.85,28.14,30.63,46.22,49.9,66.52,95.46,118.34,173.73,DSSL
Total,27.86,29.96,34.48,33.66,49.69,52.99,69.43,98.02,122.14,180.56,DSSL
Receivables,7.28,12.37,14.79,15.52,30.35,28.49,39.54,57.68,84.0,101.9,DSSL
Inventory,5.9,5.32,5.45,7.44,6.62,9.19,13.81,16.79,8.72,42.47,DSSL
Cash & Bank,1.56,1.8,4.08,6.1,6.25,9.24,8.85,17.63,16.61,23.02,DSSL
No. of Equity Shares,5923080.0,5923080.0,5923080.0,5923080.0,5923080.0,6378080.0,6908080.0,9173080.0,9173080.0,10133080.0,DSSL
New Bonus Shares,,,,,,,,,,,DSSL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,DSSL
