Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,DVL
Reserves,711.58,754.51,805.84,538.75,736.2,723.28,797.67,840.51,807.93,1043.83,DVL
Borrowings,760.57,1543.34,1661.75,1291.35,,,108.47,60.49,54.09,48.14,DVL
Other Liabilities,593.68,410.98,406.6,366.57,1683.17,7.5,156.0,12.32,5.43,29.38,DVL
Total,2100.86,2743.86,2909.22,2231.7,2454.4,765.81,1097.17,948.35,902.48,1156.38,DVL
Net Block,574.12,876.78,878.56,705.44,13.84,13.01,12.9,13.06,14.71,14.43,DVL
Capital Work in Progress,350.41,117.59,129.14,27.96,,,,,,,DVL
Investments,222.51,257.44,299.37,248.93,380.09,694.94,708.8,733.66,801.29,1058.32,DVL
Other Assets,953.82,1492.05,1602.15,1249.37,2060.47,57.86,375.47,201.63,86.48,83.63,DVL
Total,2100.86,2743.86,2909.22,2231.7,2454.4,765.81,1097.17,948.35,902.48,1156.38,DVL
Receivables,251.68,526.0,471.84,166.81,,,119.19,,,,DVL
Inventory,227.39,462.66,463.05,312.67,,,70.77,,,,DVL
Cash & Bank,276.32,187.42,271.53,418.35,247.23,10.58,56.4,13.17,23.73,23.6,DVL
No. of Equity Shares,35032854.0,35032854.0,35032900.0,35034754.0,35032854.0,35032854.0,35032854.0,35024754.0,35032854.0,35032854.0,DVL
New Bonus Shares,,,,,,,,,,,DVL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,DVL
