Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,26.99,27.0,27.04,27.1,27.16,27.21,27.26,27.28,27.3,27.33,EICHERMOT
Reserves,513.05,602.05,794.3,1206.56,2309.25,3895.38,5344.97,7099.17,8248.04,9677.67,EICHERMOT
Borrowings,14.35,4.58,4.0,,22.57,67.44,85.98,76.38,100.66,60.2,EICHERMOT
Other Liabilities,227.98,390.61,657.84,995.23,1264.93,1550.23,2336.46,2274.58,2203.01,2859.71,EICHERMOT
Total,782.37,1024.24,1483.18,2228.89,3623.91,5540.26,7794.67,9477.41,10579.01,12624.91,EICHERMOT
Net Block,112.3,137.7,299.25,500.58,788.5,870.05,1497.28,1870.81,2368.75,2423.36,EICHERMOT
Capital Work in Progress,4.21,60.33,13.92,59.34,94.48,373.77,333.21,449.74,312.17,310.16,EICHERMOT
Investments,518.01,649.39,856.35,1188.58,2073.61,3541.73,3865.99,3046.53,3925.58,2044.79,EICHERMOT
Other Assets,147.85,176.82,313.66,480.39,667.32,754.71,2098.19,4110.33,3972.51,7846.6,EICHERMOT
Total,782.37,1024.24,1483.18,2228.89,3623.91,5540.26,7794.67,9477.41,10579.01,12624.91,EICHERMOT
Receivables,4.1,6.2,12.13,10.7,46.13,48.94,78.02,106.61,133.97,256.18,EICHERMOT
Inventory,45.27,75.41,143.84,205.13,300.36,322.45,379.23,605.34,518.05,769.13,EICHERMOT
Cash & Bank,2.98,3.5,18.71,20.89,44.52,20.61,1208.82,2940.07,2926.38,5798.91,EICHERMOT
No. of Equity Shares,26992583.0,27009830.0,27038883.0,27104783.0,27161183.0,27210249.0,27255549.0,27282570.0,27304570.0,273335922.0,EICHERMOT
New Bonus Shares,,,,,,,,,,,EICHERMOT
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,EICHERMOT
