Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,1.25,5.25,10.0,10.0,20.0,24.8,24.8,24.8,24.8,24.8,EIFFL
Reserves,,-0.02,0.1,0.55,-0.11,32.82,34.39,35.28,35.61,36.93,EIFFL
Borrowings,6.05,21.48,35.19,47.33,41.01,39.71,16.28,15.78,18.96,31.53,EIFFL
Other Liabilities,1.38,8.13,14.96,14.18,16.33,16.22,11.91,16.88,22.16,19.31,EIFFL
Total,8.68,34.84,60.25,72.06,77.23,113.55,87.38,92.74,101.53,112.57,EIFFL
Net Block,1.1,17.33,19.76,30.49,29.91,29.75,31.04,29.9,32.97,35.34,EIFFL
Capital Work in Progress,4.73,4.01,8.94,0.73,0.74,0.82,0.71,0.62,0.62,0.62,EIFFL
Investments,,,,,,0.28,1.39,1.02,0.71,0.74,EIFFL
Other Assets,2.85,13.5,31.55,40.84,46.58,82.7,54.24,61.2,67.23,75.87,EIFFL
Total,8.68,34.84,60.25,72.06,77.23,113.55,87.38,92.74,101.53,112.57,EIFFL
Receivables,,1.21,4.91,15.14,18.56,16.76,21.77,21.08,17.41,15.91,EIFFL
Inventory,0.56,9.94,23.1,22.34,25.69,26.03,28.94,36.13,46.69,56.38,EIFFL
Cash & Bank,0.09,0.42,0.53,0.64,0.54,37.25,0.25,0.69,0.41,0.65,EIFFL
No. of Equity Shares,1250000.0,5250000.0,10000000.0,10000000.0,20000000.0,24800000.0,24800000.0,24800000.0,24800000.0,24800000.0,EIFFL
New Bonus Shares,,,,,,,,,,,EIFFL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,EIFFL
